Person,Month,Percentage
Mother (lone),2020-02-01,76.1
Mother (lone),2020-04-01,49.1
Mother (lone),2020-05-01,46.9
Mother (lone),2020-06-01,47.4
Mother (lone),2020-07-01,56.5
Mother (lone),2020-09-01,65
Mother (lone),2020-11-01,60.8
Father (couple),2020-02-01,76.1
Father (couple),2020-04-01,49.1
Father (couple),2020-05-01,46.9
Father (couple),2020-06-01,47.4
Father (couple),2020-07-01,56.5
Father (couple),2020-09-01,65
Father (couple),2020-11-01,60.8
Mother (couple),2020-02-01,82.3
Mother (couple),2020-04-01,55.1
Mother (couple),2020-05-01,59.8
Mother (couple),2020-06-01,61.9
Mother (couple),2020-07-01,60.3
Mother (couple),2020-09-01,74.1
Mother (couple),2020-11-01,68.7
