Date,Category,Inflation,Target
01/01/2013,10-year,2.52,2
01/02/2013,10-year,2.55,2
01/03/2013,10-year,2.54,2
01/04/2013,10-year,2.41,2
01/05/2013,10-year,2.28,2
01/06/2013,10-year,2.05,2
01/07/2013,10-year,2.12,2
01/08/2013,10-year,2.18,2
01/09/2013,10-year,2.15,2
01/10/2013,10-year,2.19,2
01/11/2013,10-year,2.17,2
01/12/2013,10-year,2.16,2
01/01/2014,10-year,2.23,2
01/02/2014,10-year,2.16,2
01/03/2014,10-year,2.17,2
01/04/2014,10-year,2.16,2
01/05/2014,10-year,2.19,2
01/06/2014,10-year,2.23,2
01/07/2014,10-year,2.26,2
01/08/2014,10-year,2.2,2
01/09/2014,10-year,2.07,2
01/10/2014,10-year,1.92,2
01/11/2014,10-year,1.88,2
01/12/2014,10-year,1.7,2
01/01/2015,10-year,1.61,2
01/02/2015,10-year,1.72,2
01/03/2015,10-year,1.76,2
01/04/2015,10-year,1.86,2
01/05/2015,10-year,1.87,2
01/06/2015,10-year,1.87,2
01/07/2015,10-year,1.82,2
01/08/2015,10-year,1.61,2
01/09/2015,10-year,1.52,2
01/10/2015,10-year,1.5,2
01/11/2015,10-year,1.57,2
01/12/2015,10-year,1.52,2
01/01/2016,10-year,1.42,2
01/02/2016,10-year,1.31,2
01/03/2016,10-year,1.55,2
01/04/2016,10-year,1.61,2
01/05/2016,10-year,1.59,2
01/06/2016,10-year,1.47,2
01/07/2016,10-year,1.47,2
01/08/2016,10-year,1.47,2
01/09/2016,10-year,1.51,2
01/10/2016,10-year,1.67,2
01/11/2016,10-year,1.82,2
01/12/2016,10-year,1.94,2
01/01/2017,10-year,2.01,2
01/02/2017,10-year,2.02,2
01/03/2017,10-year,2,2
01/04/2017,10-year,1.91,2
01/05/2017,10-year,1.84,2
01/06/2017,10-year,1.73,2
01/07/2017,10-year,1.77,2
01/08/2017,10-year,1.78,2
01/09/2017,10-year,1.83,2
01/10/2017,10-year,1.86,2
01/11/2017,10-year,1.86,2
01/12/2017,10-year,1.9,2
01/01/2018,10-year,2.04,2
01/02/2018,10-year,2.1,2
01/03/2018,10-year,2.09,2
01/04/2018,10-year,2.13,2
01/05/2018,10-year,2.14,2
01/06/2018,10-year,2.12,2
01/07/2018,10-year,2.11,2
01/08/2018,10-year,2.1,2
01/09/2018,10-year,2.12,2
01/10/2018,10-year,2.11,2
01/11/2018,10-year,2,2
01/12/2018,10-year,1.82,2
01/01/2019,10-year,1.79,2
01/02/2019,10-year,1.88,2
01/03/2019,10-year,1.91,2
01/04/2019,10-year,1.94,2
01/05/2019,10-year,1.83,2
01/06/2019,10-year,1.7,2
