Date,Category,10-year,Target
2013-01-01,10-year,2.52,2
2013-02-01,10-year,2.55,2
2013-03-01,10-year,2.54,2
2013-04-01,10-year,2.41,2
2013-05-01,10-year,2.28,2
2013-06-01,10-year,2.05,2
2013-07-01,10-year,2.12,2
2013-08-01,10-year,2.18,2
2013-09-01,10-year,2.15,2
2013-10-01,10-year,2.19,2
2013-11-01,10-year,2.17,2
2013-12-01,10-year,2.16,2
2014-01-01,10-year,2.23,2
2014-02-01,10-year,2.16,2
2014-03-01,10-year,2.17,2
2014-04-01,10-year,2.16,2
2014-05-01,10-year,2.19,2
2014-06-01,10-year,2.23,2
2014-07-01,10-year,2.26,2
2014-08-01,10-year,2.20,2
2014-09-01,10-year,2.07,2
2014-10-01,10-year,1.92,2
2014-11-01,10-year,1.88,2
2014-12-01,10-year,1.70,2
2015-01-01,10-year,1.61,2
2015-02-01,10-year,1.72,2
2015-03-01,10-year,1.76,2
2015-04-01,10-year,1.86,2
2015-05-01,10-year,1.87,2
2015-06-01,10-year,1.87,2
2015-07-01,10-year,1.82,2
2015-08-01,10-year,1.61,2
2015-09-01,10-year,1.52,2
2015-10-01,10-year,1.50,2
2015-11-01,10-year,1.57,2
2015-12-01,10-year,1.52,2
2016-01-01,10-year,1.42,2
2016-02-01,10-year,1.31,2
2016-03-01,10-year,1.55,2
2016-04-01,10-year,1.61,2
2016-05-01,10-year,1.59,2
2016-06-01,10-year,1.47,2
2016-07-01,10-year,1.47,2
2016-08-01,10-year,1.47,2
2016-09-01,10-year,1.51,2
2016-10-01,10-year,1.67,2
2016-11-01,10-year,1.82,2
2016-12-01,10-year,1.94,2
2017-01-01,10-year,2.01,2
2017-02-01,10-year,2.02,2
2017-03-01,10-year,2.00,2
2017-04-01,10-year,1.91,2
2017-05-01,10-year,1.84,2
2017-06-01,10-year,1.73,2
2017-07-01,10-year,1.77,2
2017-08-01,10-year,1.78,2
2017-09-01,10-year,1.83,2
2017-10-01,10-year,1.86,2
2017-11-01,10-year,1.86,2
2017-12-01,10-year,1.90,2
2018-01-01,10-year,2.04,2
2018-02-01,10-year,2.10,2
2018-03-01,10-year,2.09,2
2018-04-01,10-year,2.13,2
2018-05-01,10-year,2.14,2
2018-06-01,10-year,2.12,2
2018-07-01,10-year,2.11,2
2018-08-01,10-year,2.10,2
2018-09-01,10-year,2.12,2
2018-10-01,10-year,2.11,2
2018-11-01,10-year,2.00,2
2018-12-01,10-year,1.82,2
2019-01-01,10-year,1.79,2
2019-02-01,10-year,1.88,2
2019-03-01,10-year,1.91,2
2019-04-01,10-year,1.94,2
2019-05-01,10-year,1.83,2
2019-06-01,10-year,1.70,2
2019-07-01,10-year,1.75,2
2019-08-01,10-year,1.59,2
2019-09-01,10-year,1.59,2
2019-10-01,10-year,1.56,2
2019-11-01,10-year,1.64,2
2019-12-01,10-year,1.72,2
2020-01-01,10-year,1.72,2
2020-02-01,10-year,1.62,2
2020-03-01,10-year,0.99,2
2020-04-01,10-year,1.10,2
2020-05-01,10-year,1.12,2
2020-06-01,10-year,1.27,2
2020-07-01,10-year,1.46,2
2020-08-01,10-year,1.66,2
2020-09-01,10-year,1.66,2
2020-10-01,10-year,1.70,2
2020-11-01,10-year,1.71,2
2020-12-01,10-year,1.92,2
2021-01-01,10-year,2.08,2
2021-02-01,10-year,2.18,2
2021-03-01,10-year,2.26,2
2013-01-01,5-year,2.84,2
2013-02-01,5-year,2.86,2
2013-03-01,5-year,2.85,2
2013-04-01,5-year,2.73,2
2013-05-01,5-year,2.60,2
2013-06-01,5-year,2.31,2
2013-07-01,5-year,2.39,2
