Date,Inflation,Target
2010-01-01,2.353686154,2
2010-02-01,2.129323179,2
2010-03-01,2.341237511,2
2010-04-01,2.220866513,2
2010-05-01,2.117674727,2
2010-06-01,1.460148778,2
2010-07-01,1.540815676,2
2010-08-01,1.383797071,2
2010-09-01,1.308496234,2
2010-10-01,1.220244681,2
2010-11-01,1.159405056,2
2010-12-01,1.345941686,2
2011-01-01,1.476417172,2
2011-02-01,1.786032658,2
2011-03-01,2.071898437,2
2011-04-01,2.457411499,2
2011-05-01,2.748961027,2
2011-06-01,2.788193644,2
2011-07-01,2.888358659,2
2011-08-01,3.000501651,2
2011-09-01,3.055140802,2
2011-10-01,2.756696545,2
2011-11-01,2.77437187,2
2011-12-01,2.601186033,2
2012-01-01,2.630871928,2
2012-02-01,2.577946298,2
2012-03-01,2.351045707,2
2012-04-01,2.063277945,2
2012-05-01,1.632145732,2
2012-06-01,1.594725687,2
2012-07-01,1.446356646,2
2012-08-01,1.537212724,2
2012-09-01,1.701131724,2
2012-10-01,1.992806849,2
2012-11-01,1.715735835,2
2012-12-01,1.647046936,2
2013-01-01,1.472009666,2
2013-02-01,1.600104464,2
2013-03-01,1.281370003,2
2013-04-01,1.068356813,2
2013-05-01,1.254072478,2
2013-06-01,1.529573425,2
2013-07-01,1.617237161,2
2013-08-01,1.431997602,2
2013-09-01,1.162605352,2
2013-10-01,1.032064526,2
2013-11-01,1.252422842,2
2013-12-01,1.461305234,2
2014-01-01,1.460578278,2
2014-02-01,1.145834363,2
2014-03-01,1.478988269,2
2014-04-01,1.74162869,2
2014-05-01,1.841474764,2
2014-06-01,1.728804853,2
2014-07-01,1.753312745,2
2014-08-01,1.583204437,2
2014-09-01,1.562853907,2
2014-10-01,1.368583536,2
2014-11-01,1.134835321,2
2014-12-01,0.771077255,2
2015-01-01,0.117354822,2
2015-02-01,0.228721117,2
2015-03-01,0.224370543,2
2015-04-01,0.120742371,2
2015-05-01,0.200260533,2
2015-06-01,0.291330019,2
2015-07-01,0.230781165,2
2015-08-01,0.255067404,2
2015-09-01,0.094054222,2
2015-10-01,0.114448658,2
2015-11-01,0.263053164,2
2015-12-01,0.353906584,2
2016-01-01,0.917225077,2
2016-02-01,0.687523161,2
2016-03-01,0.657977983,2
2016-04-01,0.915173795,2
2016-05-01,0.832427817,2
2016-06-01,0.835624927,2
2016-07-01,0.80877658,2
2016-08-01,0.974142184,2
2016-09-01,1.246742679,2
2016-10-01,1.475474952,2
2016-11-01,1.452193781,2
2016-12-01,1.73325841,2
2017-01-01,2.012331459,2
2017-02-01,2.181177177,2
2017-03-01,1.893342358,2
2017-04-01,1.786764068,2
2017-05-01,1.613586068,2
2017-06-01,1.53640807,2
2017-07-01,1.518205025,2
2017-08-01,1.590342978,2
2017-09-01,1.830341766,2
2017-10-01,1.76812037,2
2017-11-01,1.904725552,2
2017-12-01,1.845626399,2
2018-01-01,1.800895704,2
2018-02-01,1.923240979,2
2018-03-01,2.14855798,2
2018-04-01,2.128445231,2
2018-05-01,2.364426601,2
2018-06-01,2.396466772,2
2018-07-01,2.453112002,2
2018-08-01,2.285929838,2
2018-09-01,2.097172763,2
2018-10-01,2.082629742,2
2018-11-01,1.971195265,2
2018-12-01,1.884181293,2
2019-01-01,1.474508342,2
2019-02-01,1.371735734,2
2019-03-01,1.500413427,2
2019-04-01,1.61683586,2
2019-05-01,1.494856805,2
2019-06-01,1.455579877,2
2019-07-01,1.534430102,2
2019-08-01,1.522164036,2
2019-09-01,1.385961845,2
2019-10-01,1.434531687,2
2019-11-01,1.439945635,2
2019-12-01,1.644670423,2
2020-01-01,1.878352561,2
2020-02-01,1.844903351,2
2020-03-01,1.34093655,2
2020-04-01,0.476238265,2
2020-05-01,0.541378053,2
2020-06-01,0.919443964,2
2020-07-01,1.008705767,2
2020-08-01,1.241429415,2
2020-09-01,1.353399838,2
2020-10-01,1.19590132,2
2020-11-01,1.121662849,2
2020-12-01,1.227088036,2
2021-01-01,1.410063381,2
2021-02-01,1.554758859,2
