date,group,value
2006,Dependant,18
2007,Dependant,20
2008,Dependant,21
2009,Dependant,24
2010,Dependant,33
2011,Dependant,33
2012,Dependant,17
2013,Dependant,17
2014,Dependant,20
2015,Dependant,18
2016,Dependant,14
2017,Dependant,13
2018,Dependant,12
2019,Dependant,14
2020,Dependant,16
2021,Dependant,30
2022,Dependant,81
2006,Main applicant,198
2007,Main applicant,215
2008,Main applicant,229
2009,Main applicant,244
2010,Main applicant,329
2011,Main applicant,326
2012,Main applicant,266
2013,Main applicant,260
2014,Main applicant,276
2015,Main applicant,263
2016,Main applicant,273
2017,Main applicant,304
2018,Main applicant,323
2019,Main applicant,355
2020,Main applicant,298
2021,Main applicant,254
2022,Main applicant,387
2006,Total,216
2007,Total,235
2008,Total,250
2009,Total,268
2010,Total,362
2011,Total,360
2012,Total,283
2013,Total,277
2014,Total,296
2015,Total,281
2016,Total,287
2017,Total,317
2018,Total,335
2019,Total,369
2020,Total,314
2021,Total,284
2022,Total,468
