Time,Value,Detail
2008-01-01,88.2,Real GDP increased by 4.8% in Quarter 2 (Apr to June)
2008-04-01,87.7,"Index, 2019 = 100"
2008-07-01,86.3,
2008-10-01,84.6,
2009-01-01,83.1,
2009-04-01,83,
2009-07-01,83.1,
2009-10-01,83.4,
2010-01-01,83.9,
2010-04-01,84.8,
2010-07-01,85.4,
2010-10-01,85.4,
2011-01-01,85.7,
2011-04-01,85.8,
2011-07-01,86.1,
2011-10-01,86.2,
2012-01-01,86.8,
2012-04-01,86.7,
2012-07-01,87.7,
2012-10-01,87.5,
2013-01-01,88,
2013-04-01,88.7,
2013-07-01,89.5,
2013-10-01,90.1,
2014-01-01,90.8,
2014-04-01,91.4,
2014-07-01,91.9,
2014-10-01,92.4,
2015-01-01,92.9,
2015-04-01,93.6,
2015-07-01,94,
2015-10-01,94.6,
2016-01-01,94.8,
2016-04-01,95.2,
2016-07-01,95.5,
2016-10-01,96.1,
2017-01-01,96.6,
2017-04-01,96.9,
2017-07-01,97.3,
2017-10-01,97.6,
2018-01-01,97.7,
2018-04-01,98.1,
2018-07-01,98.6,
2018-10-01,98.8,
2019-01-01,99.4,
2019-04-01,99.5,
2019-07-01,100,
2019-10-01,100,
2020-01-01,97.2,
2020-04-01,78.2,
2020-07-01,91.5,
2020-10-01,92.7,
2021-01-01,91.2,
2021-04-01,95.6,
