ValueOne,ValueTwo,ValueThree
Hard work,36,Essential
Hard work,40,Very important
Hard work,18,Fairly important
Hard work,3,Not very important
Hard work,1,Not important at all
Ambition,29,Essential
Ambition,40,Very important
Ambition,24,Fairly important
Ambition,3,Not very important
Ambition,1,Not important at all
A good education,24,Essential
A good education,43,Very important
A good education,27,Fairly important
A good education,3,Not very important
A good education,1,Not important at all
Good contacts,13,Essential
Good contacts,31,Very important
Good contacts,38,Fairly important
Good contacts,10,Not very important
Good contacts,4,Not important at all
Wealthy family,7,Essential
Wealthy family,22,Very important
Wealthy family,29,Fairly important
Wealthy family,26,Not very important
Wealthy family,11,Not important at all
Well-educated parents,4,Essential
Well-educated parents,23,Very important
Well-educated parents,42,Fairly important
Well-educated parents,20,Not very important
Well-educated parents,5,Not important at all
Political connections,5,Essential
Political connections,14,Very important
Political connections,22,Fairly important
Political connections,29,Not very important
Political connections,18,Not important at all
Race,3,Essential
Race,12,Very important
Race,23,Fairly important
Race,28,Not very important
Race,27,Not important at all
Gender,2,Essential
Gender,12,Very important
Gender,24,Fairly important
Gender,33,Not very important
Gender,24,Not important at all
Religion,1,Essential
Religion,3,Very important
Religion,10,Fairly important
Religion,35,Not very important
Religion,43,Not important at all
