date,company,value
2000-01-01,Apple,16.53
2000-02-01,Apple,16.68
2000-03-01,Apple,18.48
2000-04-01,Apple,21.90
2000-05-01,Apple,20.00
2000-06-01,Apple,13.67
2000-07-01,Apple,17.05
2000-08-01,Apple,16.54
2000-09-01,Apple,19.80
2000-10-01,Apple,8.37
2000-11-01,Apple,6.36
2000-12-01,Apple,5.36
2001-01-01,Apple,5.00
2001-02-01,Apple,7.47
2001-03-01,Apple,6.32
2001-04-01,Apple,7.64
2001-05-01,Apple,8.83
2001-06-01,Apple,6.96
2001-07-01,Apple,8.11
2001-08-01,Apple,6.59
2001-09-01,Apple,6.51
2001-10-01,Apple,5.44
2001-11-01,Apple,6.16
2001-12-01,Apple,7.47
2002-01-01,Apple,7.70
2002-02-01,Apple,8.71
2002-03-01,Apple,7.67
2002-04-01,Apple,8.36
2002-05-01,Apple,8.59
2002-06-01,Apple,8.29
2002-07-01,Apple,6.30
2002-08-01,Apple,5.48
2002-09-01,Apple,5.29
2002-10-01,Apple,5.20
2002-11-01,Apple,5.77
2002-12-01,Apple,5.56
2003-01-01,Apple,5.15
2003-02-01,Apple,5.17
2003-03-01,Apple,5.41
2003-04-01,Apple,5.10
2003-05-01,Apple,5.20
2003-06-01,Apple,6.56
2003-07-01,Apple,6.97
2003-08-01,Apple,7.74
2003-09-01,Apple,8.20
2003-10-01,Apple,7.51
2003-11-01,Apple,8.39
2003-12-01,Apple,7.67
2004-01-01,Apple,7.86
2004-02-01,Apple,8.30
2004-03-01,Apple,8.84
2004-04-01,Apple,10.02
2004-05-01,Apple,9.55
2004-06-01,Apple,10.66
2004-07-01,Apple,12.37
2004-08-01,Apple,12.29
2004-09-01,Apple,13.38
2004-10-01,Apple,15.03
2004-11-01,Apple,20.33
2004-12-01,Apple,26.01
2005-01-01,Apple,25.89
2005-02-01,Apple,30.92
2005-03-01,Apple,36.66
2005-04-01,Apple,34.26
2005-05-01,Apple,29.65
2005-06-01,Apple,32.76
2005-07-01,Apple,30.33
2005-08-01,Apple,35.14
2005-09-01,Apple,38.91
2005-10-01,Apple,44.49
2005-11-01,Apple,47.79
2005-12-01,Apple,56.28
2006-01-01,Apple,60.59
2006-02-01,Apple,63.64
2006-03-01,Apple,58.12
2006-04-01,Apple,53.42
2006-05-01,Apple,59.95
2006-06-01,Apple,50.83
2006-07-01,Apple,48.71
2006-08-01,Apple,57.80
2006-09-01,Apple,57.71
2006-10-01,Apple,65.47
2006-11-01,Apple,68.96
2006-12-01,Apple,78.18
2007-01-01,Apple,72.90
2007-02-01,Apple,73.75
2007-03-01,Apple,72.92
2007-04-01,Apple,80.08
2007-05-01,Apple,86.02
2007-06-01,Apple,104.82
2007-07-01,Apple,105.56
2007-08-01,Apple,113.97
2007-09-01,Apple,120.43
2007-10-01,Apple,133.46
2007-11-01,Apple,165.19
2007-12-01,Apple,159.54
2008-01-01,Apple,173.43
2008-02-01,Apple,118.93
2008-03-01,Apple,109.88
2008-04-01,Apple,126.12
2008-05-01,Apple,153.32
2008-06-01,Apple,166.41
2008-07-01,Apple,147.62
2008-08-01,Apple,140.81
2008-09-01,Apple,150.18
2008-10-01,Apple,100.69
2008-11-01,Apple,95.57
2008-12-01,Apple,82.38
2009-01-01,Apple,75.87
2009-02-01,Apple,80.27
2009-03-01,Apple,79.54
2009-04-01,Apple,93.62
2009-05-01,Apple,112.25
2009-06-01,Apple,121.16
2009-07-01,Apple,127.06
2009-08-01,Apple,146.37
2009-09-01,Apple,150.69
2009-10-01,Apple,166.04
2009-11-01,Apple,169.61
2009-12-01,Apple,179.88
2010-01-01,Apple,189.62
2010-02-01,Apple,174.16
2010-03-01,Apple,185.55
2010-04-01,Apple,213.10
2010-05-01,Apple,237.58
2010-06-01,Apple,233.74
2010-07-01,Apple,228.88
2010-08-01,Apple,235.01
2010-09-01,Apple,222.09
2010-10-01,Apple,259.22
2010-11-01,Apple,276.09
2010-12-01,Apple,285.42
2011-01-01,Apple,295.89
2011-02-01,Apple,312.61
2011-03-01,Apple,325.40
2011-04-01,Apple,321.07
2011-05-01,Apple,322.57
2011-06-01,Apple,320.45
2011-07-01,Apple,310.41
2011-08-01,Apple,362.01
2011-09-01,Apple,356.77
2011-10-01,Apple,353.52
2011-11-01,Apple,376.15
2011-12-01,Apple,355.22
2012-01-01,Apple,376.41
2012-02-01,Apple,425.61
2012-03-01,Apple,505.75
2012-04-01,Apple,559.00
2012-05-01,Apple,546.06
2012-06-01,Apple,540.21
2012-07-01,Apple,546.08
2012-08-01,Apple,572.53
2012-09-01,Apple,623.60
2012-10-01,Apple,625.35
2012-11-01,Apple,560.01
2012-12-01,Apple,550.57
2013-01-01,Apple,500.61
2013-02-01,Apple,427.72
2013-03-01,Apple,414.50
2013-04-01,Apple,415.68
2013-05-01,Apple,415.61
2013-06-01,Apple,422.14
2013-07-01,Apple,372.20
2013-08-01,Apple,411.12
2013-09-01,Apple,442.63
2013-10-01,Apple,433.13
2013-11-01,Apple,470.29
2013-12-01,Apple,500.32
2014-01-01,Apple,504.77
2014-02-01,Apple,446.53
2014-03-01,Apple,469.40
2014-04-01,Apple,478.77
2014-05-01,Apple,508.29
2014-06-01,Apple,545.25
2014-07-01,Apple,560.34
2014-08-01,Apple,572.44
2014-09-01,Apple,613.76
2014-10-01,Apple,603.28
2014-11-01,Apple,633.40
2014-12-01,Apple,697.51
2015-01-01,Apple,647.36
2015-02-01,Apple,682.43
2015-03-01,Apple,748.25
2015-04-01,Apple,724.77
2015-05-01,Apple,720.99
2015-06-01,Apple,750.55
2015-07-01,Apple,722.58
2015-08-01,Apple,691.74
2015-09-01,Apple,643.04
2015-10-01,Apple,629.01
2015-11-01,Apple,666.25
2015-12-01,Apple,659.56
2016-01-01,Apple,586.86
2016-02-01,Apple,539.71
2016-03-01,Apple,536.11
2016-04-01,Apple,604.30
2016-05-01,Apple,513.45
2016-06-01,Apple,546.98
2016-07-01,Apple,523.64
2016-08-01,Apple,561.53
2016-09-01,Apple,571.71
2016-10-01,Apple,609.16
2016-11-01,Apple,605.43
2016-12-01,Apple,589.33
2017-01-01,Apple,617.59
2017-02-01,Apple,638.04
2017-03-01,Apple,718.72
2017-04-01,Apple,753.72
2017-05-01,Apple,753.67
2017-06-01,Apple,796.47
2017-07-01,Apple,750.90
2017-08-01,Apple,775.45
2017-09-01,Apple,847.10
2017-10-01,Apple,796.06
2017-11-01,Apple,873.13
2017-12-01,Apple,882.33
2018-01-01,Apple,860.88
2018-02-01,Apple,851.73
2018-03-01,Apple,903.78
2018-04-01,Apple,851.32
2018-05-01,Apple,838.53
2018-06-01,Apple,918.49
2018-07-01,Apple,909.84
2018-08-01,Apple,921.56
2018-09-01,Apple,1099.44
2018-10-01,Apple,1090.31
2018-11-01,Apple,1057.08
2018-12-01,Apple,847.43
2019-01-01,Apple,748.54
2019-02-01,Apple,784.81
2019-03-01,Apple,816.45
2019-04-01,Apple,895.67
2019-05-01,Apple,946.22
2019-06-01,Apple,805.51
2019-07-01,Apple,910.64
2019-08-01,Apple,962.77
2019-09-01,Apple,943.33
2019-10-01,Apple,1012.16
2019-11-01,Apple,1105.31
2019-12-01,Apple,1187.46
2020-01-01,Apple,1304.76
2020-02-01,Apple,1354.25
2020-03-01,Apple,1196.08
2020-04-01,Apple,1112.64
2020-05-01,Apple,1285.52
2020-06-01,Apple,1378.06
2020-07-01,Apple,1581.17
2020-08-01,Apple,1817.32
2020-09-01,Apple,2206.91
2020-10-01,Apple,1980.64
