date,value
2016-01-10,447.32
2016-01-17,387.08
2016-01-24,402.04
2016-01-31,377.29
2016-02-07,373.72
2016-02-14,399.74
2016-02-21,437.68
2016-02-28,433.46
2016-03-06,406.64
2016-03-13,412.74
2016-03-20,411.06
2016-03-27,424.4
2016-04-03,419.32
2016-04-10,421.83
2016-04-17,428.1
2016-04-24,463.96
2016-05-01,452.39
2016-05-08,458.76
2016-05-15,457.77
2016-05-22,439.36
2016-05-29,531.22
2016-06-05,574.51
2016-06-12,664.18
2016-06-19,760.46
2016-06-26,635.51
2016-07-03,659.73
2016-07-10,649.22
2016-07-17,680.74
2016-07-24,661.17
2016-07-31,632
2016-08-07,591.16
2016-08-14,569.41
2016-08-21,580.68
2016-08-28,573.67
2016-09-04,604.19
2016-09-11,602.27
2016-09-18,608.38
2016-09-25,600.17
2016-10-02,609.68
2016-10-09,615.67
2016-10-16,640.55
2016-10-23,649.47
2016-10-30,699.88
2016-11-06,711.15
2016-11-13,704.6
2016-11-20,726.77
2016-11-27,732.18
2016-12-04,764.73
2016-12-11,768.3
2016-12-18,789.84
2016-12-25,890.9
2017-01-01,1003
2017-01-08,917.41
2017-01-15,822.2
2017-01-22,920.85
2017-01-29,917.01
2017-02-05,1013.48
2017-02-12,1002.11
2017-02-19,1055.12
2017-02-26,1177.78
2017-03-05,1277.57
2017-03-12,1223.39
2017-03-19,1039.64
2017-03-26,974.59
2017-04-02,1109.08
2017-04-09,1210.11
2017-04-16,1180.36
2017-04-23,1245.74
2017-04-30,1356.03
2017-05-07,1556.06
2017-05-14,1790.31
2017-05-21,2011.23
2017-05-28,2118.76
2017-06-04,2504.5
2017-06-11,2922.82
2017-06-18,2471.55
2017-06-25,2472.48
2017-07-02,2497.65
2017-07-09,2527.97
2017-07-16,1865.67
2017-07-23,2785
2017-07-30,2717.71
2017-08-06,3265.55
2017-08-13,4010.46
2017-08-20,4124.91
2017-08-27,4362.85
2017-09-03,4580.98
2017-09-10,4289.22
2017-09-17,3747.8
2017-09-24,3669.78
2017-10-01,4335.84
2017-10-08,4583.01
2017-10-15,5524.56
2017-10-22,5881.65
2017-10-29,6176.91
2017-11-05,7369.78
2017-11-12,5893.08
2017-11-19,8019.16
2017-11-26,8134.25
2017-12-03,10930.29
2017-12-10,14705.41
2017-12-17,19041.63
2017-12-24,13147.99
2017-12-31,14043.06
2018-01-07,16200
2018-01-14,13383.28
2018-01-21,11366.62
2018-01-28,11755.16
2018-02-04,8077.39
2018-02-11,8315.1
2018-02-18,10784.81
2018-02-25,9596.64
2018-03-04,11400.19
2018-03-11,9613.95
2018-03-18,7655.03
2018-03-25,8605.14
2018-04-01,6890.64
2018-04-08,6955.33
2018-04-15,8287.52
2018-04-22,8893.04
2018-04-29,9295.78
2018-05-06,9514.36
2018-05-13,8714.52
2018-05-20,8554.55
2018-05-27,7314.74
2018-06-03,7724.98
2018-06-10,6710.06
2018-06-17,6491
2018-06-24,6189.28
2018-07-01,6348.59
2018-07-08,6743
2018-07-15,6372.23
2018-07-22,7523.48
2018-07-29,8193.47
2018-08-05,7049.57
2018-08-12,6339.47
2018-08-19,6536.55
2018-08-26,6678.58
2018-09-02,7280.88
2018-09-09,6386.93
2018-09-16,6500.09
2018-09-23,6676.59
2018-09-30,6561.3
2018-10-07,6532.65
2018-10-14,6217.26
2018-10-21,6438.3
2018-10-28,6395.61
2018-11-04,6413.12
2018-11-11,6314.2
2018-11-18,5543.73
2018-11-25,4048.03
2018-12-02,4148.09
2018-12-09,3526.26
2018-12-16,3203.6
2018-12-23,3848.6
2018-12-30,3821.31
2019-01-06,4031.29
2019-01-13,3516.03
2019-01-20,3538.45
2019-01-27,3541.27
2019-02-03,3395.68
2019-02-10,3605.5
2019-02-17,3585.56
2019-02-24,3787.61
2019-03-03,3788.98
2019-03-10,3896.7
2019-03-17,3975.48
2019-03-24,3958.02
2019-03-31,4092.97
2019-04-07,5142.94
2019-04-14,5089.29
2019-04-21,5239.36
2019-04-28,5129.43
2019-05-05,5767.57
2019-05-12,7172.67
2019-05-19,7106.31
2019-05-26,8582.04
2019-06-02,8687.43
2019-06-09,7718.88
2019-06-16,8932.64
2019-06-23,9939.81
2019-06-30,11392.98
2019-07-07,11507.39
2019-07-14,10641.23
2019-07-21,10504.08
2019-07-28,9834.23
2019-08-04,10945.5
2019-08-11,11409.65
2019-08-18,10363.71
2019-08-25,9998.22
2019-09-01,9638.82
2019-09-08,10366.7
2019-09-15,10275.78
2019-09-22,10008.8
2019-09-29,8013.75
2019-10-06,8161.33
2019-10-13,8263.34
2019-10-20,8226.5
2019-10-27,9623.68
2019-11-03,9157.7
2019-11-10,9042.05
2019-11-17,8555.38
2019-11-24,7050
2019-12-01,7381.45
2019-12-08,7546.9
2019-12-15,7120.76
2019-12-22,7407.05
2019-12-29,7388.48
2020-01-05,7363.55
2020-01-12,8099.1
2020-01-19,8718.75
2020-01-26,8406.05
2020-02-02,9443.43
2020-02-09,10077.63
2020-02-16,9773.09
2020-02-23,9885.42
2020-03-01,8512.54
2020-03-08,8079.07
2020-03-15,5177.49
2020-03-22,5937.7
2020-03-29,5949.89
2020-04-05,6761.43
2020-04-12,7122.4
2020-04-19,7150.37
2020-04-26,7651.93
2020-05-03,8848.36
2020-05-10,8675.29
2020-05-17,9738.8
2020-05-24,9001.5
2020-05-31,9505.38
2020-06-07,9732.43
2020-06-14,9382.05
2020-06-21,9310.9
2020-06-28,9109.76
2020-07-05,9013.96
2020-07-12,9232.34
2020-07-19,9171.94
2020-07-26,9895.63
2020-08-02,11090.63
2020-08-09,11679.9
2020-08-16,11849.5
2020-08-23,11669.22
2020-08-30,11640.79
2020-09-06,10236.79
2020-09-13,10318.18
2020-09-20,10858
2020-09-27,10725.25
2020-10-04,10650.02
2020-10-11,11332.36
2020-10-18,11445.83
2020-10-25,13036.88
2020-11-01,13823.15
2020-11-08,15342.02
2020-11-15,15857.79
2020-11-22,18597.77
2020-11-29,18270.66
2020-12-06,19248.35
2020-12-13,19178.3
2020-12-20,23385.77
2020-12-27,26385.71
2021-01-03,33591.73
2021-01-10,38048.82
2021-01-17,36533.95
2021-01-24,31932.47
2021-01-31,32601.26
2021-02-07,38590.04
2021-02-14,48865.24
2021-02-21,57355.29
2021-02-28,45248.24
2021-03-07,50107.87
2021-03-14,60273.94
2021-03-21,57813.39
2021-03-28,54845.71
2021-04-04,58044.39
2021-04-11,59674.92
2021-04-18,56291.89
2021-04-25,48122.24
2021-05-02,57042.24
2021-05-09,57931.38
2021-05-16,44098.92
2021-05-23,33700.55
2021-05-30,36081.09
2021-06-06,35978.7
2021-06-13,39260.32
2021-06-20,35823.29
2021-06-27,32635.76
2021-07-04,35547.25
2021-07-11,33854.3
2021-07-18,31652.45
2021-07-25,34483.2
2021-08-01,41268.06
2021-08-08,43867.4
2021-08-15,46718.33
2021-08-22,48414.22
2021-08-29,48925.24
2021-09-05,51668.21
2021-09-12,45089.47
2021-09-19,47601.08
2021-09-26,43651.76
2021-10-03,48464.31
2021-10-10,55435.21
2021-10-17,59400.14
2021-10-24,61159.77
2021-10-31,60975.98
2021-11-07,62884.45
2021-11-14,64336.55
2021-11-21,59541.76
2021-11-28,56341.89
2021-12-05,49229.81
2021-12-12,49965.29
2021-12-19,46741.79
2021-12-26,50808.21
2022-01-02,47028.52
2022-01-09,42315.13
2022-01-16,42982.4
2022-01-23,35364.47
2022-01-30,37754.4
2022-02-06,41687.25
2022-02-13,42228.76
2022-02-20,38252.4
2022-02-27,37435.48
2022-03-06,39030.04
2022-03-13,38687.43
2022-03-20,41308.02
2022-03-27,46111.06
2022-04-03,46387.63
2022-04-10,43125.15
2022-04-17,40273.09
2022-04-24,39515.9
2022-05-01,38320.24
2022-05-08,34225.04
2022-05-15,31019.19
2022-05-22,29907.98
2022-05-29,29160.07
2022-06-05,29925.66
2022-06-12,27345.79
2022-06-19,20607.54
2022-06-26,21392.35
2022-07-03,19420.48
2022-07-10,20972.87
2022-07-17,20930.58
2022-07-24,22723.53
2022-07-31,23807.28
2022-08-07,23266.22
2022-08-14,24322.8
2022-08-21,21474.5
2022-08-28,19989.13
2022-09-04,19901.9
2022-09-11,21641.25
2022-09-18,19721.88
2022-09-25,18903.75
2022-10-02,19234.63
2022-10-09,19485.5
2022-10-16,19332.84
2022-10-23,19497.58
2022-10-30,20689.77
2022-11-06,21128.93
2022-11-13,16365.81
2022-11-20,16253.33
