date,country,value
1989,China,100.00
1990,China,103.92
1991,China,113.55
1992,China,129.70
1993,China,147.70
1994,China,166.96
1995,China,185.25
1996,China,203.63
1997,China,222.44
1998,China,239.89
1999,China,258.27
2000,China,280.20
2001,China,303.56
2002,China,331.28
2003,China,364.54
2004,China,401.40
2005,China,447.14
2006,China,504.02
2007,China,575.75
2008,China,631.31
2009,China,690.65
2010,China,764.10
2011,China,837.08
2012,China,902.91
2013,China,973.03
2014,China,1045.29
2015,China,1118.89
2016,China,1195.52
2017,China,1278.57
2018,China,1364.87
2019,China,1446.08
2020,China,1480.03
1989,Russia,100
1990,Russia,97.00000436
1991,Russia,92.10447287
1992,Russia,78.72070397
1993,Russia,71.89676799
1994,Russia,62.85951969
1995,Russia,60.25491764
1996,Russia,57.99230364
1997,Russia,58.80414707
1998,Russia,55.68754984
1999,Russia,59.25150552
2000,Russia,65.17669566
2001,Russia,68.50074053
2002,Russia,71.72026979
2003,Russia,76.95581531
2004,Russia,82.49659389
2005,Russia,87.7763474
2006,Russia,94.97406779
2007,Russia,103.0468424
2008,Russia,108.4052466
2009,Russia,99.94964394
2010,Russia,104.4473779
2011,Russia,108.9386457
2012,Russia,113.3224306
2013,Russia,115.3117177
2014,Russia,116.16072
2015,Russia,113.8691952
2016,Russia,114.0897485
2017,Russia,116.1727878
2018,Russia,119.4340431
2019,Russia,121.8621165
2020,Russia,118.2656317
