date,value,,
2022-03-18,109.59,,
2022-03-11,122.29,,
2022-03-04,114.43,,
2022-02-25,99.36,,
2022-02-18,97.8,,
2022-02-11,96.43,,
2022-02-04,92.77,,
2022-01-28,90.12,,
2022-01-21,89.16,,
2022-01-14,85.07,,
2022-01-07,80.5,,
2021-12-31,78.16,,
2021-12-24,73.91,,
2021-12-17,73.76,,
2021-12-10,74.79,,
2021-12-03,71,,
2021-11-26,80.24,,
2021-11-19,81.63,,
2021-11-12,83.39,,
2021-11-05,82.52,,
2021-10-29,84.12,,
2021-10-22,84.98,,
2021-10-15,83.87,,
2021-10-08,82.01,,
2021-10-01,78.44,,
2021-09-24,75.32,,
2021-09-17,74.13,,
2021-09-10,72.01,,
2021-09-03,73.02,,
2021-08-27,71.02,,
2021-08-20,68.08,,
2021-08-13,71.09,,
2021-08-06,72.26,,
2021-07-30,75.75,,
2021-07-23,72.2,,
2021-07-16,75.8,,
2021-07-09,76.13,,
2021-07-02,76.26,,
2021-06-25,75.41,,
2021-06-18,73.11,,
2021-06-11,71.46,,
2021-06-04,70.66,,
2021-05-28,69.02,,
2021-05-21,67.48,,
2021-05-14,68.73,,
2021-05-07,68.99,,
2021-04-30,66.96,,
2021-04-23,65.34,,
2021-04-16,64.69,,
2021-04-09,61.83,,
2021-04-02,63.68,,
2021-03-26,62.51,,
2021-03-19,66.11,,
2021-03-12,68.15,,
2021-03-05,65.94,,
2021-02-26,65.86,,
2021-02-19,63.9,,
2021-02-12,61.13,,
2021-02-05,58.22,,
2021-01-29,55.18,,
2021-01-22,55.23,,
2021-01-15,55.38,,
2021-01-08,53.31,,
2021-01-01,50.82,,
2020-12-25,50.61,,
2020-12-18,51.05,,
2020-12-11,49.32,,
2020-12-04,47.83,,
2020-11-27,46.43,,
2020-11-20,43.01,,
2020-11-13,41.87,,
2020-11-06,38.64,,
2020-10-30,37.91,,
2020-10-23,41,,
2020-10-16,41.32,,
2020-10-09,41.06,,
2020-10-02,39.99,,
2020-09-25,40.89,,
2020-09-18,40.77,,
2020-09-11,39.45,,
2020-09-04,43.06,,
2020-08-28,45.26,,
2020-08-21,44.79,,
2020-08-14,44.54,,
2020-08-07,44.36,,
2020-07-31,43.22,,
2020-07-24,43.57,,
2020-07-17,43.4,,
2020-07-10,43.06,,
2020-07-03,42.3,,
2020-06-26,41.69,,
2020-06-19,40.95,,
2020-06-12,39.52,,
2020-06-05,38.37,,
2020-05-29,33.7,,
2020-05-22,33.94,,
2020-05-15,28.18,,
2020-05-08,23.57,,
2020-05-01,17.05,,
2020-04-24,14.24,,
2020-04-17,20,,
2020-04-10,22.53,,
2020-04-03,18.72,,
2020-03-27,23.96,,
2020-03-20,25.65,,
2020-03-13,33.72,,
2020-03-06,50.7,,
2020-02-28,54.09,,
2020-02-21,58.61,,
2020-02-14,55.33,,
2020-02-07,54.59,,
2020-01-31,58.57,,
2020-01-24,62.2,,
2020-01-17,64.11,,
2020-01-10,67.93,,
2020-01-03,68.07,,
2019-12-27,68.73,,
2019-12-20,68.9,,
2019-12-13,66.5,,
2019-12-06,64.71,,
2019-11-29,64.74,,
2019-11-22,63.76,,
2019-11-15,62.56,,
2019-11-08,62.39,,
2019-11-01,60.23,,
2019-10-25,60.75,,
2019-10-18,59.32,,
2019-10-11,59.39,,
2019-10-04,59.22,,
2019-09-27,63.15,,
2019-09-20,65.56,,
2019-09-13,62.74,,
2019-09-06,60.23,,
2019-08-30,59.83,,
2019-08-23,59.57,,
2019-08-16,58.25,,
2019-08-09,57.33,,
2019-08-02,62.59,,
2019-07-26,62.8,,
2019-07-19,63.63,,
2019-07-12,65.98,,
2019-07-05,63.84,,
2019-06-28,66.51,,
2019-06-21,64.04,,
2019-06-14,63.19,,
2019-06-07,63.15,,
2019-05-31,69.29,,
2019-05-24,70.89,,
2019-05-17,73.32,,
2019-05-10,71.25,,
2019-05-03,71.59,,
2019-04-26,72.93,,
2019-04-19,70.87,,
2019-04-12,71.33,,
2019-04-05,69.54,,
2019-03-29,67.25,,
2019-03-22,67.34,,
2019-03-15,65.71,,
2019-03-08,64.73,,
2019-03-01,64.56,,
2019-02-22,66.58,,
2019-02-15,63.36,,
2019-02-08,61.71,,
2019-02-01,61.38,,
2019-01-25,61.34,,
2019-01-18,59.83,,
2019-01-11,58.64,,
2019-01-04,54.31,,
2018-12-28,51.03,,
2018-12-21,54.64,,
2018-12-14,59.51,,
2018-12-07,60.47,,
2018-11-30,58.65,,
2018-11-23,61.22,,
2018-11-16,66.21,,
2018-11-09,70.34,,
2018-11-02,74.09,,
2018-10-26,78.23,,
2018-10-19,80.41,,
2018-10-12,83.05,,
2018-10-05,85.44,,
2018-09-28,81.85,,
2018-09-21,78.97,,
2018-09-14,78.11,,
2018-09-07,76.64,,
2018-08-31,76.08,,
2018-08-24,72.77,,
2018-08-17,69.82,,
2018-08-10,71.42,,
2018-08-03,73.37,,
2018-07-27,74,,
2018-07-20,71.27,,
2018-07-13,75.29,,
2018-07-06,76.33,,
2018-06-29,75.24,,
2018-06-22,74.12,,
2018-06-15,74.26,,
2018-06-08,73.98,,
