date,metric,value
2005,0-25%,41.45
2006,0-25%,32.47
2007,0-25%,33.99
2008,0-25%,29.39
2009,0-25%,26.83
2010,0-25%,29.45
2011,0-25%,31.76
2012,0-25%,30.41
2013,0-25%,32.09
2014,0-25%,31.72
2015,0-25%,32.05
2016,0-25%,34.76
2017,0-25%,34.2
2018,0-25%,36.38
2019,0-25%,33.93
2005,25-50%,33.07
2006,25-50%,31.71
2007,25-50%,34.37
2008,25-50%,29.69
2009,25-50%,33.86
2010,25-50%,30.15
2011,25-50%,28.92
2012,25-50%,26.02
2013,25-50%,26.6
2014,25-50%,26.96
2015,25-50%,27.46
2016,25-50%,29.6
2017,25-50%,30.88
2018,25-50%,30.27
2019,25-50%,30.69
2005,50-75%,16.35
2006,50-75%,18.77
2007,50-75%,22.5
2008,50-75%,24.99
2009,50-75%,21
2010,50-75%,23.1
2011,50-75%,22.7
2012,50-75%,26.14
2013,50-75%,23.19
2014,50-75%,26
2015,50-75%,27.61
2016,50-75%,25.04
2017,50-75%,23.57
2018,50-75%,21.63
2019,50-75%,23.93
2005,75-100%,7.51
2006,75-100%,13.01
2007,75-100%,7.97
2008,75-100%,13.08
2009,75-100%,13.66
2010,75-100%,14.74
2011,75-100%,14.16
2012,75-100%,14.17
2013,75-100%,15.4
2014,75-100%,13.55
2015,75-100%,11.93
2016,75-100%,9.31
2017,75-100%,9.51
2018,75-100%,10.51
2019,75-100%,10.47
2005,100% +,1.62
2006,100% +,4.04
2007,100% +,1.16
2008,100% +,2.85
2009,100% +,4.64
2010,100% +,2.57
2011,100% +,2.47
2012,100% +,3.26
2013,100% +,2.72
2014,100% +,1.77
2015,100% +,0.95
2016,100% +,1.29
2017,100% +,1.83
2018,100% +,1.2
2019,100% +,0.97
