horizontal,vertical,colour,group
1,1,blue,Poor (<100% federal poverty level)
2,1,blue,Poor (<100% federal poverty level)
3,1,blue,Poor (<100% federal poverty level)
4,1,blue,Poor (<100% federal poverty level)
5,1,blue,Poor (<100% federal poverty level)
6,1,blue,Poor (<100% federal poverty level)
7,1,blue,Poor (<100% federal poverty level)
8,1,blue,Poor (<100% federal poverty level)
9,1,blue,Poor (<100% federal poverty level)
10,1,blue,Poor (<100% federal poverty level)
1,2,blue,Poor (<100% federal poverty level)
2,2,blue,Poor (<100% federal poverty level)
3,2,blue,Poor (<100% federal poverty level)
4,2,blue,Poor (<100% federal poverty level)
5,2,blue,Poor (<100% federal poverty level)
6,2,blue,Poor (<100% federal poverty level)
7,2,blue,Poor (<100% federal poverty level)
8,2,blue,Poor (<100% federal poverty level)
9,2,blue,Poor (<100% federal poverty level)
10,2,blue,Poor (<100% federal poverty level)
1,3,blue,Poor (<100% federal poverty level)
2,3,blue,Poor (<100% federal poverty level)
3,3,blue,Poor (<100% federal poverty level)
4,3,blue,Poor (<100% federal poverty level)
5,3,blue,Poor (<100% federal poverty level)
6,3,blue,Poor (<100% federal poverty level)
7,3,blue,Poor (<100% federal poverty level)
8,3,blue,Poor (<100% federal poverty level)
9,3,blue,Poor (<100% federal poverty level)
10,3,blue,Poor (<100% federal poverty level)
1,4,blue,Poor (<100% federal poverty level)
2,4,blue,Poor (<100% federal poverty level)
3,4,blue,Poor (<100% federal poverty level)
4,4,blue,Poor (<100% federal poverty level)
5,4,blue,Poor (<100% federal poverty level)
6,4,blue,Poor (<100% federal poverty level)
7,4,blue,Poor (<100% federal poverty level)
8,4,blue,Poor (<100% federal poverty level)
9,4,blue,Poor (<100% federal poverty level)
10,4,blue,Poor (<100% federal poverty level)
1,5,blue,Poor (<100% federal poverty level)
2,5,blue,Poor (<100% federal poverty level)
3,5,blue,Poor (<100% federal poverty level)
4,5,blue,Poor (<100% federal poverty level)
5,5,blue,Poor (<100% federal poverty level)
6,5,blue,Poor (<100% federal poverty level)
7,5,blue,Poor (<100% federal poverty level)
8,5,blue,Poor (<100% federal poverty level)
9,5,blue,Poor (<100% federal poverty level)
10,5,green,Low income (100-199% federal poverty level)
1,6,green,Low income (100-199% federal poverty level)
2,6,green,Low income (100-199% federal poverty level)
3,6,green,Low income (100-199% federal poverty level)
4,6,green,Low income (100-199% federal poverty level)
5,6,green,Low income (100-199% federal poverty level)
6,6,green,Low income (100-199% federal poverty level)
7,6,green,Low income (100-199% federal poverty level)
8,6,green,Low income (100-199% federal poverty level)
9,6,green,Low income (100-199% federal poverty level)
10,6,green,Low income (100-199% federal poverty level)
1,7,green,Low income (100-199% federal poverty level)
2,7,green,Low income (100-199% federal poverty level)
3,7,green,Low income (100-199% federal poverty level)
4,7,green,Low income (100-199% federal poverty level)
5,7,green,Low income (100-199% federal poverty level)
6,7,green,Low income (100-199% federal poverty level)
7,7,green,Low income (100-199% federal poverty level)
8,7,green,Low income (100-199% federal poverty level)
9,7,green,Low income (100-199% federal poverty level)
10,7,green,Low income (100-199% federal poverty level)
1,8,green,Low income (100-199% federal poverty level)
2,8,green,Low income (100-199% federal poverty level)
3,8,green,Low income (100-199% federal poverty level)
4,8,green,Low income (100-199% federal poverty level)
5,8,green,Low income (100-199% federal poverty level)
6,8,grey,Above low income
7,8,grey,Above low income
8,8,grey,Above low income
9,8,grey,Above low income
10,8,grey,Above low income
1,9,grey,Above low income
2,9,grey,Above low income
3,9,grey,Above low income
4,9,grey,Above low income
5,9,grey,Above low income
6,9,grey,Above low income
7,9,grey,Above low income
8,9,grey,Above low income
9,9,grey,Above low income
10,9,grey,Above low income
1,10,grey,Above low income
2,10,grey,Above low income
3,10,grey,Above low income
4,10,grey,Above low income
5,10,grey,Above low income
6,10,grey,Above low income
7,10,grey,Above low income
8,10,grey,Above low income
9,10,grey,Above low income
10,10,grey,Above low income
