Date,Age group,Value (%),Detail
2020-04-01,18-59,1.972746,US
2020-05-01,18-59,2.181911,
2020-06-01,18-59,3.025259,
2020-07-01,18-59,3.247269,
2020-09-01,18-59,2.763219,
2020-10-01,18-59,3.370878,
2020-12-01,18-59,3.720056,
2021-01-01,18-59,3.069968,
2021-03-01,18-59,3.378068,
2020-04-01,60+,1.454598,
2020-05-01,60+,1.789929,
2020-06-01,60+,2.501183,
2020-07-01,60+,2.143995,
2020-09-01,60+,2.736231,
2020-10-01,60+,2.546757,
2020-12-01,60+,2.909123,
2021-01-01,60+,2.247809,
2021-03-01,60+,3.052132,
