date,sector,value
2020Q4,Total,100
2022Q1,Total,101.6
2020Q4,Computer/electronic/electrical/optical,100
2022Q1,Computer/electronic/electrical/optical,83.7
2020Q4,Basic and fabricated metal products,100
2022Q1,Basic and fabricated metal products,104.3
2020Q4,Transport equipment,85.8
2022Q1,Transport equipment,85.8
2020Q4,Machinery/equipment,100
2022Q1,Machinery/equipment,112.5
2020Q4,Food/drink/tobacco,100
2022Q1,Food/drink/tobacco,109.3
2020Q4,Chemicals/pharmaceuticals,100
2022Q1,Chemicals/pharmaceuticals,69.4
2020Q4,Textile/leather/allied,100
2022Q1,Textile/leather/allied,104.6
2020Q4,Rubber/plastics/non-metallic minerals,100
2022Q1,Rubber/plastics/non-metallic minerals,101.1
2020Q4,Wood and paper,100
2022Q1,Wood and paper,115.4
2020Q4,Other,100
2022Q1,Other,109.2
