countryName,countryCode,value1,value2
Seychelles,SYC,0.502,0.096762002
Sao Tome and Principe,STP,-0.639,0.21102799
Barbados,BRB,0.427,0.286641
Vanuatu,VUT,-0.492,0.29268
Iceland,ISL,1.466,0.35357401
Malta,MLT,0.969,0.48353001
Maldives,MDV,-0.488,0.51569599
Cape Verde,CPV,0.319,0.54376698
Suriname,SUR,-0.655,0.57599097
Luxembourg,LUX,1.778,0.607728
Solomon Islands,SLB,-1.054,0.65285802
Bhutan,BTN,0.359,0.75439399
Guyana,GUY,-0.269,0.77900398
Comoros,COM,-1.639,0.832322
Fiji,FJI,0.26,0.88348299
Djibouti,DJI,-0.899,0.95892
Eswatini,SWZ,-0.66,1.136191
Cyprus,CYP,0.921,1.189265
Mauritius,MUS,0.876,1.265303
Timor-Leste,TLS,-0.983,1.267972
Equatorial Guinea,GNQ,-1.294,1.308974
Estonia,EST,1.192,1.320884
Trinidad and Tobago,TTO,0.19,1.389858
Bahrain,BHR,0.18,1.5694391
Guinea-Bissau,GNB,-1.488,1.8743089
Latvia,LVA,1.043,1.926542
Slovenia,SVN,1.126,2.0673721
North Macedonia,MKD,0.09,2.082958
Lesotho,LSO,-0.861,2.1081319
Gabon,GAB,-0.812,2.1192751
Botswana,BWA,0.333,2.2541261
The Gambia,GMB,-0.623,2.280102
Namibia,NAM,0.106,2.4482551
Qatar,QAT,0.631,2.781677
Lithuania,LTU,1.072,2.7895329
Albania,ALB,0.115,2.8663759
Jamaica,JAM,0.497,2.934855
Armenia,ARM,-0.024,2.951776
Mongolia,MNG,-0.233,3.170208
Bosnia and Herzegovina,BIH,-0.619,3.3239291
Uruguay,URY,0.558,3.4492991
Moldova,MDA,-0.467,3.5458829
Georgia,GEO,0.615,3.7309999
Croatia,HRV,0.457,4.0893998
Kuwait,KWT,-0.088,4.1373091
Panama,PAN,-0.019,4.1768732
Mauritania,MRT,-0.727,4.4033189
Central African Republic,CAF,-1.72,4.6663771
Liberia,LBR,-1.341,4.8189769
Oman,OMN,0.187,4.829483
Ireland,IRL,1.42,4.8535061
New Zealand,NZL,1.67,4.8855
Costa Rica,CRI,0.378,4.9994411
Republic of the Congo,COG,-1.217,5.2443628
Norway,NOR,1.887,5.3143358
Slovakia,SVK,0.707,5.447011
Finland,FIN,1.984,5.5180502
Singapore,SGP,2.231,5.6386762
Denmark,DNK,1.872,5.7974458
Turkmenistan,TKM,-1.044,5.8509078
Kyrgyzstan,KGZ,-0.612,6.3158002
El Salvador,SLV,-0.447,6.4207439
Nicaragua,NIC,-0.802,6.4655132
Libya,LBY,-1.847,6.6785669
Lebanon,LBN,-0.64,6.8489251
Paraguay,PRY,-0.517,6.9560709
Serbia,SRB,0.112,6.9820838
Bulgaria,BGR,0.272,7.0242162
Laos,LAO,-0.673,7.0615072
Sierra Leone,SLE,-1.143,7.6501541
Togo,TGO,-1.058,7.8890939
Switzerland,CHE,2.04,8.5165434
Papua New Guinea,PNG,-0.677,8.6063156
Austria,AUT,1.453,8.8470373
Israel,ISR,1.208,8.8837996
Tajikistan,TJK,-1.098,9.1008368
Belarus,BLR,-0.301,9.4853859
Honduras,HND,-0.621,9.5875216
United Arab Emirates,ARE,1.431,9.6309586
Hungary,HUN,0.487,9.7687855
Azerbaijan,AZE,-0.1,9.9423342
Jordan,JOR,0.113,9.9560108
Sweden,SWE,1.831,10.183175
Portugal,PRT,1.209,10.281762
Czech Republic,CZE,0.922,10.625695
Dominican Republic,DOM,-0.4,10.627165
Greece,GRC,0.338,10.727668
Haiti,HTI,-1.909,11.123176
Burundi,BDI,-1.42,11.175378
Cuba,CUB,-0.245,11.338138
Bolivia,BOL,-0.322,11.353142
Belgium,BEL,1.172,11.422068
Benin,BEN,-0.566,11.485048
Tunisia,TUN,-0.105,11.565204
Rwanda,RWA,0.207,12.301939
Guinea,GIN,-0.971,12.414318
Zimbabwe,ZWE,-1.199,14.439018
Somalia,SOM,-2.191,15.008154
Chad,TCD,-1.529,15.477751
Senegal,SEN,-0.268,15.85436
Cambodia,KHM,-0.569,16.249798
Syria,SYR,-1.671,16.906282
Ecuador,ECU,-0.261,17.084356
Netherlands,NLD,1.85,17.231016
Guatemala,GTM,-0.682,17.247807
Zambia,ZMB,-0.559,17.351822
Malawi,MWI,-0.729,18.143314
Kazakhstan,KAZ,0.022,18.276499
Chile,CHL,1.084,18.72916
Mali,MLI,-1.005,19.07769
Romania,ROU,-0.253,19.473936
