date,series,value
1999,Scotland,-3.04
2000,Scotland,-2.44
2001,Scotland,-0.53
2002,Scotland,-2.75
2003,Scotland,-5.47
2004,Scotland,-6.66
2005,Scotland,-5.95
2006,Scotland,-3.17
2007,Scotland,-4.71
2008,Scotland,-3.94
2009,Scotland,-6.09
2010,Scotland,-10.71
2011,Scotland,-8.4
2012,Scotland,-7.23
2013,Scotland,-9.69
2014,Scotland,-8.55
2015,Scotland,-9.39
2016,Scotland,-10.7
2017,Scotland,-10.16
2018,Scotland,-8.88
2019,Scotland,-8.05
2020,Scotland,-8.81
2021,Scotland,-22.65
2022,Scotland,-12.32
1999,Scotland (excl. North Sea),-5.25
2000,Scotland (excl. North Sea),-5.31
2001,Scotland (excl. North Sea),-5.32
2002,Scotland (excl. North Sea),-7.71
2003,Scotland (excl. North Sea),-10.67
2004,Scotland (excl. North Sea),-11.01
2005,Scotland (excl. North Sea),-11.33
2006,Scotland (excl. North Sea),-10.79
2007,Scotland (excl. North Sea),-10.67
2008,Scotland (excl. North Sea),-10.86
2009,Scotland (excl. North Sea),-14.12
2010,Scotland (excl. North Sea),-16.7
2011,Scotland (excl. North Sea),-15.96
2012,Scotland (excl. North Sea),-14.38
2013,Scotland (excl. North Sea),-14.32
2014,Scotland (excl. North Sea),-12.12
2015,Scotland (excl. North Sea),-10.79
2016,Scotland (excl. North Sea),-11
2017,Scotland (excl. North Sea),-10.82
2018,Scotland (excl. North Sea),-10.25
2019,Scotland (excl. North Sea),-9.68
2020,Scotland (excl. North Sea),-10.05
2021,Scotland (excl. North Sea),-24.05
2022,Scotland (excl. North Sea),-15.65
1999,UK,0.12
2000,UK,1.09
2001,UK,1.41
2002,UK,-0.47
2003,UK,-2.82
2004,UK,-3.27
2005,UK,-3.65
2006,UK,-3.1
2007,UK,-2.66
2008,UK,-2.86
2009,UK,-7.4
2010,UK,-10.07
2011,UK,-8.57
2012,UK,-7.24
2013,UK,-7.2
2014,UK,-5.78
2015,UK,-5.11
2016,UK,-4.13
2017,UK,-2.75
2018,UK,-2.61
2019,UK,-1.97
2020,UK,-2.42
2021,UK,-14.46
2022,UK,-6.05
