date,region,value
1998,UK,26148.63601
1999,UK,26834.37635
2000,UK,27724.57287
2001,UK,28190.55959
2002,UK,28666.5812
2003,UK,29400.94132
2004,UK,29936.04843
2005,UK,30477.04283
2006,UK,31051.96746
2007,UK,31501.82875
2008,UK,31169.79016
2009,UK,29636.5499
2010,UK,30027.5866
2011,UK,30212.19277
2012,UK,30454.22002
2013,UK,30835.89164
2014,UK,31516.80134
2015,UK,32088.38748
2016,UK,32545.76289
2017,UK,33043.04108
2018,UK,33388.69024
2019,UK,33763.33542
2020,UK,30361.0992
1998,North East,17491.62301
1999,North East,17990.33374
2000,North East,18467.25336
2001,North East,19246.56213
2002,North East,20074.78548
2003,North East,20732.85124
2004,North East,21742.55324
2005,North East,21985.95594
2006,North East,22511.4473
2007,North East,22492.57917
2008,North East,22202.83095
2009,North East,21185.88622
2010,North East,21745.98781
2011,North East,22259.70088
2012,North East,22628.07184
2013,North East,22478.293
2014,North East,22841.55409
2015,North East,23570.25641
2016,North East,23503.85289
2017,North East,23788.84475
2018,North East,24018.50477
2019,North East,24381.07223
2020,North East,21376.3768
1998,Wales,18802.41599
1999,Wales,19278.43845
2000,Wales,19944.82724
2001,Wales,20323.81622
2002,Wales,20606.41642
2003,Wales,21179.34276
2004,Wales,21587.38252
2005,Wales,21800.35827
2006,Wales,22394.98832
2007,Wales,22392.9822
2008,Wales,21568.03323
2009,Wales,20700.44411
2010,Wales,21247.08727
2011,Wales,22026.87027
2012,Wales,22249.35241
2013,Wales,22616.06256
2014,Wales,22861.6355
2015,Wales,23399.47972
2016,Wales,23898.30236
2017,Wales,24176.32349
2018,Wales,24672.85896
2019,Wales,25136.39122
2020,Wales,22202.89968
1998,Scotland,23033.16677
1999,Scotland,23522.51107
2000,Scotland,24215.97416
2001,Scotland,24776.86505
2002,Scotland,25259.96842
2003,Scotland,25935.28657
2004,Scotland,26693.15343
2005,Scotland,27447.65371
2006,Scotland,28356.12702
2007,Scotland,28416.05416
2008,Scotland,28501.02827
2009,Scotland,27336.7228
2010,Scotland,27677.01722
2011,Scotland,28251.09908
2012,Scotland,28545.61879
2013,Scotland,29191.39591
2014,Scotland,29826.46421
2015,Scotland,30083.75209
2016,Scotland,30044.59082
2017,Scotland,30641.12963
2018,Scotland,30609.03624
2019,Scotland,30864.31278
2020,Scotland,27535.85803
1998,Nothern Ireland,20987.39457
1999,Nothern Ireland,21888.54596
2000,Nothern Ireland,23042.3591
2001,Nothern Ireland,23409.58695
2002,Nothern Ireland,23552.40013
2003,Nothern Ireland,24364.13588
2004,Nothern Ireland,24688.42654
2005,Nothern Ireland,25504.51951
2006,Nothern Ireland,26025.85145
2007,Nothern Ireland,25795.21968
2008,Nothern Ireland,24783.15512
2009,Nothern Ireland,23415.06011
2010,Nothern Ireland,23328.47416
2011,Nothern Ireland,24023.9032
2012,Nothern Ireland,24350.82917
2013,Nothern Ireland,24457.77371
2014,Nothern Ireland,24834.03948
2015,Nothern Ireland,25016.99862
2016,Nothern Ireland,25821.40841
2017,Nothern Ireland,26130.59202
2018,Nothern Ireland,26236.14175
2019,Nothern Ireland,26551.13069
2020,Nothern Ireland,23737.67482
