date,group,value
1997,10th percentile,86.50519031
1998,10th percentile,88.03986711
1999,10th percentile,89.27628104
2000,10th percentile,90.29622063
2001,10th percentile,89.31707317
2002,10th percentile,90.71828358
2003,10th percentile,89.85181859
2004,10th percentile,89.491967
2005,10th percentile,90.18691589
2006,10th percentile,93.15012305
2007,10th percentile,92.56623171
2008,10th percentile,91.49504195
2009,10th percentile,92.41583426
2010,10th percentile,91.43997098
2011,10th percentile,91.09341057
2012,10th percentile,91.84686281
2013,10th percentile,92.13913043
2014,10th percentile,91.17749218
2015,10th percentile,92.87402904
2016,10th percentile,93.26642927
2017,10th percentile,94.07337723
2018,10th percentile,94.93632505
2019,10th percentile,95.02314815
2020,10th percentile,91.70040486
2021,10th percentile,95.78492299
2022,10th percentile,95.42943245
1997,Median,89.45397816
1998,Median,89.01164527
1999,Median,89.86975398
2000,Median,89.19220056
2001,Median,87.92231977
2002,Median,87.49040675
2003,Median,87.12871287
2004,Median,88.88358779
2005,Median,89.33209647
2006,Median,90.7348963
2007,Median,87.47814685
2008,Median,87.1843039
2009,Median,89.47799386
2010,Median,87.72316951
2011,Median,89.24342765
2012,Median,90.41691365
2013,Median,89.60185543
2014,Median,88.75168821
2015,Median,91.95598558
2016,Median,91.64500557
2017,Median,90.90909091
2018,Median,91.11384832
2019,Median,91.33629528
2020,Median,90.26805532
2021,Median,94.27681207
2022,Median,92.4375
