Quarter,Measure,Rate
2007-04-01,Actual rate,1.325596
2007-07-01,Actual rate,1.33977
2007-10-01,Actual rate,1.107092
2008-01-01,Actual rate,1.05598
2008-04-01,Actual rate,1.182213
2008-07-01,Actual rate,1.138246
2008-10-01,Actual rate,1.030444
2009-01-01,Actual rate,1.08242
2009-04-01,Actual rate,1.160081
2009-07-01,Actual rate,1.131952
2009-10-01,Actual rate,1.074497
2010-01-01,Actual rate,0.9366992
2010-04-01,Actual rate,1.11025
2010-07-01,Actual rate,1.004257
2010-10-01,Actual rate,0.8857581
2011-01-01,Actual rate,0.7915086
2011-04-01,Actual rate,0.9049675
2011-07-01,Actual rate,0.9157196
2011-10-01,Actual rate,0.8500124
2012-01-01,Actual rate,0.8767087
2012-04-01,Actual rate,0.89788
2012-07-01,Actual rate,0.9377369
2012-10-01,Actual rate,0.7873225
2013-01-01,Actual rate,0.7653156
2013-04-01,Actual rate,0.939966
2013-07-01,Actual rate,0.9943327
2013-10-01,Actual rate,0.783637
2014-01-01,Actual rate,0.7914987
2014-04-01,Actual rate,0.9654092
2014-07-01,Actual rate,1.060758
2014-10-01,Actual rate,0.9590527
2015-01-01,Actual rate,0.9474037
2015-04-01,Actual rate,1.088242
2015-07-01,Actual rate,1.116843
2015-10-01,Actual rate,1.060429
2016-01-01,Actual rate,0.9705399
2016-04-01,Actual rate,1.208479
2016-07-01,Actual rate,1.542102
2016-10-01,Actual rate,1.233525
2017-01-01,Actual rate,1.25122
2007-04-01,Synthetic rate,1.273213
2007-07-01,Synthetic rate,1.266703
2007-10-01,Synthetic rate,1.126782
2008-01-01,Synthetic rate,1.072734
2008-04-01,Synthetic rate,1.164517
2008-07-01,Synthetic rate,1.198975
2008-10-01,Synthetic rate,1.065299
2009-01-01,Synthetic rate,1.025087
2009-04-01,Synthetic rate,1.180023
2009-07-01,Synthetic rate,1.14319
2009-10-01,Synthetic rate,0.9961978
2010-01-01,Synthetic rate,0.906254
2010-04-01,Synthetic rate,1.070817
2010-07-01,Synthetic rate,1.046066
2010-10-01,Synthetic rate,0.905609
2011-01-01,Synthetic rate,0.8773472
2011-04-01,Synthetic rate,0.9917699
2011-07-01,Synthetic rate,0.9990126
2011-10-01,Synthetic rate,0.899617
2012-01-01,Synthetic rate,0.8183316
2012-04-01,Synthetic rate,0.8653563
2012-07-01,Synthetic rate,0.9156467
2012-10-01,Synthetic rate,0.8298585
2013-01-01,Synthetic rate,0.7726071
2013-04-01,Synthetic rate,0.852396
2013-07-01,Synthetic rate,0.9498851
2013-10-01,Synthetic rate,0.8605649
2014-01-01,Synthetic rate,0.8220458
2014-04-01,Synthetic rate,0.9395835
2014-07-01,Synthetic rate,1.008695
2014-10-01,Synthetic rate,0.9659805
2015-01-01,Synthetic rate,0.909294
2015-04-01,Synthetic rate,1.073803
2015-07-01,Synthetic rate,1.113073
2015-10-01,Synthetic rate,1.093665
2016-01-01,Synthetic rate,1.020868
2016-04-01,Synthetic rate,1.154541
2016-07-01,Synthetic rate,1.237417
2016-10-01,Synthetic rate,1.19168
2017-01-01,Synthetic rate,1.153125
