metric,region,value
Imports,North East,-32.5
Exports,North East,-17.4
Imports,Yorkshire and The Humber,-42.9
Exports,Yorkshire and The Humber,-14.8
Imports,East Midlands,-39.8
Exports,East Midlands,-16.2
Imports,South West,-35.5
Exports,South West,-17.6
Imports,West Midlands,-39.5
Exports,West Midlands,-26.7
Imports,East of England,-20.4
Exports,East of England,-5.5
Imports,North West,-30.2
Exports,North West,-8.8
Imports,South East,-30.9
Exports,South East,-12.4
Imports,London,-10.0
Exports,London,6.1
Imports,Nothern Ireland,-15.7
Exports,Nothern Ireland,2.1
Imports,Wales,-41.4
Exports,Wales,-13.4
Imports,Scotland,-27.1
Exports,Scotland,-13.6
