Time,Value,Detail
2007-01-01,86.6,"GDP monthly index, 2018 = 100"
2007-02-01,87,
2007-03-01,87.3,
2007-04-01,87.3,
2007-05-01,87.4,
2007-06-01,87.6,
2007-07-01,87.8,
2007-08-01,88.3,
2007-09-01,88.6,
2007-10-01,88.4,
2007-11-01,88.9,
2007-12-01,89.3,
2008-01-01,89.4,
2008-02-01,89.7,
2008-03-01,88.9,
2008-04-01,89.5,
2008-05-01,88.6,
2008-06-01,88.4,
2008-07-01,87.7,
2008-08-01,87.5,
2008-09-01,86.7,
2008-10-01,86,
2008-11-01,85.3,
2008-12-01,85.2,
2009-01-01,84.6,
2009-02-01,84.3,
2009-03-01,83.4,
2009-04-01,84.5,
2009-05-01,83.6,
2009-06-01,83.8,
2009-07-01,84.4,
2009-08-01,83.9,
2009-09-01,84.2,
2009-10-01,84.3,
2009-11-01,84.3,
2009-12-01,84.7,
2010-01-01,84.1,
2010-02-01,85.2,
2010-03-01,85.8,
2010-04-01,85.8,
2010-05-01,86.1,
2010-06-01,86.3,
2010-07-01,86.6,
2010-08-01,86.8,
2010-09-01,86.9,
2010-10-01,87.1,
2010-11-01,87,
2010-12-01,86.2,
2011-01-01,86.7,
2011-02-01,87.1,
2011-03-01,87.6,
2011-04-01,86.8,
2011-05-01,87.6,
2011-06-01,87.5,
2011-07-01,87.8,
2011-08-01,87.5,
2011-09-01,87.6,
2011-10-01,87.2,
2011-11-01,88.1,
2011-12-01,88.3,
2012-01-01,88.4,
2012-02-01,88.1,
2012-03-01,88.4,
2012-04-01,88,
2012-05-01,89,
2012-06-01,87.6,
2012-07-01,89.2,
2012-08-01,89.7,
2012-09-01,88.8,
2012-10-01,89.2,
2012-11-01,89.3,
2012-12-01,89.1,
2013-01-01,89.3,
2013-02-01,89.9,
2013-03-01,89.8,
2013-04-01,90,
2013-05-01,90.4,
2013-06-01,90.6,
2013-07-01,90.9,
2013-08-01,91.2,
2013-09-01,91.2,
2013-10-01,91.8,
2013-11-01,91.8,
2013-12-01,91.6,
2014-01-01,92,
2014-02-01,92.4,
2014-03-01,92.9,
2014-04-01,92.8,
2014-05-01,93.1,
2014-06-01,93.3,
2014-07-01,93.6,
2014-08-01,93.6,
2014-09-01,93.8,
2014-10-01,94.1,
2014-11-01,94.2,
2014-12-01,94.3,
2015-01-01,94.4,
2015-02-01,94.6,
2015-03-01,94.8,
2015-04-01,95.3,
2015-05-01,95.2,
2015-06-01,95.3,
2015-07-01,95.7,
2015-08-01,95.4,
2015-09-01,95.7,
2015-10-01,96.1,
2015-11-01,96.1,
2015-12-01,96.3,
2016-01-01,96.3,
2016-02-01,96.6,
2016-03-01,96.4,
2016-04-01,97,
2016-05-01,96.7,
2016-06-01,96.8,
2016-07-01,96.9,
2016-08-01,97,
2016-09-01,97.3,
2016-10-01,97.3,
2016-11-01,97.5,
2016-12-01,98,
2017-01-01,98.2,
2017-02-01,98,
2017-03-01,98.1,
2017-04-01,98.2,
2017-05-01,98.5,
2017-06-01,98.6,
2017-07-01,98.7,
2017-08-01,98.9,
2017-09-01,99.1,
2017-10-01,99,
2017-11-01,99.3,
2017-12-01,99.4,
2018-01-01,99.5,
2018-02-01,99.3,
2018-03-01,99.2,
2018-04-01,99.4,
2018-05-01,99.7,
2018-06-01,99.9,
2018-07-01,100.3,
2018-08-01,100.4,
2018-09-01,100.4,
2018-10-01,100.7,
2018-11-01,100.8,
2018-12-01,100.5,
2019-01-01,101,
2019-02-01,101.3,
2019-03-01,101.4,
2019-04-01,101,
2019-05-01,101.2,
2019-06-01,101.4,
2019-07-01,101.7,
2019-08-01,101.6,
2019-09-01,101.6,
2019-10-01,101.9,
2019-11-01,101.5,
2019-12-01,101.5,
2020-01-01,101.6,
2020-02-01,101.3,
2020-03-01,94,
2020-04-01,76.4,
2020-05-01,78.8,
2020-06-01,86,
2020-07-01,92.2,
2020-08-01,94.3,
2020-09-01,95.5,
2020-10-01,96.3,
2020-11-01,94.2,
2020-12-01,95.1,
2021-01-01,92.5,
2021-02-01,93.2,
2021-03-01,95.4,
