date,value1,value2,value3
2006-12-01,72.632,5.51,23.068
2007-01-01,72.499,5.53,23.193
2007-02-01,72.502,5.514,23.21
2007-03-01,72.535,5.472,23.213
2007-04-01,72.691,5.389,23.117
2007-05-01,72.651,5.35,23.196
2007-06-01,72.637,5.306,23.241
2007-07-01,72.644,5.302,23.233
2007-08-01,72.683,5.31,23.179
2007-09-01,72.767,5.239,23.15
2007-10-01,72.83,5.239,23.08
2007-11-01,72.909,5.157,23.058
2007-12-01,72.932,5.177,23.021
2008-01-01,73.021,5.181,22.927
2008-02-01,72.976,5.183,22.974
2008-03-01,72.964,5.314,22.885
2008-04-01,73.027,5.179,22.927
2008-05-01,72.9,5.35,22.917
2008-06-01,72.787,5.487,22.919
2008-07-01,72.555,5.71,22.988
2008-08-01,72.436,5.855,22.996
2008-09-01,72.28,5.968,23.071
2008-10-01,72.291,6.163,22.895
2008-11-01,72.174,6.353,22.851
2008-12-01,72.194,6.511,22.695
2009-01-01,71.882,6.744,22.838
2009-02-01,71.673,7.072,22.786
2009-03-01,71.396,7.274,22.908
2009-04-01,71.049,7.59,23.012
2009-05-01,70.84,7.764,23.097
2009-06-01,70.615,7.868,23.255
2009-07-01,70.661,7.87,23.19
2009-08-01,70.617,7.847,23.27
2009-09-01,70.6,7.868,23.274
2009-10-01,70.579,7.781,23.371
2009-11-01,70.552,7.773,23.397
2009-12-01,70.416,7.729,23.587
2010-01-01,70.28,7.92,23.57
2010-02-01,70.195,8.01,23.588
2010-03-01,70.214,7.952,23.606
2010-04-01,70.398,7.923,23.429
2010-05-01,70.423,7.852,23.451
2010-06-01,70.621,7.82,23.252
2010-07-01,70.639,7.782,23.27
2010-08-01,70.705,7.755,23.219
2010-09-01,70.49,7.897,23.329
2010-10-01,70.339,7.871,23.518
2010-11-01,70.39,7.863,23.468
2010-12-01,70.469,7.909,23.34
2011-01-01,70.586,7.803,23.297
2011-02-01,70.546,7.778,23.36
2011-03-01,70.482,7.717,23.483
2011-04-01,70.512,7.822,23.362
2011-05-01,70.45,7.94,23.329
2011-06-01,70.22,8.013,23.531
2011-07-01,70.195,8.181,23.423
2011-08-01,70.105,8.333,23.397
2011-09-01,70.144,8.372,23.331
