Name,Value,Type,Detail
Total EPE by type,1231,External operating,Expendisture by industry
Water Supply and waste,46,External operating,£ billions
Energy production,52,External operating,
Manufacturing,1031,External operating,
Mining and quarrying,102,External operating,
Total EPE by type,428,In-house operating,
Water Supply and waste,2,In-house operating,
Energy production,30,In-house operating,
Manufacturing,317,In-house operating,
Mining and quarrying,80,In-house operating,
Total EPE by type,417,End-of-pipe,
Water Supply and waste,0,End-of-pipe,
Energy production,0,End-of-pipe,
Manufacturing,302,End-of-pipe,
Mining and quarrying,107,End-of-pipe,
Total EPE by type,31,Integrated capital,
Water Supply and waste,0,Integrated capital,
Energy production,0,Integrated capital,
Manufacturing,0,Integrated capital,
Mining and quarrying,0,Integrated capital,
Total EPE by type,0,Disposals,
Water Supply and waste,0,Disposals,
Energy production,0,Disposals,
Manufacturing,0,Disposals,
Mining and quarrying,0,Disposals,
