Journal,Year,Value,Detail
QJE,91,0,Economics journals
EJ,91,1,Number of articles
Econometrica,91,0,
ReStud,91,0,
AER,91,2,
JEEA,91,0,
Economica,91,0,
JPE,91,0,
AEJ: Applied,91,0,
QJE,92,0,
EJ,92,0,
Econometrica,92,0,
ReStud,92,0,
AER,92,1,
JEEA,92,0,
Economica,92,0,
JPE,92,0,
AEJ: Applied,92,0,
QJE,93,0,
EJ,93,0,
Econometrica,93,0,
ReStud,93,0,
AER,93,1,
JEEA,93,0,
Economica,93,0,
JPE,93,0,
AEJ: Applied,93,0,
QJE,94,0,
EJ,94,0,
Econometrica,94,0,
ReStud,94,0,
AER,94,1,
JEEA,94,0,
Economica,94,0,
JPE,94,0,
AEJ: Applied,94,0,
QJE,95,0,
EJ,95,0,
Econometrica,95,0,
ReStud,95,0,
AER,95,1,
JEEA,95,0,
Economica,95,0,
JPE,95,0,
AEJ: Applied,95,0,
QJE,96,0,
EJ,96,0,
Econometrica,96,0,
ReStud,96,0,
AER,96,4,
JEEA,96,0,
Economica,96,0,
JPE,96,0,
AEJ: Applied,96,0,
QJE,97,0,
EJ,97,1,
Econometrica,97,0,
ReStud,97,0,
AER,97,0,
JEEA,97,0,
Economica,97,0,
JPE,97,1,
AEJ: Applied,97,0,
QJE,98,0,
EJ,98,0,
Econometrica,98,0,
ReStud,98,0,
AER,98,1,
JEEA,98,0,
Economica,98,0,
JPE,98,0,
AEJ: Applied,98,0,
QJE,99,0,
EJ,99,0,
Econometrica,99,0,
ReStud,99,0,
AER,99,2,
JEEA,99,0,
Economica,99,0,
JPE,99,0,
AEJ: Applied,99,0,
QJE,00,0,
EJ,00,0,
Econometrica,00,0,
ReStud,00,0,
AER,00,0,
JEEA,00,0,
Economica,00,0,
JPE,00,0,
AEJ: Applied,00,0,
QJE,01,0,
EJ,01,0,
Econometrica,01,0,
ReStud,01,0,
AER,01,0,
JEEA,01,0,
Economica,01,0,
JPE,01,0,
AEJ: Applied,01,0,
QJE,02,0,
EJ,02,0,
Econometrica,02,0,
ReStud,02,0,
AER,02,0,
JEEA,02,0,
Economica,02,0,
JPE,02,0,
AEJ: Applied,02,0,
QJE,03,0,
EJ,03,0,
Econometrica,03,0,
ReStud,03,0,
AER,03,0,
JEEA,03,1,
Economica,03,0,
JPE,03,0,
AEJ: Applied,03,0,
QJE,04,0,
EJ,04,1,
Econometrica,04,0,
ReStud,04,0,
AER,04,0,
JEEA,04,0,
Economica,04,0,
JPE,04,0,
AEJ: Applied,04,0,
QJE,05,0,
EJ,05,0,
Econometrica,05,0,
ReStud,05,0,
AER,05,1,
JEEA,05,0,
Economica,05,0,
JPE,05,0,
AEJ: Applied,05,0,
QJE,06,0,
EJ,06,0,
Econometrica,06,0,
ReStud,06,0,
AER,06,3,
JEEA,06,0,
Economica,06,0,
JPE,06,0,
AEJ: Applied,06,0,
QJE,07,0,
EJ,07,0,
Econometrica,07,0,
ReStud,07,0,
AER,07,1,
JEEA,07,0,
Economica,07,0,
JPE,07,0,
AEJ: Applied,07,0,
QJE,08,0,
EJ,08,1,
Econometrica,08,0,
ReStud,08,0,
AER,08,2,
JEEA,08,1,
Economica,08,0,
JPE,08,0,
AEJ: Applied,08,0,
QJE,09,0,
EJ,09,2,
Econometrica,09,0,
ReStud,09,0,
AER,09,2,
JEEA,09,1,
Economica,09,0,
JPE,09,0,
AEJ: Applied,09,0,
QJE,10,0,
EJ,10,0,
Econometrica,10,0,
ReStud,10,0,
AER,10,3,
JEEA,10,1,
Economica,10,1,
JPE,10,0,
AEJ: Applied,10,0,
QJE,11,0,
EJ,11,1,
Econometrica,11,0,
ReStud,11,0,
AER,11,6,
JEEA,11,0,
Economica,11,0,
JPE,11,0,
AEJ: Applied,11,1,
QJE,12,0,
EJ,12,0,
Econometrica,12,0,
ReStud,12,1,
AER,12,4,
JEEA,12,1,
Economica,12,0,
JPE,12,1,
AEJ: Applied,12,1,
QJE,13,0,
EJ,13,0,
Econometrica,13,0,
ReStud,13,0,
AER,13,2,
JEEA,13,0,
Economica,13,0,
JPE,13,0,
AEJ: Applied,13,0,
QJE,14,0,
EJ,14,3,
Econometrica,14,1,
ReStud,14,1,
AER,14,5,
JEEA,14,0,
Economica,14,3,
JPE,14,0,
AEJ: Applied,14,1,
QJE,15,0,
EJ,15,2,
Econometrica,15,0,
ReStud,15,0,
AER,15,4,
JEEA,15,0,
Economica,15,1,
JPE,15,0,
AEJ: Applied,15,0,
QJE,16,0,
EJ,16,1,
Econometrica,16,0,
ReStud,16,2,
AER,16,3,
JEEA,16,2,
Economica,16,0,
JPE,16,7,
AEJ: Applied,16,1,
QJE,17,0,
EJ,17,4,
Econometrica,17,0,
ReStud,17,1,
AER,17,7,
JEEA,17,0,
Economica,17,2,
JPE,17,0,
AEJ: Applied,17,0,
QJE,18,0,
EJ,18,4,
Econometrica,18,1,
ReStud,18,0,
AER,18,0,
JEEA,18,2,
Economica,18,0,
JPE,18,0,
AEJ: Applied,18,0,
QJE,19,0,
EJ,19,0,
Econometrica,19,0,
ReStud,19,1,
AER,19,2,
JEEA,19,2,
Economica,19,0,
JPE,19,2,
AEJ: Applied,19,1,
QJE,20,0,
EJ,20,0,
Econometrica,20,0,
ReStud,20,2,
AER,20,2,
JEEA,20,0,
Economica,20,2,
JPE,20,1,
AEJ: Applied,20,2,
QJE,21,1,
EJ,21,1,
Econometrica,21,0,
ReStud,21,2,
AER,21,1,
JEEA,21,0,
Economica,21,0,
JPE,21,2,
AEJ: Applied,21,0,
