date,component,value
2018/19 winter,"Network, operations and profit",488
2019 summer,"Network, operations and profit",510
2019/20 winter,"Network, operations and profit",511
2020 summer,"Network, operations and profit",518
2020/21 winter,"Network, operations and profit",524
2021 summer,"Network, operations and profit",539
2021/22 winter,"Network, operations and profit",530
2022 summer,"Network, operations and profit",579
2018/19 winter,Policy costs,130
2019 summer,Policy costs,144
2019/20 winter,Policy costs,146
2020 summer,Policy costs,160
2020/21 winter,Policy costs,162
2021 summer,Policy costs,172
2021/22 winter,Policy costs,159
2022 summer,Policy costs,153
2018/19 winter,Wholesale costs,434
2019 summer,Wholesale costs,505
2019/20 winter,Wholesale costs,432
2020 summer,Wholesale costs,395
2020/21 winter,Wholesale costs,307
2021 summer,Wholesale costs,373
2021/22 winter,Wholesale costs,528
2022 summer,Wholesale costs,1077
2018/19 winter,Rescue costs,0
2019 summer,Rescue costs,0
2019/20 winter,Rescue costs,0
2020 summer,Rescue costs,0
2020/21 winter,Rescue costs,0
2021 summer,Rescue costs,0
2021/22 winter,Rescue costs,0
2022 summer,Rescue costs,68
2018/19 winter,VAT,53
2019 summer,VAT,58
2019/20 winter,VAT,54
2020 summer,VAT,54
2020/21 winter,VAT,50
2021 summer,VAT,54
2021/22 winter,VAT,61
2022 summer,VAT,94
