date,fuel,value
1965,Oil,40.30586717
1966,Oil,42.95059086
1967,Oil,45.28831052
1968,Oil,46.68140183
1969,Oil,48.46092168
1970,Oil,50.44038553
1971,Oil,51.53841436
1972,Oil,52.64323827
1973,Oil,53.33929688
1974,Oil,50.91623277
1975,Oil,49.65539191
1976,Oil,50.18077191
1977,Oil,48.92784144
1978,Oil,49.50681169
1979,Oil,48.81566017
1980,Oil,46.69239672
1981,Oil,44.66302431
1982,Oil,43.30717326
1983,Oil,41.72374745
1984,Oil,40.90967388
1985,Oil,38.2671522
1986,Oil,38.79047603
1987,Oil,38.19778397
1988,Oil,37.98895613
1989,Oil,37.99797903
1990,Oil,38.32539708
1991,Oil,38.47413646
1992,Oil,38.74351731
1993,Oil,38.51895636
1994,Oil,39.15785003
1995,Oil,39.1072555
1996,Oil,38.56986023
1997,Oil,39.01497247
1998,Oil,39.47213148
1999,Oil,39.13716924
2000,Oil,38.22265447
2001,Oil,38.3430294
2002,Oil,38.36323782
2003,Oil,37.88997238
2004,Oil,37.70276001
2005,Oil,37.76779766
2006,Oil,37.55299793
2007,Oil,37.15451665
2008,Oil,36.94901527
2009,Oil,37.3261961
2010,Oil,35.58243704
2011,Oil,35.42425921
2012,Oil,34.36684287
2013,Oil,34.08897376
2014,Oil,34.79004071
2015,Oil,35.35810468
2016,Oil,35.71328047
2017,Oil,35.99885498
2018,Oil,35.89016775
2019,Oil,36.2741157
2020,Oil,33.79602033
1965,Gas,3.068279943
1966,Gas,3.372405636
1967,Gas,3.92527655
1968,Gas,4.766936841
1969,Gas,5.731717251
1970,Gas,6.79587697
1971,Gas,8.148399905
1972,Gas,9.467287989
1973,Gas,10.17380165
1974,Gas,11.68491502
1975,Gas,12.67308952
1976,Gas,13.03584946
1977,Gas,13.4288252
1978,Gas,13.45353201
1979,Gas,13.69337986
1980,Gas,14.02882785
1981,Gas,14.2598388
1982,Gas,14.2566846
1983,Gas,14.69069105
1984,Gas,14.99964209
1985,Gas,16.99509155
1986,Gas,17.139937
1987,Gas,17.54191844
1988,Gas,17.50972937
1989,Gas,18.06258361
1990,Gas,19.30538214
1991,Gas,19.79186053
1992,Gas,19.34214465
1993,Gas,19.77945256
1994,Gas,19.62177459
1995,Gas,20.31175837
1996,Gas,21.96660433
1997,Gas,21.52981089
1998,Gas,21.656129
1999,Gas,22.65666491
2000,Gas,22.99952401
2001,Gas,23.19902338
2002,Gas,23.36691656
2003,Gas,23.99563515
2004,Gas,24.22864289
2005,Gas,24.73455132
2006,Gas,24.34553469
