payment2,period,value,value2
Energy + cost of living package,2022-23,43.19,43.19
Energy profits levy,2022-23,7.19,7.19
Electricity generator levy,2022-23,1.13,1.035
Energy + cost of living package,2023-24,25.03,25.03
Energy profits levy,2023-34,10.81,10.81
Electricity generator levy,2023-24,3.44,4.075
Energy + cost of living package,2024-25,0.23,0.225
Energy profits levy,2024-25,8.01,8.01
Electricity generator levy,2024-25,2.47,3.445
Energy + cost of living package,2025-26,0.2,0.2
Energy profits levy,2025-26,5.97,5.965
Electricity generator levy,2025-26,2.75,2.195
Energy + cost of living package,2026-27,0.18,0.18
Energy profits levy,2026-27,5.51,5.51
Electricity generator levy,2026-27,5.51,1.935
Energy + cost of living package,2027-28,0.17,0.17
Energy profits levy,2027-28,4.14,4.14
Electricity generator levy,2027-28,4.14,1.535
