payment2,period,value
Energy + cost of living package,2022-23,43.19
Energy profits levy,2022-23,7.19
Electricity generator levy,2022-23,1.13
Energy + cost of living package,2023-24,25.03
Energy profits levy,2023-34,10.81
Electricity generator levy,2023-24,3.44
Energy + cost of living package,2024-25,0.23
Energy profits levy,2024-25,8.01
Electricity generator levy,2024-25,2.47
Energy + cost of living package,2025-26,0.20
Energy profits levy,2025-26,5.97
Electricity generator levy,2025-26,2.75
Energy + cost of living package,2026-27,0.18
Energy profits levy,2026-27,5.51
Electricity generator levy,2026-27,5.51
Energy + cost of living package,2027-28,0.17
Energy profits levy,2027-28,4.14
Electricity generator levy,2027-28,4.14
