type,period,value,value2
RFCT capital allowances,2016-17,1500.00,1.5
SC allowances,2016-17,95,0.095
Decomissioning relief,2016-17,830,0.83
Tax Contributions,2016-17,-31,-0.031
RFCT capital allowances,2017-18,1500.00,1.5
SC allowances,2017-18,120,0.12
Decomissioning relief,2017-18,870,0.87
Tax Contributions,2017-18,1225,1.225
RFCT capital allowances,2018-19,1300.00,1.3
SC allowances,2018-19,250,0.25
Decomissioning relief,2018-19,870,0.87
Tax Contributions,2018-19,1123,1.123
RFCT capital allowances,2019-20,1400.00,1.4
SC allowances,2019-20,220,0.22
Decomissioning relief,2019-20,760,0.76
Tax Contributions,2019-20,575,0.575
RFCT capital allowances,2020-21,750,0.75
SC allowances,2020-21,130,0.13
Decomissioning relief,2020-21,730,0.73
Tax Contributions,2020-21,450,0.45
