date,value,value2
1766,0.0019,0.0000
1767,0.0030,0.0000
1768,0.0051,0.0001
1769,0.0084,0.0001
1770,0.0128,0.0001
1771,0.0183,0.0002
1772,0.0237,0.0002
1773,0.0292,0.0003
1774,0.0347,0.0003
1775,0.0402,0.0004
1776,0.0457,0.0005
1777,0.0513,0.0005
1778,0.0569,0.0006
1779,0.0626,0.0006
1780,0.0684,0.0007
1781,0.0743,0.0007
1782,0.0810,0.0008
1783,0.0883,0.0009
1784,0.0964,0.0010
1785,0.1053,0.0011
1786,0.1150,0.0011
1787,0.1255,0.0013
1788,0.1368,0.0014
1789,0.1490,0.0015
1790,0.1621,0.0016
1791,0.1762,0.0018
1792,0.1892,0.0019
1793,0.2012,0.0020
1794,0.2123,0.0021
1795,0.2225,0.0022
1796,0.2318,0.0023
1797,0.2401,0.0024
1798,0.2477,0.0025
1799,0.2543,0.0025
1800,0.2602,0.0026
1801,0.2653,0.0027
1802,0.2700,0.0027
1803,0.2745,0.0027
1804,0.2787,0.0028
1805,0.2826,0.0028
1806,0.2862,0.0029
1807,0.2896,0.0029
1808,0.2927,0.0029
1809,0.2957,0.0030
1810,0.2983,0.0030
1811,0.3008,0.0030
1812,0.3047,0.0030
1813,0.3099,0.0031
1814,0.3166,0.0032
1815,0.3248,0.0032
1816,0.3344,0.0033
1817,0.3455,0.0035
1818,0.3581,0.0036
1819,0.3722,0.0037
1820,0.3880,0.0039
1821,0.4054,0.0041
1822,0.4218,0.0042
1823,0.4375,0.0044
1824,0.4524,0.0045
1825,0.4665,0.0047
1826,0.4799,0.0048
1827,0.4927,0.0049
1828,0.5047,0.0050
1829,0.5162,0.0052
1830,0.5271,0.0053
1831,0.5374,0.0054
1832,0.5459,0.0055
1833,0.5526,0.0055
1834,0.5574,0.0056
1835,0.5605,0.0056
1836,0.5618,0.0056
1837,0.5614,0.0056
1838,0.5591,0.0056
1839,0.5551,0.0056
1840,0.5493,0.0055
1841,0.5417,0.0054
1842,0.5372,0.0054
1843,0.5357,0.0054
1844,0.5372,0.0054
1845,0.5418,0.0054
1846,0.5495,0.0055
1847,0.5603,0.0056
1848,0.5741,0.0057
1849,0.5912,0.0059
1850,0.6114,0.0061
1851,0.6348,0.0063
1852,0.6557,0.0066
1853,0.6741,0.0067
1854,0.6901,0.0069
1855,0.7037,0.0070
1856,0.7148,0.0071
1857,0.7237,0.0072
1858,0.7317,0.0073
1859,0.7433,0.0074
1860,0.7556,0.0076
1861,0.7675,0.0077
1862,0.7816,0.0078
1863,0.8067,0.0081
1864,0.8140,0.0081
1865,0.8227,0.0082
1866,0.8295,0.0083
1867,0.8309,0.0083
1868,0.8291,0.0083
1869,0.8177,0.0082
1870,0.8085,0.0081
1871,0.7949,0.0079
1872,0.7761,0.0078
1873,0.7616,0.0076
1874,0.7499,0.0075
1875,0.7337,0.0073
1876,0.7189,0.0072
1877,0.7067,0.0071
1878,0.6969,0.0070
1879,0.6892,0.0069
1880,0.6836,0.0068
1881,0.6752,0.0068
1882,0.6692,0.0067
1883,0.6646,0.0066
1884,0.6566,0.0066
1885,0.6483,0.0065
1886,0.6460,0.0065
1887,0.6449,0.0064
1888,0.6419,0.0064
1889,0.6397,0.0064
1890,0.6379,0.0064
1891,0.6400,0.0064
1892,0.6394,0.0064
1893,0.6440,0.0064
1894,0.6544,0.0065
1895,0.6569,0.0066
1896,0.6559,0.0066
1897,0.6532,0.0065
1898,0.6514,0.0065
1899,0.6451,0.0065
1900,0.6385,0.0064
1901,0.6389,0.0064
1902,0.6384,0.0064
1903,0.6385,0.0064
1904,0.6443,0.0064
1905,0.6513,0.0065
1906,0.6587,0.0066
1907,0.6677,0.0067
1908,0.6766,0.0068
1909,0.6939,0.0069
1910,0.7086,0.0071
1911,0.7266,0.0073
1912,0.7441,0.0074
1913,0.7616,0.0076
1914,0.7757,0.0078
1915,0.7844,0.0078
1916,0.7837,0.0078
1917,0.7833,0.0078
1918,0.7837,0.0078
1919,0.7799,0.0078
1920,0.7959,0.0080
1921,0.8318,0.0083
1922,0.8710,0.0087
1923,0.8961,0.0090
1924,0.9145,0.0091
1925,0.9238,0.0092
1926,0.9312,0.0093
1927,0.9504,0.0095
1928,0.9595,0.0096
1929,0.9709,0.0097
1930,0.9815,0.0098
1931,0.9961,0.0100
1932,1.0224,0.0102
1933,1.0526,0.0105
1934,1.0834,0.0108
1935,1.1083,0.0111
1936,1.1325,0.0113
1937,1.1543,0.0115
1938,1.1789,0.0118
1939,1.2044,0.0120
1940,1.2295,0.0123
1941,1.2543,0.0125
1942,1.2788,0.0128
1943,1.3031,0.0130
1944,1.3273,0.0133
1945,1.3515,0.0135
1946,1.3756,0.0138
1947,1.3998,0.0140
1948,1.4241,0.0142
1949,1.4486,0.0145
1950,1.4687,0.0147
1951,1.4864,0.0149
1952,1.5032,0.0150
1953,1.5246,0.0152
1954,1.5422,0.0154
1955,1.5579,0.0156
1956,1.5721,0.0157
1957,1.5892,0.0159
1958,1.6059,0.0161
1959,1.6241,0.0162
1960,1.6375,0.0164
1961,1.6450,0.0165
1962,1.6536,0.0165
1963,1.6650,0.0166
1964,1.6706,0.0167
1965,1.6701,0.0167
1966,1.6700,0.0167
1967,1.6659,0.0167
1968,1.6577,0.0166
1969,1.6422,0.0164
1970,1.6266,0.0163
1971,1.6073,0.0161
1972,1.5875,0.0159
1973,1.5656,0.0157
1974,1.5371,0.0154
1975,1.5277,0.0153
1976,1.5230,0.0152
1977,1.5173,0.0152
1978,1.5123,0.0151
1979,1.5037,0.0150
1980,1.4948,0.0149
1981,1.4951,0.0150
1982,1.4962,0.0150
1983,1.4933,0.0149
1984,1.4854,0.0149
1985,1.4803,0.0148
1986,1.4761,0.0148
1987,1.4674,0.0147
1988,1.4559,0.0146
1989,1.4469,0.0145
1990,1.4423,0.0144
1991,1.4428,0.0144
1992,1.4469,0.0145
1993,1.4497,0.0145
1994,1.4505,0.0145
1995,1.4490,0.0145
1996,1.4485,0.0145
1997,1.4478,0.0145
1998,1.4480,0.0145
1999,1.4466,0.0145
2000,1.4441,0.0144
2001,1.4383,0.0144
2002,1.4329,0.0143
2003,1.4274,0.0143
2004,1.4226,0.0142
2005,1.4181,0.0142
2006,1.4165,0.0142
2007,1.4168,0.0142
2008,1.4171,0.0142
2009,1.4184,0.0142
2010,1.4196,0.0142
2011,1.4216,0.0142
2012,1.4237,0.0142
2013,1.4263,0.0143
2014,1.4290,0.0143
2015,1.4321,0.0143
2016,1.4353,0.0144
2017,1.4388,0.0144
2018,1.4425,0.0144
2019,1.4463,0.0145
2020,1.4503,0.0145
