Year,RegionIRE,ValueIRE,RegionEUR,ValueEUR,Rank,Detail
1841,Ireland,100,null,null,1,"Population change in Ireland (versus the rest of Europe), 1840-2010"
1842,Ireland,100.2619048,null,null,1,
1843,Ireland,100.4880952,null,null,1,
1844,Ireland,100.9404762,null,null,1,
1845,Ireland,101.1547619,null,null,1,
1846,Ireland,101.0714286,null,null,1,
1847,Ireland,97.67857143,null,null,1,
1848,Ireland,90.95238095,null,null,1,
1849,Ireland,86.38095238,null,null,1,
1850,Ireland,81.88095238,null,null,1,
1851,Ireland,77.54761905,null,null,1,
1852,Ireland,75.44047619,null,null,1,
1853,Ireland,73.79761905,null,null,1,
1854,Ireland,72.41666667,null,null,1,
1855,Ireland,71.60714286,null,null,1,
1856,Ireland,71.10714286,null,null,1,
1857,Ireland,70.46428571,null,null,1,
1858,Ireland,70.13095238,null,null,1,
1859,Ireland,69.78571429,null,null,1,
1860,Ireland,69.29761905,null,null,1,
1861,Ireland,68.9047619,null,null,1,
1862,Ireland,68.76190476,null,null,1,
1863,Ireland,68.07142857,null,null,1,
1864,Ireland,67.1547619,null,null,1,
1865,Ireland,66.60714286,null,null,1,
1866,Ireland,65.75,null,null,1,
1867,Ireland,65.32142857,null,null,1,
1868,Ireland,65.07142857,null,null,1,
1869,Ireland,64.86904762,null,null,1,
1870,Ireland,64.51190476,null,null,1,
1871,Ireland,64.26190476,null,null,1,
1872,Ireland,63.96428571,null,null,1,
1873,Ireland,63.42857143,null,null,1,
1874,Ireland,63.08333333,null,null,1,
1875,Ireland,62.8452381,null,null,1,
1876,Ireland,62.83333333,null,null,1,
1877,Ireland,62.92857143,null,null,1,
1878,Ireland,62.88095238,null,null,1,
1879,Ireland,62.69047619,null,null,1,
1880,Ireland,61.94047619,null,null,1,
1881,Ireland,61.26190476,null,null,1,
1882,Ireland,60.72619048,null,null,1,
1883,Ireland,59.80952381,null,null,1,
1884,Ireland,59.22619048,null,null,1,
1885,Ireland,58.79761905,null,null,1,
1886,Ireland,58.4047619,null,null,1,
