Year,Measure,Value,Detail
1924,Imports,81.1126301,"Share of Ireland's Trade, 1924-2020"
1925,Imports,81.0707252,UK
1926,Imports,75.6239513,
1927,Imports,77.3659063,
1928,Imports,77.9376193,
1929,Imports,78.1047215,
1930,Imports,80.0164538,
1931,Imports,80.8000673,
1932,Imports,76.8194789,
1933,Imports,69.9435497,
1934,Imports,66.6896087,
1935,Imports,72.4150835,
1936,Imports,70.749333,
1937,Imports,50.0339664,
1938,Imports,50.4454436,
1939,Imports,55.6668824,
1940,Imports,53.0546335,
1941,Imports,71.4960447,
1942,Imports,57.2552036,
1943,Imports,50.5956979,
1944,Imports,47.1137009,
1945,Imports,47.543934,
1946,Imports,52.183335,
1947,Imports,41.4814345,
1948,Imports,53.8445025,
1949,Imports,57.2551308,
1950,Imports,52.86816,
1951,Imports,46.5506589,
1952,Imports,50.8632608,
1953,Imports,50.690839,
1954,Imports,55.6774512,
1955,Imports,53.2627599,
1956,Imports,57.274229,
1957,Imports,56.7853925,
1958,Imports,56.2736983,
1959,Imports,51.6136461,
1960,Imports,49.4977611,
1961,Imports,50.6753584,
1962,Imports,49.8381432,
1963,Imports,50.9479404,
1964,Imports,50.7547632,
1965,Imports,50.5813146,
1966,Imports,51.849046,
1967,Imports,50.1696822,
1968,Imports,50.5578536,
1969,Imports,52.657095,
1970,Imports,53.4503634,
1971,Imports,49.4727696,
1972,Imports,50.923554,
1973,Imports,50.7312845,
1974,Imports,46.6089257,
1975,Imports,48.7252216,
1976,Imports,49.3168264,
1977,Imports,48.1834158,
1978,Imports,49.4004386,
1979,Imports,49.9907946,
1980,Imports,50.8267611,
1981,Imports,49.6782484,
1982,Imports,48.0543752,
1983,Imports,45.3364001,
1984,Imports,42.8768044,
1985,Imports,42.6779803,
1986,Imports,41.5553536,
1987,Imports,41.6770457,
1988,Imports,42.3081017,
1989,Imports,40.9094968,
1990,Imports,42.1927877,
1991,Imports,41.3885127,
1992,Imports,42.4418857,
1993,Imports,36.2065525,
1994,Imports,36.269813,
1995,Imports,35.5588855,
1996,Imports,34.7427948,
1997,Imports,34.5519267,
1998,Imports,33.5594392,
1999,Imports,32.9901393,
2000,Imports,31.2974847,
2001,Imports,35.5339578,
2002,Imports,36.0559248,
2003,Imports,30.8779762,
2004,Imports,30.7313358,
2005,Imports,31.2018642,
2006,Imports,31.9108686,
2007,Imports,32.8669773,
2008,Imports,33.3518221,
2009,Imports,30.4994883,
2010,Imports,28.3908389,
2011,Imports,29.4899765,
2012,Imports,27.4185441,
2013,Imports,28.4533191,
2014,Imports,26.4846216,
2015,Imports,24.1133931,
2016,Imports,21.3209868,
2017,Imports,22.0712709,
2018,Imports,21.9471689,
2019,Imports,22.5110588,
2020,Imports,22.8576325,
1924,Exports,98.0725066,
1925,Exports,97.1958807,
1926,Exports,96.6662536,
1927,Exports,95.775416,
1928,Exports,96.2130462,
1929,Exports,92.8676505,
1930,Exports,92.2454686,
1931,Exports,96.2523081,
1932,Exports,96.131685,
1933,Exports,93.8749033,
1934,Exports,93.4439673,
1935,Exports,91.7228653,
1936,Exports,91.5103434,
1937,Exports,90.6290124,
1938,Exports,92.5969427,
1939,Exports,93.5727382,
1940,Exports,96.1416606,
1941,Exports,97.093688,
1942,Exports,98.7631387,
1943,Exports,98.8705842,
1944,Exports,98.8350045,
1945,Exports,97.8099841,
1946,Exports,92.5813555,
1947,Exports,89.2343393,
1948,Exports,88.4504629,
1949,Exports,91.036143,
1950,Exports,87.8118407,
1951,Exports,84.8412555,
1952,Exports,87.1189526,
1953,Exports,91.7577786,
1954,Exports,89.9135125,
1955,Exports,89.1782953,
1956,Exports,77.912699,
1957,Exports,78.6404585,
1958,Exports,78.5957069,
1959,Exports,75.1727815,
1960,Exports,74.7366182,
1961,Exports,74.9989692,
1962,Exports,73.813903,
1963,Exports,72.5697901,
1964,Exports,71.980084,
1965,Exports,70.6158022,
1966,Exports,69.4196746,
1967,Exports,72.0238482,
1968,Exports,69.4095481,
1969,Exports,65.4189923,
1970,Exports,65.846752,
1971,Exports,65.9157512,
1972,Exports,60.9847419,
1973,Exports,54.6889747,
1974,Exports,56.4230858,
1975,Exports,54.2038259,
1976,Exports,48.7148742,
1977,Exports,46.9519898,
1978,Exports,47.1538661,
1979,Exports,46.4248317,
1980,Exports,42.6798455,
1981,Exports,39.6049837,
1982,Exports,38.7623576,
1983,Exports,36.8950045,
1984,Exports,34.4367844,
1985,Exports,32.9546021,
1986,Exports,34.0917721,
1987,Exports,34.1497123,
1988,Exports,35.7913261,
1989,Exports,33.5358399,
1990,Exports,33.6950752,
1991,Exports,31.9232402,
1992,Exports,31.4602934,
1993,Exports,28.4300799,
1994,Exports,27.9538832,
1995,Exports,25.4402731,
1996,Exports,25.0810654,
1997,Exports,24.6302182,
1998,Exports,22.1147511,
1999,Exports,21.940785,
2000,Exports,21.8379403,
2001,Exports,24.0537465,
2002,Exports,23.9994666,
2003,Exports,18.0948142,
2004,Exports,17.6662184,
2005,Exports,17.1408966,
2006,Exports,17.9372556,
2007,Exports,18.7626487,
2008,Exports,18.3617603,
2009,Exports,15.9735742,
2010,Exports,13.9429257,
2011,Exports,13.9152304,
2012,Exports,14.6851232,
2013,Exports,14.350022,
2014,Exports,13.1078792,
2015,Exports,12.2880182,
2016,Exports,11.2187653,
2017,Exports,11.8327744,
2018,Exports,11.4324144,
2019,Exports,10.3431149,
2020,Exports,8.9941196,
