Year,Measure,Value,Detail
1924,Imports,5.1240005,"Share of Ireland's Trade, 1924-2020"
1925,Imports,5.3111576,EU15
1926,Imports,9.4086835,
1927,Imports,6.9259714,
1928,Imports,7.7134274,
1929,Imports,6.95358,
1930,Imports,7.1905483,
1931,Imports,7.1271627,
1932,Imports,8.2261519,
1933,Imports,12.0760136,
1934,Imports,14.4452008,
1935,Imports,11.9374524,
1936,Imports,12.3753851,
1937,Imports,12.9722656,
1938,Imports,12.6749771,
1939,Imports,9.2761212,
1940,Imports,3.5326544,
1941,Imports,0.2119201,
1942,Imports,4.6589373,
1943,Imports,8.3963807,
1944,Imports,2.4763976,
1945,Imports,4.8856183,
1946,Imports,8.8950724,
1947,Imports,12.8962287,
1948,Imports,9.0703512,
1949,Imports,11.4514267,
1950,Imports,13.0575273,
1951,Imports,16.8947951,
1952,Imports,16.4109286,
1953,Imports,18.2478606,
1954,Imports,16.9152343,
1955,Imports,16.6417513,
1956,Imports,16.561915,
1957,Imports,15.9238456,
1958,Imports,14.7007941,
1959,Imports,17.2733229,
1960,Imports,18.2722696,
1961,Imports,18.6180928,
1962,Imports,20.4963164,
1963,Imports,20.912685,
1964,Imports,21.1757171,
1965,Imports,20.6997379,
1966,Imports,18.5818518,
1967,Imports,20.0616728,
1968,Imports,21.7568581,
1969,Imports,20.7854973,
1970,Imports,22.0349971,
1971,Imports,22.1674298,
1972,Imports,23.7698778,
1973,Imports,26.4848914,
1974,Imports,27.400345,
1975,Imports,25.2034719,
1976,Imports,24.3750269,
1977,Imports,24.1014369,
1978,Imports,25.137227,
1979,Imports,25.9885714,
1980,Imports,24.3126131,
1981,Imports,25.5077051,
1982,Imports,26.0448913,
1983,Imports,26.3907957,
1984,Imports,26.4078889,
1985,Imports,26.4479272,
1986,Imports,28.7870523,
1987,Imports,26.8031237,
1988,Imports,27.1480738,
1989,Imports,27.4487587,
1990,Imports,27.2565549,
1991,Imports,26.8787691,
1992,Imports,26.6847343,
1993,Imports,22.3170139,
1994,Imports,21.7809809,
1995,Imports,20.5564436,
1996,Imports,21.7213553,
1997,Imports,21.6659182,
1998,Imports,20.2363437,
1999,Imports,21.0449278,
2000,Imports,22.2323917,
2001,Imports,22.6476244,
2002,Imports,22.5352465,
2003,Imports,23.9595928,
2004,Imports,24.8203692,
2005,Imports,24.1101604,
2006,Imports,25.6310351,
2007,Imports,26.3308082,
2008,Imports,27.4135066,
2009,Imports,25.8800445,
2010,Imports,28.646825,
2011,Imports,28.0439489,
2012,Imports,28.2931101,
2013,Imports,29.5142622,
2014,Imports,31.0044225,
2015,Imports,31.8544008,
2016,Imports,33.7624083,
2017,Imports,32.7106841,
2018,Imports,34.9479594,
2019,Imports,32.6009012,
2020,Imports,30.7291769,
1924,Exports,0.7231277,
1925,Exports,1.0360891,
1926,Exports,1.2725852,
1927,Exports,1.7438975,
1928,Exports,1.5084278,
1929,Exports,2.4207453,
1930,Exports,2.0601643,
1931,Exports,1.5024932,
1932,Exports,1.8389083,
1933,Exports,2.9158231,
1934,Exports,3.2239384,
1935,Exports,4.7341276,
1936,Exports,4.9181987,
1937,Exports,5.7379646,
1938,Exports,4.7618503,
1939,Exports,2.7858221,
1940,Exports,0.4654526,
1941,Exports,0,
1942,Exports,0.0164264,
1943,Exports,0.0807573,
1944,Exports,0.0561965,
1945,Exports,0.9105489,
1946,Exports,4.5708536,
1947,Exports,8.3056161,
1948,Exports,8.4635702,
1949,Exports,6.695944,
1950,Exports,8.0477644,
1951,Exports,7.7836108,
1952,Exports,7.2389131,
1953,Exports,3.8111032,
1954,Exports,5.4249611,
1955,Exports,5.5941494,
1956,Exports,11.3017607,
1957,Exports,8.8362917,
1958,Exports,6.3108258,
1959,Exports,7.2182197,
1960,Exports,7.2746447,
1961,Exports,7.364402,
1962,Exports,6.9142203,
1963,Exports,8.68418,
1964,Exports,13.0577769,
1965,Exports,14.872935,
1966,Exports,12.3499174,
1967,Exports,9.735312,
1968,Exports,10.5375933,
1969,Exports,13.2347582,
1970,Exports,13.2887269,
1971,Exports,10.7968423,
1972,Exports,18.4951591,
1973,Exports,24.4943821,
1974,Exports,21.7259539,
1975,Exports,27.950737,
1976,Exports,30.348061,
1977,Exports,32.3734049,
1978,Exports,33.4545047,
1979,Exports,34.7665682,
1980,Exports,35.8000342,
1981,Exports,34.2086414,
1982,Exports,36.045518,
1983,Exports,36.3593558,
1984,Exports,38.2228149,
1985,Exports,39.0452685,
1986,Exports,41.0525278,
1987,Exports,42.6208516,
1988,Exports,42.1601228,
1989,Exports,43.8239451,
1990,Exports,44.2817758,
1991,Exports,45.5102732,
1992,Exports,45.6737922,
1993,Exports,42.6807809,
1994,Exports,44.4437734,
1995,Exports,46.8354312,
1996,Exports,44.7038871,
1997,Exports,43.045858,
1998,Exports,45.5600501,
1999,Exports,42.998683,
2000,Exports,39.8563618,
2001,Exports,37.8910662,
2002,Exports,39.8235511,
2003,Exports,43.1623507,
2004,Exports,43.9308433,
2005,Exports,45.1938374,
2006,Exports,43.8733743,
2007,Exports,42.8193028,
2008,Exports,41.7218174,
2009,Exports,42.9178217,
2010,Exports,40.4621435,
2011,Exports,40.2147795,
2012,Exports,40.5796438,
2013,Exports,38.6379258,
2014,Exports,37.5319765,
2015,Exports,36.9529624,
2016,Exports,35.037673,
2017,Exports,35.0408286,
2018,Exports,36.6890945,
2019,Exports,34.7897653,
2020,Exports,37.5265059,
