Year,Nation,Value,Detail
1900,Wales,90.18976571,GDP per capita relative to Scotland
1910,Wales,91.2407501,Scotland = 100
1925,Wales,84.73857617,
1938,Wales,87.63034714,
1950,Wales,95.07163304,
1960,Wales,101.2579368,
1970,Wales,95.66446169,
1980,Wales,87.41736054,
1990,Wales,88.07243436,
2000,Wales,82.88315084,
1900,Northern Ireland,74.20827646,
1910,Northern Ireland,69.76120556,
1925,Northern Ireland,78.84544083,
1938,Northern Ireland,64.96487177,
1950,Northern Ireland,81.52304608,
1960,Northern Ireland,81.21202571,
1970,Northern Ireland,80.32676432,
1980,Northern Ireland,78.04669749,
1990,Northern Ireland,80.54425071,
2000,Northern Ireland,85.98183136,
1900,Rep. of Ireland,64.57492058,
1910,Rep. of Ireland,61.77723073,
1925,Rep. of Ireland,54.41360175,
1938,Rep. of Ireland,50.79456855,
1950,Rep. of Ireland,54.95729616,
1960,Rep. of Ireland,53.98588561,
1970,Rep. of Ireland,59.26367059,
1980,Rep. of Ireland,62.42920686,
1990,Rep. of Ireland,76.0211778,
2000,Rep. of Ireland,121.5396822,
