Month,National Loan,Current price
1924m1,First,97.375
1924m2,First,98.9375
1924m3,First,97
1924m4,First,92.5
1924m5,First,92.875
1924m6,First,92.875
1924m7,First,94
1924m8,First,93.125
1924m9,First,90.5
1924m10,First,92.375
1924m11,First,92.625
1924m12,First,92
1925m1,First,94
1925m2,First,94.25
1925m3,First,96
1925m4,First,93.75
1925m5,First,92.5
1925m6,First,93.75
1925m7,First,95.5
1925m8,First,95.375
1925m9,First,95.5
1925m10,First,95.375
1925m11,First,95.5
1925m12,First,97.5
1926m1,First,97.25
1926m2,First,98.25
1926m3,First,98
1926m4,First,96
1926m5,First,99
1926m6,First,97.5
1926m7,First,98
1926m8,First,99
1926m9,First,99.75
1926m10,First,99
1926m11,First,99.25
1926m12,First,99.75
1927m1,First,100
1927m2,First,99
1927m3,First,100
1927m4,First,100.5
1927m5,First,98.5
1927m6,First,97.5
1927m7,First,96.5
1927m8,First,96.875
1927m9,First,96.5
1927m10,First,96.5
1927m11,First,97.375
1927m12,First,98
1928m1,First,99.75
1928m2,First,100
1928m3,First,102
1928m4,First,100.25
1928m5,First,99
1928m6,First,99
1928m7,First,99.75
1928m8,First,99.5
1928m9,First,100.5
1928m10,First,99.75
1928m11,First,99.5
1928m12,First,100
1929m1,First,100
1929m2,First,101.5
1929m3,First,99.5
1929m4,First,99.125
1929m5,First,98.25
1929m6,First,99
1929m7,First,99.5
1929m8,First,99.5
1929m9,First,100
1929m10,First,98
1929m11,First,98.125
1929m12,First,99
1930m1,First,101
1930m2,First,100
1930m3,First,101
1930m4,First,100.375
1930m5,First,101.125
1930m6,First,101.125
1930m7,First,102
1930m8,First,102.875
1930m9,First,103.5
1930m10,First,103
1930m11,First,103.25
1930m12,First,102.75
1931m1,First,103.375
1931m2,First,104.5
1931m3,First,105.5
1931m4,First,104.25
1931m5,First,103.75
1931m6,First,107.5
1931m7,First,103.5
1931m8,First,102.625
1931m9,First,100.25
1931m10,First,100.25
1931m11,First,101.25
1931m12,First,101
1932m1,First,100.5625
1932m2,First,100.375
1932m3,First,101
1932m4,First,100
1932m5,First,101.625
1932m6,First,101.5
1932m7,First,103
1932m8,First,103.5
1932m9,First,104
1932m10,First,103.5
1932m11,First,104
1932m12,First,105
1933m1,First,103.5
1933m2,First,106
1933m3,First,106
1933m4,First,104
1933m5,First,103
1933m6,First,104.25
1933m7,First,103.125
1933m8,First,103.75
1933m9,First,104
1933m10,First,103.25
1933m11,First,103
1933m12,First,102.75
1934m1,First,103
1934m2,First,103
1934m3,First,103.125
1934m4,First,101
1934m5,First,102.25
1934m6,First,102.5
1934m7,First,102.625
1934m8,First,102.875
1934m9,First,102.5
1934m10,First,101
1934m11,First,101
1934m12,First,101.125
1935m1,First,101.625
1935m2,First,101.625
1935m3,First,101.75
1935m4,First,100.5
1935m5,First,100.5
1935m6,First,100.625
1935m7,First,100.875
1935m8,First,101
1935m9,First,101.25
1935m10,First,99.5625
1935m11,First,nul
1935m12,First,nul
1936m1,First,nul
1936m2,First,nul
1936m3,First,nul
1936m4,First,nul
1936m5,First,nul
1936m6,First,nul
1936m7,First,nul
1936m8,First,nul
1936m9,First,nul
1936m10,First,nul
1936m11,First,nul
1936m12,First,nul
1937m1,First,nul
1937m2,First,nul
1937m3,First,nul
1937m4,First,nul
1937m5,First,nul
1937m6,First,nul
1937m7,First,nul
1937m8,First,nul
1937m9,First,nul
1937m10,First,nul
1937m11,First,nul
1937m12,First,nul
1938m1,First,nul
1938m2,First,nul
1938m3,First,nul
1938m4,First,nul
1938m5,First,nul
1938m6,First,nul
1938m7,First,nul
1938m8,First,nul
1938m9,First,nul
1938m10,First,nul
1938m11,First,nul
1938m12,First,nul
1924m1,Second,nul
1924m2,Second,nul
1924m3,Second,nul
1924m4,Second,nul
1924m5,Second,nul
1924m6,Second,nul
1924m7,Second,nul
1924m8,Second,nul
1924m9,Second,nul
1924m10,Second,nul
1924m11,Second,nul
1924m12,Second,nul
1925m1,Second,nul
1925m2,Second,nul
1925m3,Second,nul
1925m4,Second,nul
1925m5,Second,nul
1925m6,Second,nul
1925m7,Second,nul
1925m8,Second,nul
1925m9,Second,nul
1925m10,Second,nul
1925m11,Second,nul
1925m12,Second,nul
1926m1,Second,nul
1926m2,Second,nul
1926m3,Second,nul
1926m4,Second,nul
1926m5,Second,nul
1926m6,Second,nul
1926m7,Second,nul
1926m8,Second,nul
1926m9,Second,nul
1926m10,Second,nul
1926m11,Second,nul
1926m12,Second,nul
1927m1,Second,nul
1927m2,Second,nul
1927m3,Second,nul
1927m4,Second,nul
1927m5,Second,nul
1927m6,Second,nul
1927m7,Second,nul
1927m8,Second,nul
1927m9,Second,nul
1927m10,Second,nul
1927m11,Second,nul
1927m12,Second,nul
1928m1,Second,99
1928m2,Second,99.875
1928m3,Second,98
1928m4,Second,98
1928m5,Second,98.125
1928m6,Second,97.5
1928m7,Second,98.5
1928m8,Second,98.75
1928m9,Second,97.5
1928m10,Second,98.25
1928m11,Second,98.25
1928m12,Second,98
1929m1,Second,98.5
1929m2,Second,99.125
1929m3,Second,97.375
1929m4,Second,98.375
1929m5,Second,97.75
1929m6,Second,98.75
1929m7,Second,99
1929m8,Second,99.125
1929m9,Second,97
1929m10,Second,97.125
1929m11,Second,97.375
1929m12,Second,98.5
1930m1,Second,99.875
1930m2,Second,99.375
1930m3,Second,98.25
1930m4,Second,99.375
1930m5,Second,100.5
1930m6,Second,100.3125
1930m7,Second,102.375
1930m8,Second,103.125
1930m9,Second,101.25
1930m10,Second,103.0625
1930m11,Second,104.25
1930m12,Second,104.25
1931m1,Second,105.5
1931m2,Second,105.375
1931m3,Second,104.375
1931m4,Second,105.875
1931m5,Second,107.75
1931m6,Second,108.875
1931m7,Second,104.625
1931m8,Second,104.3125
1931m9,Second,103.5
1931m10,Second,103.875
1931m11,Second,103
1931m12,Second,100.75
1932m1,Second,102
1932m2,Second,103
1932m3,Second,100.25
1932m4,Second,101.25
1932m5,Second,103.375
1932m6,Second,103.5
1932m7,Second,109.25
1932m8,Second,107.5
1932m9,Second,108.5
1932m10,Second,111.75
1932m11,Second,111.875
1932m12,Second,111.375
1933m1,Second,113.25
1933m2,Second,115.25
1933m3,Second,114.25
1933m4,Second,115
1933m5,Second,112.5
1933m6,Second,114.25
1933m7,Second,113
1933m8,Second,112.375
