Date,Number of transactions
2021-10-08,3021.9321
2021-10-09,8420.306
2021-10-10,20509.697
2021-10-11,10800.405
2021-10-12,12098.702
2021-10-13,15554.287
2021-10-14,17931.727
2021-10-15,20740.158
2021-10-16,24844.225
2021-10-17,16645.402
2021-10-18,16648.727
2021-10-19,20536.633
2021-10-20,25070.363
2021-10-21,29604.758
2021-10-22,33491.668
2021-10-23,35869.105
2021-10-24,46231.867
2021-10-25,32205.674
2021-10-26,40842.805
2021-10-27,43868.4
2021-10-28,48188.293
2021-10-29,54236.15
2021-10-30,49921.906
2021-10-31,42370.9
2021-11-01,49280.74
2021-11-02,54248.12
2021-11-03,58783.51
2021-11-04,68930.12
2021-11-05,75407.63
2021-11-06,91813.59
2021-11-07,54046.258
2021-11-08,65488.496
2021-11-09,69808.39
2021-11-10,73048.484
2021-11-11,79742.16
2021-11-12,92910.36
2021-11-13,103920.94
2021-11-14,63995.656
2021-11-15,74574.24
2021-11-16,76951.69
2021-11-17,81270.25
2021-11-18,83648.36
2021-11-19,86888.445
2021-11-20,86459.78
2021-11-21,65527.406
2021-11-22,67041.86
2021-11-23,65749.88
2021-11-24,66183.87
2021-11-25,70719.59
2021-11-26,77412.27
2021-11-27,84106.62
2021-11-28,50009.035
2021-11-29,65551.35
2021-11-30,61237.773
2021-12-01,50449.34
2021-12-02,50668.16
2021-12-03,54124.41
2021-12-04,56501.516
2021-12-05,34058.34
2021-12-06,43773.617
2021-12-07,34064.66
2021-12-08,47232.86
2021-12-09,48962.48
2021-12-10,44649.24
2021-12-11,45515.21
2021-12-12,27604.77
2021-12-13,38615.016
2021-12-14,37538.867
2021-12-15,34087.938
2021-12-16,38623.332
2021-12-17,50281.73
2021-12-18,70788.1
2021-12-19,67122.01
