date,country,value,value2,notes
1960,Brazil,17030465539.39,0.02,v2 is tillion
1961,Brazil,17275940449.38,0.02,
1962,Brazil,19231747851.53,0.02,
1963,Brazil,23287712878.20,0.02,
1964,Brazil,20963733694.97,0.02,
1965,Brazil,22465522884.10,0.02,
1966,Brazil,28283323733.11,0.03,
1967,Brazil,31086389194.96,0.03,
1968,Brazil,33930457425.26,0.03,
1969,Brazil,37171640818.59,0.04,
1970,Brazil,42327664793.69,0.04,
1971,Brazil,48869830901.79,0.05,
1972,Brazil,58434858374.87,0.06,
1973,Brazil,83592275863.00,0.08,
1974,Brazil,109794519727.54,0.11,
1975,Brazil,129203555238.83,0.13,
1976,Brazil,153168949208.21,0.15,
1977,Brazil,176344101401.94,0.18,
1978,Brazil,200278646123.58,0.20,
1979,Brazil,221338204480.22,0.22,
1980,Brazil,237393489892.64,0.24,
1981,Brazil,258015174748.65,0.26,
1982,Brazil,271314113768.42,0.27,
1983,Brazil,189656506321.43,0.19,
1984,Brazil,188339974086.58,0.19,
1985,Brazil,176123719326.59,0.18,
1986,Brazil,215878631802.78,0.22,
1987,Brazil,237517984427.81,0.24,
1988,Brazil,258816125587.51,0.26,
1989,Brazil,347028139590.23,0.35,
1990,Brazil,390725626002.87,0.39,
1991,Brazil,342609227209.65,0.34,
1992,Brazil,328187944300.91,0.33,
1993,Brazil,368295777770.08,0.37,
1994,Brazil,525369851353.74,0.53,
1995,Brazil,769333330368.99,0.77,
1996,Brazil,850426433004.08,0.85,
1997,Brazil,883206452795.12,0.88,
1998,Brazil,863711007325.49,0.86,
1999,Brazil,599642075004.47,0.60,
2000,Brazil,655448188259.35,0.66,
2001,Brazil,559983704094.17,0.56,
2002,Brazil,509795270685.19,0.51,
2003,Brazil,558233724164.71,0.56,
2004,Brazil,669289321944.52,0.67,
2005,Brazil,891633826603.38,0.89,
2006,Brazil,1107626711406.63,1.11,
2007,Brazil,1397114247331.17,1.40,
2008,Brazil,1695855391810.90,1.70,
2009,Brazil,1666996294372.87,1.67,
2010,Brazil,2208838108577.09,2.21,
2011,Brazil,2616156606666.62,2.62,
2012,Brazil,2465228293894.01,2.47,
2013,Brazil,2472819362216.69,2.47,
2014,Brazil,2456043766028.73,2.46,
2015,Brazil,1802211999538.68,1.80,
2016,Brazil,1795693265810.23,1.80,
2017,Brazil,2063514688761.98,2.06,
2018,Brazil,1916933708381.89,1.92,
2019,Brazil,1873288158977.23,1.87,
2020,Brazil,1448565936739.56,1.45,
2021,Brazil,1608981220812.20,1.61,
1960,China,59716467625.31,0.06,
1961,China,50056868957.67,0.05,
1962,China,47209359005.61,0.05,
1963,China,50706799902.51,0.05,
1964,China,59708343488.50,0.06,
1965,China,70436266146.72,0.07,
1966,China,76720285969.62,0.08,
1967,China,72881631326.67,0.07,
1968,China,70846535055.65,0.07,
1969,China,79705906247.46,0.08,
1970,China,92602973434.07,0.09,
1971,China,99800958648.14,0.10,
1972,China,113687586299.05,0.11,
1973,China,138544284708.96,0.14,
1974,China,144182133387.72,0.14,
1975,China,163431551779.76,0.16,
1976,China,153940455341.51,0.15,
1977,China,174938098826.57,0.17,
1978,China,149540752829.27,0.15,
1979,China,178280594413.04,0.18,
1980,China,191149211575.00,0.19,
1981,China,195866382432.54,0.20,
1982,China,205089699858.78,0.21,
1983,China,230686747153.26,0.23,
1984,China,259946510957.14,0.26,
1985,China,309488028132.65,0.31,
1986,China,300758100107.25,0.30,
1987,China,272972974764.57,0.27,
1988,China,312353631207.82,0.31,
1989,China,347768051311.74,0.35,
1990,China,360857912565.97,0.36,
1991,China,383373318083.62,0.38,
1992,China,426915712715.86,0.43,
1993,China,444731282435.52,0.44,
1994,China,564324670008.24,0.56,
1995,China,734547898224.10,0.73,
1996,China,863746717507.40,0.86,
1997,China,961603952954.23,0.96,
1998,China,1029043097558.91,1.03,
1999,China,1093997267277.10,1.09,
2000,China,1211346869600.41,1.21,
2001,China,1339395718862.89,1.34,
2002,China,1470550015077.93,1.47,
2003,China,1660287965663.89,1.66,
2004,China,1955347004965.69,1.96,
2005,China,2285965892364.20,2.29,
2006,China,2752131773358.92,2.75,
2007,China,3550342737009.53,3.55,
2008,China,4594307032667.98,4.59,
2009,China,5101703073088.97,5.10,
2010,China,6087163874510.73,6.09,
2011,China,7551500124197.17,7.55,
2012,China,8532229986993.65,8.53,
2013,China,9570406235659.64,9.57,
2014,China,10475682920597.70,10.48,
2015,China,11061553079871.50,11.06,
2016,China,11233276536744.70,11.23,
2017,China,12310409370894.20,12.31,
2018,China,13894817549380.30,13.89,
2019,China,14279937500608.00,14.28,
2020,China,14687673892882.00,14.69,
2021,China,17734062645371.40,17.73,
1960,Russia,null,null,
1961,Russia,null,null,
1962,Russia,null,null,
1963,Russia,null,null,
1964,Russia,null,null,
1965,Russia,null,null,
1966,Russia,null,null,
1967,Russia,null,null,
1968,Russia,null,null,
1969,Russia,null,null,
1970,Russia,null,null,
1971,Russia,null,null,
1972,Russia,null,null,
1973,Russia,null,null,
1974,Russia,null,null,
1975,Russia,null,null,
1976,Russia,null,null,
1977,Russia,null,null,
1978,Russia,null,null,
1979,Russia,null,null,
1980,Russia,null,null,
1981,Russia,null,null,
1982,Russia,null,null,
1983,Russia,null,null,
1984,Russia,null,null,
1985,Russia,null,null,
1986,Russia,null,null,
1987,Russia,null,null,
1988,Russia,554713455149.50,0.55,
1989,Russia,506500173960.27,0.51,
1990,Russia,516814274021.96,0.52,
1991,Russia,517962962962.96,0.52,
1992,Russia,460290556900.73,0.46,
1993,Russia,435083713850.84,0.44,
1994,Russia,395077301248.46,0.40,
1995,Russia,395537185734.85,0.40,
1996,Russia,391724890744.50,0.39,
1997,Russia,404928954191.88,0.40,
1998,Russia,270955486862.44,0.27,
1999,Russia,195907128350.93,0.20,
2000,Russia,259710142196.94,0.26,
2001,Russia,306602070620.50,0.31,
2002,Russia,345470494417.86,0.35,
2003,Russia,430347770731.79,0.43,
2004,Russia,591016690742.80,0.59,
2005,Russia,764017107992.39,0.76,
