Region,Percentage
North Eastern Scotland,-0.020798074
London,0.000576381
Eastern Scotland,0.00406317
Scotland,0.006505979
East England,0.010605387
Highlands and Islands,0.011946585
Southern Scotland,0.012817078
South East England,0.013535968
West Central Scotland,0.013667463
UK,0.014617326
West Midlands,0.017565297
East Midlands,0.017599089
South West England,0.018525672
Wales,0.018636188
Yorkshire and the Humber,0.02188286
North East England,0.023942059
North West England,0.024115866
Northern Ireland,0.025756703
