Date,Country,Number of PAYE employees index (Dec 2019 = 100)
2019-12-01,England,100
2020-01-01,England,100.0972072
2020-02-01,England,100.1089157
2020-03-01,England,100.0624357
2020-04-01,England,98.41500712
2020-05-01,England,97.85348859
2020-06-01,England,97.70666889
2020-07-01,England,97.57260321
2020-08-01,England,97.47943989
2020-09-01,England,97.31101769
2020-10-01,England,97.24502226
2020-11-01,England,97.03413956
2020-12-01,England,97.19128859
2019-12-01,Wales,100
2020-01-01,Wales,100.1326054
2020-02-01,Wales,100.2235484
2020-03-01,Wales,100.0322983
2020-04-01,Wales,98.38611889
2020-05-01,Wales,98.05091538
2020-06-01,Wales,97.84196869
2020-07-01,Wales,97.68404847
2020-08-01,Wales,97.75150183
2020-09-01,Wales,97.7684842
2020-10-01,Wales,97.81419377
2020-11-01,Wales,97.58136065
2020-12-01,Wales,97.82030425
2019-12-01,Scotland,100
2020-01-01,Scotland,100.2687569
2020-02-01,Scotland,100.099781
2020-03-01,Scotland,100.1431532
2020-04-01,Scotland,98.47925888
2020-05-01,Scotland,97.88692405
2020-06-01,Scotland,97.64691479
2020-07-01,Scotland,97.69296114
2020-08-01,Scotland,96.9717634
2020-09-01,Scotland,96.92910158
2020-10-01,Scotland,96.90816763
2020-11-01,Scotland,96.78728553
2020-12-01,Scotland,97.17980763
2019-12-01,Northern Ireland,100
2020-01-01,Northern Ireland,100.2054997
2020-02-01,Northern Ireland,100.421808
2020-03-01,Northern Ireland,100.5664585
2020-04-01,Northern Ireland,98.78021279
2020-05-01,Northern Ireland,98.79222251
2020-06-01,Northern Ireland,98.90191128
2020-07-01,Northern Ireland,99.16038714
2020-08-01,Northern Ireland,98.69868013
2020-09-01,Northern Ireland,98.7976936
2020-10-01,Northern Ireland,98.82117927
2020-11-01,Northern Ireland,98.85800908
2020-12-01,Northern Ireland,99.04469351
