Person,Period,Percentage,Order,,,,,,,,
Lone mother,April,53.68896,1,,,,,,,,
Lone mother,May,56.55182,2,,,,,,,,
Lone mother,June,50.87524,3,,,,,,,,
Lone mother,July,36.32884,4,,,,,,,,
Lone mother,September,29.5208,5,,,,,,,,
Lone mother,November,27.20369,6,,,,,,,,
Father (couple),April,39.7697,1,,,,,,,,
Father (couple),May,45.13652,2,,,,,,,,
Father (couple),June,38.59221,3,,,,,,,,
Father (couple),July,34.32106,4,,,,,,,,
Father (couple),September,25.66558,5,,,,,,,,
Father (couple),November,29.76148,6,,,,,,,,
Mother (couple),April,50.75487,1,,,,,,,,
Mother (couple),May,47.049,2,,,,,,,,
Mother (couple),June,45.82525,3,,,,,,,,
Mother (couple),July,46.54744,4,,,,,,,,
Mother (couple),September,30.19788,5,,,,,,,,
Mother (couple),November,32.09816,6,,,,,,,,
