Person,Period,Percentage
Lone mother,February,76.1
Lone mother,April,49.1
Lone mother,May,46.9
Lone mother,June,47.4
Lone mother,July,56.5
Lone mother,September,65
Lone mother,November,60.8
Father (couple),February,76.1
Father (couple),April,49.1
Father (couple),May,46.9
Father (couple),June,47.4
Father (couple),July,56.5
Father (couple),September,65
Father (couple),November,60.8
Mother (couple),February,82.3
Mother (couple),April,55.1
Mother (couple),May,59.8
Mother (couple),June,61.9
Mother (couple),July,60.3
Mother (couple),September,74.1
Mother (couple),November,68.7
