Industry,Payrolled employees
Accommodation and food services,-343124
Wholesale and retail; repair of motor vehicles,-165817
Manufacturing,-101554
Arts entertainment and recreation,-99846
Professional scientific and technical,-54675
Administrative and support services,-50668
Other service activities,-35658
Information and communication,-32161
Transportation and storage,-20040
Finance and insurance,-10149
Construction,-9842
Education,1744
Public administration and defence; social security,34409
Health and social work,82031
