Month,Year,Percentage
Jan,2018,30
Feb,2018,29
Mar,2018,32
Apr,2018,30
May,2018,29
Jun,2018,28
Jul,2018,30
Aug,2018,26
Sep,2018,28
Oct,2018,33
Nov,2018,39
Dec,2018,36
Jan,2019,29
Feb,2019,29
Mar,2019,36
Apr,2019,31
May,2019,29
Jun,2019,29
Jul,2019,31
Aug,2019,28
Sep,2019,32
Oct,2019,30
Nov,2019,40
Dec,2019,38
Jan,2020,31
Feb,2020,29
Mar,2020,30
Apr,2020,34
May,2020,30
Jun,2020,33
Jul,2020,32
Aug,2020,28
Sep,2020,23
Oct,2020,29
Nov,2020,30
Dec,2020,34
Jan,2021,28
Feb,2021,25
Mar,2021,29
Apr,2021,23
May,2021,26
Jun,2021,24
Jul,2021,27
Aug,2021,26
Sep,2021,null
Oct,2021,null
Nov,2021,null
Dec,2021,null
