date,metric,value
2004,Nominal,8.2
2005,Nominal,10.3
2006,Nominal,8.5
2007,Nominal,10.3
2008,Nominal,10.1
2009,Nominal,9.6
2010,Nominal,11.6
2011,Nominal,10.5
2012,Nominal,9.8
2013,Nominal,10.8
2014,Nominal,10.6
2015,Nominal,10.1
2016,Nominal,9.7
2017,Nominal,10.3
2018,Nominal,10.1
2019,Nominal,10.6
2020,Nominal,11.3
2021,Nominal,10.7
2004,Real,11.8
2005,Real,14.5
2006,Real,11.7
2007,Real,13.8
2008,Real,13.1
2009,Real,12.2
2010,Real,14.4
2011,Real,12.5
2012,Real,11.4
2013,Real,12.3
2014,Real,11.9
2015,Real,11.3
2016,Real,10.7
2017,Real,11.1
2018,Real,10.6
2019,Real,11.0
2020,Real,11.6
2021,Real,10.7
