Year,Type,Spend
2010,BERD ,426.7
2011,BERD ,472.4
2012,BERD ,542.0
2013,BERD ,560.6
2014,BERD ,472.5
2015,BERD ,617.6
2016,BERD ,589.0
2017,BERD ,594.7
2018,BERD ,594.0
2019,BERD ,670.3
2020,BERD ,661.4
2010,HERD,200.7
2011,HERD,199.6
2012,HERD,176.1
2013,HERD,171.9
2014,HERD,204.6
2015,HERD,220.9
2016,HERD,217.8
2017,HERD,216.5
2018,HERD,240.4
2019,HERD,235.1
2020,HERD,222.3
2010,GERD,19.3
2011,GERD,17.5
2012,GERD,18.5
2013,GERD,19.7
2014,GERD,20.4
2015,GERD,18.7
2016,GERD,20.0
2017,GERD,22.4
2018,GERD,24.7
2019,GERD,31.7
2020,GERD,28.9
