Year,Region,Value
1998,Scotland,100.00
1999,Scotland,101.2209559
2000,Scotland,105.0236061
2001,Scotland,110.4922335
2002,Scotland,115.6256686
2003,Scotland,122.706072
2004,Scotland,130.1016988
2005,Scotland,137.9737266
2006,Scotland,147.6372506
2007,Scotland,153.8261849
2008,Scotland,160.6740932
2009,Scotland,160.4501562
2010,Scotland,160.1078321
2011,Scotland,164.1615199
2012,Scotland,169.2550172
2013,Scotland,177.0471694
2014,Scotland,185.0275999
2015,Scotland,187.6349684
2016,Scotland,190.5504286
2017,Scotland,198.0259311
2018,Scotland,203.0680797
2019,Scotland,210.1484831
1998,Edinburgh,100
1999,Edinburgh,100.160996
2000,Edinburgh,107.3306858
2001,Edinburgh,114.9726307
2002,Edinburgh,123.9991414
2003,Edinburgh,135.7411184
2004,Edinburgh,146.7747129
2005,Edinburgh,157.7546421
2006,Edinburgh,163.8617581
2007,Edinburgh,175.8720618
2008,Edinburgh,175.27101
2009,Edinburgh,180.7126758
2010,Edinburgh,178.1367393
2011,Edinburgh,180.7663411
2012,Edinburgh,189.8465171
2013,Edinburgh,199.4096812
2014,Edinburgh,205.9353869
2015,Edinburgh,210.5935387
2016,Edinburgh,229.5588709
2017,Edinburgh,239.6586884
2018,Edinburgh,251.025008
2019,Edinburgh,259.3216701
