date,series,value
2021-01-01,2019,102167
2021-01-02,2019,103033
2021-01-03,2019,103196
2021-01-04,2019,103128
2021-01-05,2019,102787
2021-01-06,2019,103037
2021-01-07,2019,105061
2021-01-08,2019,106999
2021-01-09,2019,106891
2021-01-10,2019,106436
2021-01-11,2019,106176
2021-01-12,2019,105396
2021-01-13,2019,104549
2021-01-14,2019,104209
2021-01-15,2019,104024
2021-01-16,2019,103896
2021-01-17,2019,104050
2021-01-18,2019,104458
2021-01-19,2019,104300
2021-01-20,2019,103992
2021-01-21,2019,103909
2021-01-22,2019,104033
2021-01-23,2019,103952
2021-01-24,2019,103973
2021-01-25,2019,104119
2021-01-26,2019,104612
2021-01-27,2019,105182
2021-01-28,2019,105050
2021-01-29,2019,105035
2021-01-30,2019,105084
2021-01-31,2019,105011
2021-02-01,2019,104960
2021-02-02,2019,105079
2021-02-03,2019,104914
2021-02-04,2019,104895
2021-02-05,2019,104867
2021-02-06,2019,105042
2021-02-07,2019,105114
2021-02-08,2019,105055
2021-02-09,2019,104956
2021-02-10,2019,105190
2021-02-11,2019,105622
2021-02-12,2019,105488
2021-02-13,2019,105297
2021-02-14,2019,105724
2021-02-15,2019,106192
2021-02-16,2019,106544
2021-02-17,2019,106606
2021-02-18,2019,106757
2021-02-19,2019,107260
2021-02-20,2019,107225
2021-02-21,2019,107084
2021-02-22,2019,106857
2021-02-23,2019,106751
2021-02-24,2019,106964
2021-02-25,2019,107007
2021-02-26,2019,107356
2021-02-27,2019,108085
2021-02-28,2019,108302
2021-03-01,2019,108395
2021-03-02,2019,108441
2021-03-03,2019,108405
2021-03-04,2019,108250
2021-03-05,2019,108180
2021-03-06,2019,108245
2021-03-07,2019,108247
2021-03-08,2019,108199
2021-03-09,2019,108183
2021-03-10,2019,108574
2021-03-11,2019,109198
2021-03-12,2019,109203
2021-03-13,2019,108891
2021-03-14,2019,108651
2021-03-15,2019,108772
2021-03-16,2019,108940
2021-03-17,2019,108935
2021-03-18,2019,108873
2021-03-19,2019,108996
2021-03-20,2019,109463
2021-03-21,2019,109829
2021-03-22,2019,109827
2021-03-23,2019,109705
2021-03-24,2019,109705
2021-03-25,2019,109044
2021-03-26,2019,108515
2021-03-27,2019,108412
2021-03-28,2019,108493
2021-03-29,2019,108443
2021-03-30,2019,108436
2021-03-31,2019,108604
2021-04-01,2019,109471
2021-04-02,2019,110391
2021-04-03,2019,110874
2021-04-04,2019,111207
2021-04-05,2019,111453
2021-04-06,2019,111649
2021-04-07,2019,111645
2021-04-08,2019,111657
2021-04-09,2019,111711
2021-04-10,2019,110815
2021-04-11,2019,107306
2021-04-12,2019,107548
2021-04-13,2019,107926
2021-04-14,2019,107889
2021-04-15,2019,108035
2021-04-16,2019,108405
2021-04-17,2019,109615
2021-04-18,2019,113411
2021-04-19,2019,112605
2021-04-20,2019,112414
2021-04-21,2019,112364
2021-04-22,2019,112311
2021-04-23,2019,112427
2021-04-24,2019,112403
2021-04-25,2019,112508
2021-04-26,2019,113320
2021-04-27,2019,113672
2021-04-28,2019,114231
2021-04-29,2019,114498
2021-04-30,2019,114268
2021-05-01,2019,114037
2021-05-02,2019,113797
2021-05-03,2019,114062
2021-05-04,2019,114211
2021-05-05,2019,114290
2021-05-06,2019,114318
2021-05-07,2019,114439
2021-05-08,2019,114463
2021-05-09,2019,114343
2021-05-10,2019,114322
2021-05-11,2019,114083
2021-05-12,2019,113675
2021-05-13,2019,113632
2021-05-14,2019,113685
2021-05-15,2019,114107
2021-05-16,2019,114573
2021-05-17,2019,114698
2021-05-18,2019,114811
2021-05-19,2019,115121
2021-05-20,2019,115251
2021-05-21,2019,115216
2021-05-22,2019,115369
2021-05-23,2019,115480
2021-05-24,2019,115797
2021-05-25,2019,116010
2021-05-26,2019,115514
2021-05-27,2019,114936
2021-05-28,2019,114943
2021-05-29,2019,114822
2021-05-30,2019,114723
2021-05-31,2019,114710
2021-06-01,2019,115205
2021-06-02,2019,116372
2021-06-03,2019,117689
2021-06-04,2019,118343
2021-06-05,2019,118714
2021-06-06,2019,119253
2021-06-07,2019,119610
2021-06-08,2019,119762
2021-06-09,2019,119732
2021-06-10,2019,119598
2021-06-11,2019,120087
2021-06-12,2019,120564
2021-06-13,2019,120906
2021-06-14,2019,121333
2021-06-15,2019,121558
2021-06-16,2019,121787
2021-06-17,2019,122204
2021-06-18,2019,122191
2021-06-19,2019,122324
2021-06-20,2019,122285
2021-06-21,2019,122100
2021-06-22,2019,122113
2021-06-23,2019,122313
2021-06-24,2019,122354
2021-06-25,2019,122346
2021-06-26,2019,122408
2021-06-27,2019,122822
2021-06-28,2019,123014
2021-06-29,2019,123285
2021-06-30,2019,123304
2021-07-01,2019,123088
2021-07-02,2019,122930
2021-07-03,2019,122875
2021-07-04,2019,121502
2021-07-05,2019,120326
2021-07-06,2019,120103
2021-07-07,2019,120591
2021-07-08,2019,121323
2021-07-09,2019,122033
2021-07-10,2019,122356
2021-07-11,2019,123687
2021-07-12,2019,125118
2021-07-13,2019,125684
2021-07-14,2019,125618
2021-07-15,2019,125484
2021-07-16,2019,125453
2021-07-17,2019,125329
2021-07-18,2019,125431
2021-07-19,2019,125423
2021-07-20,2019,125406
2021-07-21,2019,125372
2021-07-22,2019,125253
