Overall category,Behaviour,Time period,SDQ Score
Difficulty,Total difficulties,Summer 2020,9.291
Difficulty,Emotional,Summer 2020,2.01
Difficulty,Conduct problems,Summer 2020,1.569
Difficulty,Hyperactivity,Summer 2020,4.072
Difficulty,Peer problems,Summer 2020,1.641
Strength,Prosocial behaviour,Summer 2020,8.102
Difficulty,Total difficulties,Summer in previous years,8.184
Difficulty,Emotional,Summer in previous years,1.639
Difficulty,Conduct problems,Summer in previous years,1.748
Difficulty,Hyperactivity,Summer in previous years,3.572
Difficulty,Peer problems,Summer in previous years,1.286
Strength,Prosocial behaviour,Summer in previous years,8.341
