Nation,Date,Cumulative 1st doses (%)
England,2021-04-25,28289296
England,2021-04-24,28227710
England,2021-04-23,28102852
England,2021-04-22,27995196
England,2021-04-21,27891208
England,2021-04-20,27798505
England,2021-04-19,27713634
England,2021-04-18,27628579
England,2021-04-17,27559381
England,2021-04-16,27447286
England,2021-04-15,27345006
England,2021-04-14,27251419
England,2021-04-13,27172302
England,2021-04-12,27132941
England,2021-04-11,27107590
England,2021-04-10,27070991
England,2021-04-09,26996936
England,2021-04-08,26934662
England,2021-04-07,26879123
England,2021-04-06,26820161
England,2021-04-05,26765865
England,2021-04-04,26746039
England,2021-04-03,26719422
England,2021-04-02,26644910
England,2021-04-01,26576629
England,2021-03-31,26454219
England,2021-03-30,26266174
England,2021-03-29,26090111
England,2021-03-28,25903782
England,2021-03-27,25651406
England,2021-03-26,25284013
England,2021-03-25,24940005
England,2021-03-24,24681955
England,2021-03-23,24406074
England,2021-03-22,24137423
England,2021-03-21,23854862
England,2021-03-20,23559503
England,2021-03-19,22873079
England,2021-03-18,22337590
England,2021-03-17,21886125
England,2021-03-16,21493356
England,2021-03-15,21122514
England,2021-03-14,20791838
England,2021-03-13,20568821
England,2021-03-12,20111189
England,2021-03-11,19798473
England,2021-03-10,19587080
England,2021-03-09,19380360
England,2021-03-08,19199233
England,2021-03-07,19015497
England,2021-03-06,18875389
England,2021-03-05,18491771
England,2021-03-04,18106090
England,2021-03-03,17785702
England,2021-03-02,17554700
England,2021-03-01,17373384
England,2021-02-28,17212804
England,2021-02-27,17051245
England,2021-02-26,16679881
England,2021-02-25,16227104
England,2021-02-24,15794992
England,2021-02-23,15398055
England,2021-02-22,15113158
England,2021-02-21,14958074
England,2021-02-20,14844087
England,2021-02-19,14537978
England,2021-02-18,14214176
England,2021-02-17,13817914
England,2021-02-16,13395338
England,2021-02-15,13082669
England,2021-02-14,12862909
England,2021-02-13,12675663
England,2021-02-12,12246166
England,2021-02-11,11809241
England,2021-02-10,11422507
England,2021-02-09,11083652
England,2021-02-08,10771998
England,2021-02-07,10519729
England,2021-02-06,10290215
England,2021-02-05,9831897
England,2021-02-04,9430261
England,2021-02-03,9041835
England,2021-02-02,8663041
England,2021-02-01,8362868
England,2021-01-31,8082355
England,2021-01-30,7792996
England,2021-01-29,7253305
England,2021-01-28,6816945
England,2021-01-27,6473752
England,2021-01-26,6221850
England,2021-01-25,5962544
England,2021-01-24,5727693
England,2021-01-23,5529101
England,2021-01-22,5085771
England,2021-01-21,4661293
England,2021-01-20,4303730
England,2021-01-19,3985579
England,2021-01-18,3687206
England,2021-01-17,3520056
England,2021-01-16,3365492
England,2021-01-15,3090058
England,2021-01-14,2769164
England,2021-01-13,2494371
England,2021-01-12,2254556
England,2021-01-11,2080280
England,2021-01-10,1959151
Northern Ireland,2021-04-25,912444
Northern Ireland,2021-04-24,905736
Northern Ireland,2021-04-23,898858
Northern Ireland,2021-04-22,892787
Northern Ireland,2021-04-21,883813
Northern Ireland,2021-04-20,876290
Northern Ireland,2021-04-19,869342
Northern Ireland,2021-04-18,863712
Northern Ireland,2021-04-17,860313
Northern Ireland,2021-04-16,855826
Northern Ireland,2021-04-15,850103
Northern Ireland,2021-04-14,844284
Northern Ireland,2021-04-13,838049
Northern Ireland,2021-04-12,831895
Northern Ireland,2021-04-11,826412
Northern Ireland,2021-04-10,820032
Northern Ireland,2021-04-09,813468
Northern Ireland,2021-04-08,806005
Northern Ireland,2021-04-07,799410
Northern Ireland,2021-04-06,790860
Northern Ireland,2021-04-05,785494
Northern Ireland,2021-04-04,779932
Northern Ireland,2021-04-03,777108
Northern Ireland,2021-04-02,772240
Northern Ireland,2021-04-01,765005
Northern Ireland,2021-03-31,756013
Northern Ireland,2021-03-30,749112
Northern Ireland,2021-03-29,740729
Northern Ireland,2021-03-28,730471
Northern Ireland,2021-03-27,726589
Northern Ireland,2021-03-26,719260
Northern Ireland,2021-03-25,711673
Northern Ireland,2021-03-24,703334
Northern Ireland,2021-03-23,694863
Northern Ireland,2021-03-22,687528
Northern Ireland,2021-03-21,687528
Northern Ireland,2021-03-20,667758
Northern Ireland,2021-03-19,662973
Northern Ireland,2021-03-18,655581
Northern Ireland,2021-03-17,646190
Northern Ireland,2021-03-16,640801
Northern Ireland,2021-03-15,634019
Northern Ireland,2021-03-14,629461
Northern Ireland,2021-03-13,625195
Northern Ireland,2021-03-12,621462
Northern Ireland,2021-03-11,614629
Northern Ireland,2021-03-10,606695
Northern Ireland,2021-03-09,601101
Northern Ireland,2021-03-08,596527
Northern Ireland,2021-03-07,588803
Northern Ireland,2021-03-06,582914
Northern Ireland,2021-03-05,577219
Northern Ireland,2021-03-04,568011
Northern Ireland,2021-03-03,556721
Northern Ireland,2021-03-02,545019
Northern Ireland,2021-03-01,537389
Northern Ireland,2021-02-28,525400
Northern Ireland,2021-02-27,520996
Northern Ireland,2021-02-26,515678
Northern Ireland,2021-02-25,505188
Northern Ireland,2021-02-24,491593
Northern Ireland,2021-02-23,478235
Northern Ireland,2021-02-22,468129
Northern Ireland,2021-02-21,458030
Northern Ireland,2021-02-20,446009
Northern Ireland,2021-02-19,442917
Northern Ireland,2021-02-18,436143
Northern Ireland,2021-02-17,427569
Northern Ireland,2021-02-16,418209
Northern Ireland,2021-02-15,409507
Northern Ireland,2021-02-14,397243
Northern Ireland,2021-02-13,391101
Northern Ireland,2021-02-12,387771
Northern Ireland,2021-02-11,373414
Northern Ireland,2021-02-10,353757
Northern Ireland,2021-02-09,333658
Northern Ireland,2021-02-08,317606
Northern Ireland,2021-02-07,303478
Northern Ireland,2021-02-06,295915
Northern Ireland,2021-02-05,289889
Northern Ireland,2021-02-04,275232
Northern Ireland,2021-02-03,263735
Northern Ireland,2021-02-02,246671
Northern Ireland,2021-02-01,233429
Northern Ireland,2021-01-31,221809
Northern Ireland,2021-01-30,214601
Northern Ireland,2021-01-29,204065
Northern Ireland,2021-01-28,196131
Northern Ireland,2021-01-27,175284
Northern Ireland,2021-01-26,168140
Northern Ireland,2021-01-25,163317
