Nation,Date,Cumulative 1st doses (%),,
England,2021-04-25,50.53464809,,
England,2021-04-24,50.4246338,,
England,2021-04-23,50.20159343,,
England,2021-04-22,50.00928189,,
England,2021-04-21,49.82352269,,
England,2021-04-20,49.65792247,,
England,2021-04-19,49.50631297,,
England,2021-04-18,49.35437478,,
England,2021-04-17,49.23076277,,
England,2021-04-16,49.03052161,,
England,2021-04-15,48.8478135,,
England,2021-04-14,48.68063416,,
England,2021-04-13,48.53930332,,
England,2021-04-12,48.46899071,,
England,2021-04-11,48.42370489,,
England,2021-04-10,48.35832619,,
England,2021-04-09,48.22603787,,
England,2021-04-08,48.11479457,,
England,2021-04-07,48.01558235,,
England,2021-04-06,47.91025545,,
England,2021-04-05,47.81326367,,
England,2021-04-04,47.77784745,,
England,2021-04-03,47.73030011,,
England,2021-04-02,47.59719543,,
England,2021-04-01,47.47522151,,
England,2021-03-31,47.25655413,,
England,2021-03-30,46.92063951,,
England,2021-03-29,46.60612897,,
England,2021-03-28,46.27327974,,
England,2021-03-27,45.8224473,,
England,2021-03-26,45.16615398,,
England,2021-03-25,44.55163451,,
England,2021-03-24,44.09066631,,
England,2021-03-23,43.59784566,,
England,2021-03-22,43.11794034,,
England,2021-03-21,42.61318685,,
England,2021-03-20,42.08557163,,
England,2021-03-19,40.85937656,,
England,2021-03-18,39.90280457,,
England,2021-03-17,39.09632905,,
England,2021-03-16,38.39470525,,
England,2021-03-15,37.7322508,,
England,2021-03-14,37.14154698,,
England,2021-03-13,36.74316006,,
England,2021-03-12,35.9256681,,
England,2021-03-11,35.36704716,,
England,2021-03-10,34.98942479,,
England,2021-03-09,34.62015005,,
England,2021-03-08,34.29659343,,
England,2021-03-07,33.96837621,,
England,2021-03-06,33.71809396,,
England,2021-03-05,33.03281708,,
England,2021-03-04,32.34385495,,
England,2021-03-03,31.77152912,,
England,2021-03-02,31.35887817,,
England,2021-03-01,31.03498392,,
England,2021-02-28,30.74813148,,
England,2021-02-27,30.45953019,,
England,2021-02-26,29.79614327,,
England,2021-02-25,28.98732404,,
England,2021-02-24,28.21541979,,
England,2021-02-23,27.50635048,,
England,2021-02-22,26.99742408,,
England,2021-02-21,26.72038942,,
England,2021-02-20,26.51676849,,
England,2021-02-19,25.96994998,,
England,2021-02-18,25.39152554,,
England,2021-02-17,24.68366202,,
