Date,Data type,SIP,App
23/01/2020,SIP,1,
26/01/2020,SIP,2,
08/02/2020,SIP,3,
23/02/2020,SIP,5,
25/02/2020,SIP,6,
03/03/2020,SIP,7,
06/03/2020,SIP,8,
08/03/2020,SIP,10,
09/03/2020,SIP,13,
10/03/2020,SIP,14,
12/03/2020,SIP,18,
13/03/2020,SIP,26,
14/03/2020,SIP,29,
15/03/2020,SIP,35,
16/03/2020,SIP,42,
17/03/2020,SIP,50,
18/03/2020,SIP,58,
19/03/2020,SIP,64,
20/03/2020,SIP,68,
21/03/2020,SIP,73,
22/03/2020,SIP,78,
23/03/2020,SIP,93,
24/03/2020,SIP,100,
25/03/2020,SIP,104,
26/03/2020,SIP,107,
27/03/2020,SIP,113,
28/03/2020,SIP,117,
29/03/2020,SIP,118,
30/03/2020,SIP,124,
31/03/2020,SIP,126,
01/04/2020,SIP,129,
02/04/2020,SIP,131,
03/04/2020,SIP,132,
04/04/2020,SIP,133,
05/04/2020,SIP,134,
08/04/2020,SIP,136,
09/04/2020,SIP,137,
10/04/2020,SIP,140,
11/04/2020,SIP,141,
14/04/2020,SIP,142,
17/04/2020,SIP,143,
18/04/2020,SIP,145,
27/04/2020,SIP,147,
01/05/2020,SIP,148,
04/05/2020,SIP,149,
19/01/2020,No of downloads,,-21
26/01/2020,No of downloads,,20
02/02/2020,No of downloads,,-6
03/02/2020,No of downloads,,-3
16/02/2020,No of downloads,,-17
23/02/2020,No of downloads,,-38
16/03/2020,No of downloads,,11
23/03/2020,No of downloads,,49
30/03/2020,No of downloads,,94
05/04/2020,No of downloads,,205
13/04/2020,No of downloads,,75
20/04/2020,No of downloads,,147
27/04/2020,No of downloads,,167
01/05/2020,No of downloads,,-3
18/05/2020,No of downloads,,136
25/05/2020,No of downloads,,76
04/06/2020,No of downloads,,356
02/09/2020,No of downloads,,9
03/09/2020,No of downloads,,31
05/11/2020,No of downloads,,77
01/12/2020,No of downloads,,5
