Period,Type,Value
Jan to Mar 2001,Total pay,4.9
Feb to Apr 2001,Total pay,4.9
Mar to May 2001,Total pay,3.6
Apr to Jun 2001,Total pay,3.7
May to Jul 2001,Total pay,3.3
Jun to Aug 2001,Total pay,3.2
Jul to Sep 2001,Total pay,2.9
Aug to Oct 2001,Total pay,3
Sep to Nov 2001,Total pay,3
Oct to Dec 2001,Total pay,2.7
Nov to Jan 2002,Total pay,2.3
Dec to Feb 2002,Total pay,1.6
Jan to Mar 2002,Total pay,1.4
Feb to Apr 2002,Total pay,1.3
Mar to May 2002,Total pay,1.8
Apr to Jun 2002,Total pay,2.1
May to Jul 2002,Total pay,2.4
Jun to Aug 2002,Total pay,2.2
Jul to Sep 2002,Total pay,2
Aug to Oct 2002,Total pay,1.6
Sep to Nov 2002,Total pay,1.4
Oct to Dec 2002,Total pay,1.1
Nov to Jan 2003,Total pay,1
Dec to Feb 2003,Total pay,0.8
Jan to Mar 2003,Total pay,1.3
Feb to Apr 2003,Total pay,1.5
Mar to May 2003,Total pay,1.8
Apr to Jun 2003,Total pay,1.4
May to Jul 2003,Total pay,1.4
Jun to Aug 2003,Total pay,1.5
Jul to Sep 2003,Total pay,1.9
Aug to Oct 2003,Total pay,2.3
Sep to Nov 2003,Total pay,2.4
Oct to Dec 2003,Total pay,2.6
Nov to Jan 2004,Total pay,2.6
Dec to Feb 2004,Total pay,2.6
Jan to Mar 2004,Total pay,2.6
Feb to Apr 2004,Total pay,2.7
Mar to May 2004,Total pay,2.8
Apr to Jun 2004,Total pay,2.8
May to Jul 2004,Total pay,2.8
Jun to Aug 2004,Total pay,2.9
Jul to Sep 2004,Total pay,3
Aug to Oct 2004,Total pay,3.1
Sep to Nov 2004,Total pay,3.1
Oct to Dec 2004,Total pay,3.1
Nov to Jan 2005,Total pay,3.1
Dec to Feb 2005,Total pay,3.3
Jan to Mar 2005,Total pay,3
Feb to Apr 2005,Total pay,2.8
Mar to May 2005,Total pay,2.3
Apr to Jun 2005,Total pay,2.3
May to Jul 2005,Total pay,2.4
Jun to Aug 2005,Total pay,2.5
Jul to Sep 2005,Total pay,2.4
Aug to Oct 2005,Total pay,2.3
Sep to Nov 2005,Total pay,2.2
Oct to Dec 2005,Total pay,2.1
Nov to Jan 2006,Total pay,2
Dec to Feb 2006,Total pay,2.5
Jan to Mar 2006,Total pay,2.8
Feb to Apr 2006,Total pay,3.1
Mar to May 2006,Total pay,2.6
Apr to Jun 2006,Total pay,2.5
May to Jul 2006,Total pay,2.3
Jun to Aug 2006,Total pay,2
Jul to Sep 2006,Total pay,1.5
Aug to Oct 2006,Total pay,1.4
Sep to Nov 2006,Total pay,1.6
Oct to Dec 2006,Total pay,2
Nov to Jan 2007,Total pay,2.6
Dec to Feb 2007,Total pay,3.6
Jan to Mar 2007,Total pay,3.1
Feb to Apr 2007,Total pay,2.4
Mar to May 2007,Total pay,1.6
Apr to Jun 2007,Total pay,1.9
May to Jul 2007,Total pay,2.2
Jun to Aug 2007,Total pay,2.6
Jul to Sep 2007,Total pay,3.1
Aug to Oct 2007,Total pay,2.9
Sep to Nov 2007,Total pay,2.6
Oct to Dec 2007,Total pay,1.7
Nov to Jan 2008,Total pay,1.5
