date,value
1971-02-01,864.25003
1971-03-01,862.7450667
1971-04-01,862.5065695
1971-05-01,862.7865442
1971-06-01,862.6441837
1971-07-01,862.2538946
1971-08-01,861.3490129
1971-09-01,860.8365353
1971-10-01,860.7858227
1971-11-01,861.6875491
1971-12-01,863.4910345
1972-01-01,866.0702753
1972-02-01,868.6923414
1972-03-01,870.6963741
1972-04-01,871.9889993
1972-05-01,873.0678329
1972-06-01,873.6758264
1972-07-01,874.9877355
1972-08-01,876.6596427
1972-09-01,878.3429544
1972-10-01,879.8006249
1972-11-01,881.9472093
1972-12-01,884.4219197
1973-01-01,887.6917548
1973-02-01,890.5794831
1973-03-01,893.0704528
1973-04-01,894.0576648
1973-05-01,894.2217207
1973-06-01,893.7953354
1973-07-01,893.3881047
1973-08-01,893.6931918
1973-09-01,894.0072072
1973-10-01,894.0818665
1973-11-01,893.9103613
1973-12-01,893.6254039
1974-01-01,892.7612572
1974-02-01,891.6285792
1974-03-01,890.8590255
1974-04-01,890.0155224
1974-05-01,889.6139187
1974-06-01,888.9812977
1974-07-01,888.6997783
1974-08-01,888.0637612
1974-09-01,887.059702
1974-10-01,885.3458958
1974-11-01,883.5159353
1974-12-01,881.4057213
1975-01-01,878.9707451
1975-02-01,876.8563455
1975-03-01,874.8431656
1975-04-01,873.0800353
1975-05-01,871.4064199
1975-06-01,870.127822
1975-07-01,868.8503383
1975-08-01,867.3925052
1975-09-01,865.8592789
1975-10-01,864.7109816
1975-11-01,863.5794025
1975-12-01,862.6815818
1976-01-01,861.5340941
1976-02-01,860.7901008
1976-03-01,860.2192024
1976-04-01,860.2272055
1976-05-01,860.0947684
1976-06-01,860.2849969
1976-07-01,860.6015577
1976-08-01,861.0391845
1976-09-01,861.6419814
1976-10-01,862.4255926
1976-11-01,863.3721032
1976-12-01,864.3086025
1977-01-01,864.8515892
1977-02-01,865.6165593
1977-03-01,865.977065
1977-04-01,866.1955281
1977-05-01,866.7120299
1977-06-01,866.6919407
1977-07-01,867.172164
1977-08-01,867.3340036
1977-09-01,867.5761507
1977-10-01,867.7373315
1977-11-01,867.7568722
1977-12-01,868.0843296
1978-01-01,868.3767792
1978-02-01,869.0029322
1978-03-01,869.4667788
1978-04-01,869.8400357
1978-05-01,870.1767423
1978-06-01,870.6106907
1978-07-01,871.1859429
1978-08-01,871.9646607
1978-09-01,873.43206
1978-10-01,874.8696837
1978-11-01,876.5505745
1978-12-01,877.6037656
1979-01-01,878.2523534
1979-02-01,878.5975297
1979-03-01,878.8204536
1979-04-01,879.2003563
1979-05-01,879.6447233
1979-06-01,880.0678938
1979-07-01,880.450511
1979-08-01,880.5774564
1979-09-01,880.472233
1979-10-01,880.2548725
1979-11-01,879.7752516
1979-12-01,878.7197199
1980-01-01,877.1102395
1980-02-01,875.0894208
1980-03-01,873.1326315
1980-04-01,870.7142766
1980-05-01,868.2396106
1980-06-01,865.3303099
1980-07-01,861.5823029
1980-08-01,857.4335437
1980-09-01,853.1861104
1980-10-01,848.6677105
1980-11-01,844.6047157
1980-12-01,840.3091923
1981-01-01,836.3576
1981-02-01,832.7792008
1981-03-01,829.6260113
1981-04-01,826.4674416
1981-05-01,823.7300198
1981-06-01,821.5083542
1981-07-01,819.466496
1981-08-01,817.805459
1981-09-01,816.1727953
1981-10-01,814.4057917
1981-11-01,812.7168079
1981-12-01,811.4692365
1982-01-01,810.5754391
1982-02-01,810.2325
1982-03-01,809.3683179
1982-04-01,808.5097521
1982-05-01,807.040573
1982-06-01,805.6832592
1982-07-01,804.1639049
1982-08-01,802.2272033
1982-09-01,800.2386476
1982-10-01,798.1641234
1982-11-01,796.3289386
1982-12-01,794.5231871
1983-01-01,792.8808116
1983-02-01,791.7467997
1983-03-01,791.1473714
1983-04-01,790.5040882
1983-05-01,790.8429158
1983-06-01,792.0202428
1983-07-01,793.7747129
1983-08-01,796.0951617
1983-09-01,798.5663086
1983-10-01,801.0181696
1983-11-01,802.8069194
1983-12-01,804.7846371
1984-01-01,806.5132597
1984-02-01,808.2332854
1984-03-01,809.9552874
1984-04-01,811.7414607
1984-05-01,813.4393629
1984-06-01,814.8346962
1984-07-01,816.1698032
1984-08-01,817.679138
1984-09-01,819.1353
1984-10-01,820.4734
1984-11-01,821.8738557
1984-12-01,823.0878
1985-01-01,823.997
1985-02-01,824.9515982
1985-03-01,825.9498
1985-04-01,826.2643998
1985-05-01,826.6036
1985-06-01,826.9836
1985-07-01,827.506
1985-08-01,827.5842681
1985-09-01,827.6310065
1985-10-01,827.8519
1985-11-01,827.7372
1985-12-01,827.3237
1986-01-01,827.4427
1986-02-01,827.1717
1986-03-01,827.1053908
1986-04-01,827.0780476
1986-05-01,827.3957092
1986-06-01,828.1466
1986-07-01,828.7748
1986-08-01,829.9351
1986-09-01,831.096
1986-10-01,832.1291
1986-11-01,832.901
1986-12-01,833.8328134
1987-01-01,834.9785
1987-02-01,836.3595549
1987-03-01,838.0756
1987-04-01,840.4625404
1987-05-01,843.328
1987-06-01,846.3379
1987-07-01,849.4792
1987-08-01,852.2823567
1987-09-01,854.9942
1987-10-01,857.9100438
1987-11-01,860.8211046
1987-12-01,863.8799823
1988-01-01,866.8751
1988-02-01,869.4273302
1988-03-01,871.9216
1988-04-01,873.9619032
1988-05-01,876.1684
1988-06-01,878.3038
1988-07-01,880.834
1988-08-01,883.1198
1988-09-01,885.6525
1988-10-01,887.9234
1988-11-01,890.2243583
1988-12-01,892.9948
1989-01-01,895.9276
1989-02-01,898.862
1989-03-01,901.384
1989-04-01,903.2069296
1989-05-01,904.0937
1989-06-01,904.904
1989-07-01,905.8331267
1989-08-01,906.6440598
1989-09-01,907.3479
1989-10-01,908.136
1989-11-01,908.7888
1989-12-01,908.7474
1990-01-01,908.589
1990-02-01,908.133
1990-03-01,907.6704
1990-04-01,907.2904219
1990-05-01,906.5888367
1990-06-01,905.8069588
1990-07-01,904.0731
1990-08-01,901.8135
1990-09-01,898.8168707
1990-10-01,895.7845522
1990-11-01,892.4108728
1990-12-01,888.9944978
1991-01-01,885.2160345
1991-02-01,881.3708266
1991-03-01,877.586
1991-04-01,873.7930377
1991-05-01,869.7884745
1991-06-01,866.0839961
1991-07-01,862.6154424
1991-08-01,859.5204599
1991-09-01,856.9274177
1991-10-01,854.2201257
1991-11-01,851.93
1991-12-01,850.117175
1992-01-01,848.80358
1992-02-01,847.1656724
1992-03-01,846.9132858
1992-04-01,847.2325977
1992-05-01,847.6466034
1992-06-01,843.5144989
1992-07-01,841.3761548
1992-08-01,840.4271023
1992-09-01,837.7243988
1992-10-01,837.1756538
1992-11-01,832.7883893
1992-12-01,834.0937078
1993-01-01,832.9028365
1993-02-01,832.3005265
1993-03-01,829.5969333
1993-04-01,830.3777129
1993-05-01,832.5840257
1993-06-01,834.1444409
1993-07-01,833.4911852
1993-08-01,832.4447344
1993-09-01,832.5747113
1993-10-01,826.3777002
1993-11-01,831.5731547
1993-12-01,829.3283313
1994-01-01,836.7626376
1994-02-01,837.1165233
1994-03-01,842.1046529
1994-04-01,840.3722151
1994-05-01,839.1761603
1994-06-01,841.0958547
1994-07-01,843.9412637
1994-08-01,846.279947
1994-09-01,846.4085848
1994-10-01,847.0514438
1994-11-01,852.9688369
1994-12-01,854.4813621
1995-01-01,853.5252932
1995-02-01,852.4396493
1995-03-01,854.3597137
1995-04-01,855.9007892
1995-05-01,854.176436
1995-06-01,855.0712084
1995-07-01,855.530676
1995-08-01,854.9369425
1995-09-01,854.074343
1995-10-01,854.6685888
1995-11-01,859.6854541
1995-12-01,861.7948586
1996-01-01,859.8989837
1996-02-01,859.8503332
1996-03-01,858.6389592
1996-04-01,860.1195762
1996-05-01,862.7860111
1996-06-01,862.2613293
1996-07-01,863.468777
1996-08-01,863.3275541
1996-09-01,865.7964803
1996-10-01,869.2431311
1996-11-01,866.0944414
1996-12-01,867.7596392
1997-01-01,870.2271345
1997-02-01,873.6929805
1997-03-01,877.4642151
1997-04-01,878.0870345
1997-05-01,878.3247881
1997-06-01,877.0452536
1997-07-01,877.9118865
1997-08-01,880.1821636
1997-09-01,882.9273013
1997-10-01,884.4946004
1997-11-01,879.8432782
1997-12-01,881.0622569
1998-01-01,880.4479933
1998-02-01,884.1467113
1998-03-01,885.9247433
1998-04-01,885.0771372
1998-05-01,884.1406535
1998-06-01,884.5722719
1998-07-01,885.4271565
1998-08-01,887.5931175
1998-09-01,888.1571124
1998-10-01,888.4905715
1998-11-01,883.1669962
1998-12-01,887.1576155
1999-01-01,888.0332874
1999-02-01,888.3023775
1999-03-01,886.2213924
1999-04-01,887.3330662
1999-05-01,890.5783575
1999-06-01,892.3366531
1999-07-01,893.4400745
1999-08-01,894.8002119
1999-09-01,892.5533677
1999-10-01,894.6018629
1999-11-01,896.9977775
