date,region,value
2019-12-01,Inner London (West),100
2020-01-01,Inner London (West),100
2020-02-01,Inner London (West),99.98
2020-03-01,Inner London (West),99.91
2020-04-01,Inner London (West),97.84
2020-05-01,Inner London (West),96.73
2020-06-01,Inner London (West),96.18
2020-07-01,Inner London (West),95.76
2020-08-01,Inner London (West),95.4
2020-09-01,Inner London (West),94.94
2020-10-01,Inner London (West),94.55
2020-11-01,Inner London (West),93.86
2020-12-01,Inner London (West),93.94
2021-01-01,Inner London (West),93.93
2021-02-01,Inner London (West),93.87
2021-03-01,Inner London (West),94.07
2021-04-01,Inner London (West),94.55
2021-05-01,Inner London (West),95.25
2021-06-01,Inner London (West),96.05
2021-07-01,Inner London (West),96.83
2021-08-01,Inner London (West),97.75
2021-09-01,Inner London (West),98.68
2021-10-01,Inner London (West),99.25
2021-11-01,Inner London (West),100.12
2021-12-01,Inner London (West),101.08
2019-12-01,Inner London (East),100
2020-01-01,Inner London (East),100.06
2020-02-01,Inner London (East),100.18
2020-03-01,Inner London (East),100.14
2020-04-01,Inner London (East),97.67
2020-05-01,Inner London (East),96.95
2020-06-01,Inner London (East),96.57
2020-07-01,Inner London (East),96.29
2020-08-01,Inner London (East),95.68
2020-09-01,Inner London (East),95.01
2020-10-01,Inner London (East),94.55
2020-11-01,Inner London (East),93.71
2020-12-01,Inner London (East),93.84
2021-01-01,Inner London (East),93.82
2021-02-01,Inner London (East),93.72
2021-03-01,Inner London (East),93.96
2021-04-01,Inner London (East),94.49
2021-05-01,Inner London (East),95.33
2021-06-01,Inner London (East),96.13
2021-07-01,Inner London (East),96.88
2021-08-01,Inner London (East),97.86
2021-09-01,Inner London (East),98.93
2021-10-01,Inner London (East),99.49
2021-11-01,Inner London (East),100.23
2021-12-01,Inner London (East),101.17
2019-12-01,Outer London (West/Northwest),100
2020-01-01,Outer London (West/Northwest),100.11
2020-02-01,Outer London (West/Northwest),100.18
2020-03-01,Outer London (West/Northwest),100.06
2020-04-01,Outer London (West/Northwest),98.49
2020-05-01,Outer London (West/Northwest),97.87
2020-06-01,Outer London (West/Northwest),97.67
2020-07-01,Outer London (West/Northwest),97.43
2020-08-01,Outer London (West/Northwest),97.04
2020-09-01,Outer London (West/Northwest),96.59
2020-10-01,Outer London (West/Northwest),96.25
2020-11-01,Outer London (West/Northwest),95.76
2020-12-01,Outer London (West/Northwest),95.77
2021-01-01,Outer London (West/Northwest),95.73
2021-02-01,Outer London (West/Northwest),95.75
2021-03-01,Outer London (West/Northwest),95.94
2021-04-01,Outer London (West/Northwest),96.41
2021-05-01,Outer London (West/Northwest),96.99
2021-06-01,Outer London (West/Northwest),97.49
2021-07-01,Outer London (West/Northwest),97.9
2021-08-01,Outer London (West/Northwest),98.63
2021-09-01,Outer London (West/Northwest),99.18
2021-10-01,Outer London (West/Northwest),99.31
2021-11-01,Outer London (West/Northwest),99.82
2021-12-01,Outer London (West/Northwest),100.38
2019-12-01,Cornwall/Isles of Scilly,100
2020-01-01,Cornwall/Isles of Scilly,100.28
2020-02-01,Cornwall/Isles of Scilly,100.46
2020-03-01,Cornwall/Isles of Scilly,100.44
2020-04-01,Cornwall/Isles of Scilly,97.6
2020-05-01,Cornwall/Isles of Scilly,97.03
2020-06-01,Cornwall/Isles of Scilly,96.45
2020-07-01,Cornwall/Isles of Scilly,96.96
2020-08-01,Cornwall/Isles of Scilly,97.5
2020-09-01,Cornwall/Isles of Scilly,97.98
2020-10-01,Cornwall/Isles of Scilly,98.49
2020-11-01,Cornwall/Isles of Scilly,98.72
2020-12-01,Cornwall/Isles of Scilly,99.18
2021-01-01,Cornwall/Isles of Scilly,99.33
2021-02-01,Cornwall/Isles of Scilly,99.37
2021-03-01,Cornwall/Isles of Scilly,99.47
2021-04-01,Cornwall/Isles of Scilly,99.21
2021-05-01,Cornwall/Isles of Scilly,100.45
2021-06-01,Cornwall/Isles of Scilly,101.48
2021-07-01,Cornwall/Isles of Scilly,101.77
2021-08-01,Cornwall/Isles of Scilly,102.19
2021-09-01,Cornwall/Isles of Scilly,102.65
2021-10-01,Cornwall/Isles of Scilly,102.98
2021-11-01,Cornwall/Isles of Scilly,103.73
2021-12-01,Cornwall/Isles of Scilly,104.53
2019-12-01,Northeastern Scotland,100
2020-01-01,Northeastern Scotland,100.12
2020-02-01,Northeastern Scotland,100.17
2020-03-01,Northeastern Scotland,100.1
2020-04-01,Northeastern Scotland,98.66
2020-05-01,Northeastern Scotland,97.68
2020-06-01,Northeastern Scotland,97.21
2020-07-01,Northeastern Scotland,97
2020-08-01,Northeastern Scotland,95.85
2020-09-01,Northeastern Scotland,95.16
2020-10-01,Northeastern Scotland,94.76
2020-11-01,Northeastern Scotland,94.46
2020-12-01,Northeastern Scotland,94.41
2021-01-01,Northeastern Scotland,94.28
2021-02-01,Northeastern Scotland,94.11
2021-03-01,Northeastern Scotland,94.27
2021-04-01,Northeastern Scotland,94.6
2021-05-01,Northeastern Scotland,95
2021-06-01,Northeastern Scotland,95.43
2021-07-01,Northeastern Scotland,95.79
2021-08-01,Northeastern Scotland,95.99
2021-09-01,Northeastern Scotland,96.53
2021-10-01,Northeastern Scotland,96.85
2021-11-01,Northeastern Scotland,97.24
2021-12-01,Northeastern Scotland,98.12
2019-12-01,UK,100
2020-01-01,UK,100.14
2020-02-01,UK,100.19
2020-03-01,UK,100.15
2020-04-01,UK,98.49
2020-05-01,UK,97.85
2020-06-01,UK,97.67
2020-07-01,UK,97.55
2020-08-01,UK,97.31
2020-09-01,UK,97.12
2020-10-01,UK,97.04
2020-11-01,UK,96.87
2020-12-01,UK,96.98
2021-01-01,UK,97.01
2021-02-01,UK,97.12
2021-03-01,UK,97.32
2021-04-01,UK,97.56
2021-05-01,UK,98.14
2021-06-01,UK,98.74
2021-07-01,UK,99.15
2021-08-01,UK,99.68
2021-09-01,UK,100.17
2021-10-01,UK,100.41
2021-11-01,UK,100.96
2021-12-01,UK,101.6
