name,value
KeyBank NA,187.59
Manufacturers and Traders Trust Co.,200.26
Morgan Stanley Bank,201.36
Fifth Third Bank NA,206.29
Silicon Valley Bank,209.03
Morgan Stanley Private Bank,209.66
First Republic Bank,212.64
Citizens Bank NA,226.4
State Street Bank and Trust Co,298.02
Bank of New York Mellon,324.65
T D Bank NA,386.8
Capital One NA,453.31
Goldman Sachs Bank USA,486.97
Truist Bank,546.23
PNC Bank NA,552.31
U.S. Bank NA,585.14
Wells Fargo Bank NA,1717.53
Citibank,1766.75
Bank of America NA,2418.51
JPMorgan Chase Bank NA,3201.94
