Date,Country,GDP
2017-01-01,Scotland,99.17140818
2017-02-01,Scotland,99.83871902
2017-03-01,Scotland,100.5359662
2017-04-01,Scotland,99.66417082
2017-05-01,Scotland,99.92594403
2017-06-01,Scotland,100.4392869
2017-07-01,Scotland,99.90563855
2017-08-01,Scotland,100.5924386
2017-09-01,Scotland,99.61432603
2019-10-01,Scotland,99.90322759
2020-11-01,Scotland,100.2697236
2020-12-01,Scotland,100.1391593
2018-01-01,Scotland,100.8948566
2018-02-01,Scotland,100.5809587
2018-03-01,Scotland,100.8153235
2018-04-01,Scotland,100.6064767
2018-05-01,Scotland,101.5935852
2018-06-01,Scotland,101.7663936
2018-07-01,Scotland,101.1368464
2018-08-01,Scotland,101.5106912
2018-09-01,Scotland,101.142004
2018-10-01,Scotland,101.3118385
2018-11-01,Scotland,101.5894297
2018-12-01,Scotland,100.3616983
2019-01-01,Scotland,101.8994576
2019-02-01,Scotland,101.7265144
2019-03-01,Scotland,101.956132
2019-04-01,Scotland,102.1126151
2019-05-01,Scotland,102.0227634
2019-06-01,Scotland,101.3810753
2019-07-01,Scotland,101.7932403
2019-08-01,Scotland,101.6990072
2019-09-01,Scotland,102.214713
2019-10-01,Scotland,102.7251615
2019-11-01,Scotland,101.3623359
2019-12-01,Scotland,100.9829087
2020-01-01,Scotland,101.4159919
2020-02-01,Scotland,100.8791188
2020-03-01,Scotland,94.26213545
2020-04-01,Scotland,78.33499224
2020-05-01,Scotland,79.97359866
2020-06-01,Scotland,84.03402456
2020-07-01,Scotland,90.50348886
2020-08-01,Scotland,93.48190557
2020-09-01,Scotland,95.45247072
2020-10-01,Scotland,96.05734442
2020-11-01,Scotland,94.98694361
2020-12-01,Scotland,94.18549028
2021-01-01,Scotland,92.39065964
2021-02-01,Scotland,93.1460587
2021-03-01,Scotland,95.05000402
2021-04-01,Scotland,97.66547998
2021-05-01,Scotland,98.52556141
2021-06-01,Scotland,100.001394
2021-07-01,Scotland,99.60909734
2021-08-01,Scotland,99.38728611
2021-09-01,Scotland,100.2920667
2021-10-01,Scotland,100.4686742
2017-01-01,UK,99.46502718
2017-02-01,UK,99.39863602
2017-03-01,UK,99.53327978
2017-04-01,UK,99.66740647
2017-05-01,UK,99.91838989
2017-06-01,UK,99.85758303
2017-07-01,UK,99.9891244
2017-08-01,UK,100.1877808
2017-09-01,UK,100.4264581
2019-10-01,UK,100.2640996
2020-11-01,UK,100.5188059
2020-12-01,UK,100.7734088
2018-01-01,UK,100.851589
2018-02-01,UK,100.3650307
2018-03-01,UK,100.3914011
2018-04-01,UK,100.817773
2018-05-01,UK,101.2372162
2018-06-01,UK,101.6235673
2018-07-01,UK,101.7620373
2018-08-01,UK,102.0861337
2018-09-01,UK,102.1753792
2018-10-01,UK,102.4896514
2018-11-01,UK,102.6243985
2018-12-01,UK,102.3967865
2019-01-01,UK,102.7942027
2019-02-01,UK,103.1989613
2019-03-01,UK,103.2715573
2019-04-01,UK,103.1023736
2019-05-01,UK,103.3226433
2019-06-01,UK,103.4825198
2019-07-01,UK,103.672593
2019-08-01,UK,103.5828305
2019-09-01,UK,103.6996872
2019-10-01,UK,103.8436381
2019-11-01,UK,103.4351567
2019-12-01,UK,103.5496349
2020-01-01,UK,103.8060992
2020-02-01,UK,103.545912
2020-03-01,UK,95.55891035
2020-04-01,UK,77.55118643
2020-05-01,UK,79.74354259
2020-06-01,UK,87.20034568
2020-07-01,UK,94.02467469
2020-08-01,UK,96.04857103
2020-09-01,UK,97.72789516
2020-10-01,UK,98.4593355
2020-11-01,UK,96.20596566
2020-12-01,UK,97.13730337
2021-01-01,UK,94.79117204
2021-02-01,UK,95.53119566
2021-03-01,UK,97.540821
2021-04-01,UK,100.3200461
2021-05-01,UK,100.9709277
2021-06-01,UK,102.4029913
2021-07-01,UK,102.2030939
2021-08-01,UK,102.3629704
2021-09-01,UK,102.9344308
2021-10-01,UK,103.0279162
