Year,Trade,Percentage
1998,Exports,59
1999,Exports,59
2000,Exports,59
2001,Exports,59
2002,Exports,61
2003,Exports,62
2004,Exports,64
2005,Exports,64
2006,Exports,63
2007,Exports,62
2008,Exports,63
2009,Exports,61
2010,Exports,60
2011,Exports,59
2012,Exports,60
2013,Exports,61
2014,Exports,59
2015,Exports,62
2016,Exports,62
2017,Exports,61
1998,Imports,69
1999,Imports,70
2000,Imports,66
2001,Imports,67
2002,Imports,69
2003,Imports,69
2004,Imports,69
2005,Imports,69
2006,Imports,68
2007,Imports,69
2008,Imports,68
2009,Imports,69
2010,Imports,67
2011,Imports,66
2012,Imports,66
2013,Imports,67
2014,Imports,66
2015,Imports,67
2016,Imports,67
2017,Imports,67
