Sector,Change in payroll employment (%)
"Agriculture, forestry and fishing",0.00
Mining and quarrying,-5.69
Manufacturing,-4.44
Energy production and supply,-1.77
"Water supply, sewerage and waste",0.78
Construction,-0.29
Repair of motor vehicles,-3.33
Transportation and storage,-1.22
Accommodation and food services,-16.69
Information and communication,-2.12
Finance and insurance,-1.23
Real estate,-1.10
"Professional, scientific and technical",-1.67
Administrative and support services,-0.09
Public administration ,0.97
Education,-0.17
Health and social work,3.00
"Arts, entertainment and recreation",-16.41
Other service activities,-6.28
Households,-9.20
Extraterritorial,-0.24
All,-2.52
