Month,Age bracket,Median employed by age group,,,,
2020-03-15,Under 18,100,,,,
2020-04-15,Under 18,90.90223091,,,,
2020-05-15,Under 18,86.95775207,,,,
2020-06-15,Under 18,83.8273707,,,,
2020-07-15,Under 18,80.1854575,,,,
2020-08-15,Under 18,77.30757696,,,,
2020-09-15,Under 18,75.0938413,,,,
2020-10-15,Under 18,73.38534915,,,,
2020-11-15,Under 18,68.82437165,,,,
2020-12-15,Under 18,69.10226767,,,,
2021-01-15,Under 18,69.11629549,,,,
2020-03-15,18-24 years,100,,,,
2020-04-15,18-24 years,97.04605249,,,,
2020-05-15,18-24 years,96.00358317,,,,
2020-06-15,18-24 years,94.90980172,,,,
2020-07-15,18-24 years,93.19859704,,,,
2020-08-15,18-24 years,92.19312221,,,,
2020-09-15,18-24 years,92.28197839,,,,
2020-10-15,18-24 years,92.2388519,,,,
2020-11-15,18-24 years,91.89187313,,,,
2020-12-15,18-24 years,91.90306693,,,,
2021-01-15,18-24 years,92.41260161,,,,
2020-03-15,25-34 years,100,,,,
2020-04-15,25-34 years,98.56130589,,,,
2020-05-15,25-34 years,98.0529226,,,,
2020-06-15,25-34 years,97.88781102,,,,
2020-07-15,25-34 years,97.92904153,,,,
2020-08-15,25-34 years,97.54452473,,,,
2020-09-15,25-34 years,97.259833,,,,
2020-10-15,25-34 years,97.11985628,,,,
2020-11-15,25-34 years,96.85063328,,,,
2020-12-15,25-34 years,97.23636018,,,,
2021-01-15,25-34 years,97.55548843,,,,
2020-03-15,35-49 years,100,,,,
2020-04-15,35-49 years,98.97857003,,,,
2020-05-15,35-49 years,98.57089898,,,,
2020-06-15,35-49 years,98.56283903,,,,
2020-07-15,35-49 years,98.58541533,,,,
2020-08-15,35-49 years,98.58047808,,,,
2020-09-15,35-49 years,98.40726299,,,,
2020-10-15,35-49 years,98.35325921,,,,
2020-11-15,35-49 years,98.29012996,,,,
2020-12-15,35-49 years,98.48715567,,,,
2021-01-15,35-49 years,98.63813205,,,,
2020-03-15,50-64 years,100,,,,
2020-04-15,50-64 years,98.82049403,,,,
2020-05-15,50-64 years,98.48115612,,,,
2020-06-15,50-64 years,98.7055572,,,,
2020-07-15,50-64 years,98.98550617,,,,
2020-08-15,50-64 years,99.19932181,,,,
2020-09-15,50-64 years,99.19138273,,,,
2020-10-15,50-64 years,99.25783721,,,,
2020-11-15,50-64 years,99.20569363,,,,
2020-12-15,50-64 years,99.51760446,,,,
2021-01-15,50-64 years,99.79391789,,,,
2020-03-15,65+ years,100,,,,
2020-04-15,65+ years,95.86669848,,,,
2020-05-15,65+ years,94.70371555,,,,
2020-06-15,65+ years,95.45874371,,,,
2020-07-15,65+ years,96.88564496,,,,
2020-08-15,65+ years,98.04367819,,,,
2020-09-15,65+ years,98.08139495,,,,
2020-10-15,65+ years,98.0720895,,,,
2020-11-15,65+ years,97.73937026,,,,
2020-12-15,65+ years,97.95131667,,,,
2021-01-15,65+ years,98.70416696,,,,
2020-03-15,UK (all ages),100,,,,
2020-04-15,UK (all ages),98.38358175,,,,
2020-05-15,UK (all ages),97.81804292,,,,
2020-06-15,UK (all ages),97.68786735,,,,
2020-07-15,UK (all ages),97.57393485,,,,
2020-08-15,UK (all ages),97.4182241,,,,
2020-09-15,UK (all ages),97.27250538,,,,
2020-10-15,UK (all ages),97.2097639,,,,
2020-11-15,UK (all ages),96.99349763,,,,
2020-12-15,UK (all ages),97.2455083,,,,
2021-01-15,UK (all ages),97.53163942,,,,
