Month,Age bracket,Median employed by age group
March 2020,Under 18,100
April 2020,Under 18,90.90223091
May 2020,Under 18,86.95775207
June 2020,Under 18,83.8273707
July 2020,Under 18,80.1854575
August 2020,Under 18,77.30757696
September 2020,Under 18,75.0938413
October 2020,Under 18,73.38534915
November 2020,Under 18,68.82437165
December 2020,Under 18,69.10226767
January 2021,Under 18,69.11629549
March 2020,18-24 years,100
April 2020,18-24 years,97.04605249
May 2020,18-24 years,96.00358317
June 2020,18-24 years,94.90980172
July 2020,18-24 years,93.19859704
August 2020,18-24 years,92.19312221
September 2020,18-24 years,92.28197839
October 2020,18-24 years,92.2388519
November 2020,18-24 years,91.89187313
December 2020,18-24 years,91.90306693
January 2021,18-24 years,92.41260161
March 2020,25-34 years,100
April 2020,25-34 years,98.56130589
May 2020,25-34 years,98.0529226
June 2020,25-34 years,97.88781102
July 2020,25-34 years,97.92904153
August 2020,25-34 years,97.54452473
September 2020,25-34 years,97.259833
October 2020,25-34 years,97.11985628
November 2020,25-34 years,96.85063328
December 2020,25-34 years,97.23636018
January 2021,25-34 years,97.55548843
March 2020,35-49 years,100
April 2020,35-49 years,98.97857003
May 2020,35-49 years,98.57089898
June 2020,35-49 years,98.56283903
July 2020,35-49 years,98.58541533
August 2020,35-49 years,98.58047808
September 2020,35-49 years,98.40726299
October 2020,35-49 years,98.35325921
November 2020,35-49 years,98.29012996
December 2020,35-49 years,98.48715567
January 2021,35-49 years,98.63813205
March 2020,50-64 years,100
April 2020,50-64 years,98.82049403
May 2020,50-64 years,98.48115612
June 2020,50-64 years,98.7055572
July 2020,50-64 years,98.98550617
August 2020,50-64 years,99.19932181
September 2020,50-64 years,99.19138273
October 2020,50-64 years,99.25783721
November 2020,50-64 years,99.20569363
December 2020,50-64 years,99.51760446
January 2021,50-64 years,99.79391789
March 2020,65+ years,100
April 2020,65+ years,95.86669848
May 2020,65+ years,94.70371555
June 2020,65+ years,95.45874371
July 2020,65+ years,96.88564496
August 2020,65+ years,98.04367819
September 2020,65+ years,98.08139495
October 2020,65+ years,98.0720895
November 2020,65+ years,97.73937026
December 2020,65+ years,97.95131667
January 2021,65+ years,98.70416696
March 2020,UK (all ages),100
April 2020,UK (all ages),98.38358175
May 2020,UK (all ages),97.81804292
June 2020,UK (all ages),97.68786735
July 2020,UK (all ages),97.57393485
August 2020,UK (all ages),97.4182241
September 2020,UK (all ages),97.27250538
October 2020,UK (all ages),97.2097639
November 2020,UK (all ages),96.99349763
December 2020,UK (all ages),97.2455083
January 2021,UK (all ages),97.53163942
