Sugar intensity (g per 100g),Tax (pence) per g sugar
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,0.3529412
5.5,0.3396226
6,0.3130435
6.5,0.2866242
7,0.2647059
7.5,0.2465753
8,0.2996255
8.5,0.2891566
9,0.2733485
9.5,0.2594595
10,0.2461538
10.5,0.2330097
11,0.2222222
11.5,0.2123894
12,0.2033898
12.5,0.1951219
13,0.1875
13.5,0.1804511
14,0.173913
14.5,0.1678322
15,0.1626016
15.5,0.157377
16,0.1509434
16.5,0.1472393
17,0.14180145
17.5,0.1363636
18,0.1340782
18.5,0.130197
19,0.1263158
19.5,0.1231579
20,0.12
