country,code,value1,value2
Austria,AUT,5440,3.14146
Belgium,BEL,7626,1.19643
Switzerland,CHE,8656,2.01052
Germany,DEU,5746,3.24026
Denmark,DNK,7329,2.07921
Spain,ESP,3650,1.18355
Finland,FIN,3813,2.94697
France,FRA,6773,2.17530
United Kingdom,UK,7868,1.72328
Greece,GRC,3475,1.77911
Ireland,IRL,4298,1.78623
Italy,ITA,4576,2.54445
Netherlands,NLD,8541,2.09414
Norway,NOR,4750,2.73392
Portugal,PRT,2262,2.35149
Sweden,SWE,5756,2.67060
United States,USA,11648,1.52202
Wales,WALES,5385,2.03386
Scotland,SCOT,6355,1.51597
Northern Ireland,NI,5011,1.60179
