country,code,value1,value2
Austria,AUT,5440,2.73485
Belgium,BEL,7626,1.85834
Switzerland,CHE,8656,2.20843
Germany,DEU,5746,2.66649
Denmark,DNK,7329,2.09340
Spain,ESP,3650,2.49230
Finland,FIN,3813,2.62178
France,FRA,6773,2.11325
United Kingdom,UK,7868,1.76162
Greece,GRC,3475,2.40410
Ireland,IRL,4298,2.98522
Italy,ITA,4576,2.38152
Netherlands,NLD,8541,2.19202
Norway,NOR,4750,3.23276
Portugal,PRT,2262,2.83159
Sweden,SWE,5756,2.30939
United States,USA,11648,1.80369
Wales,WALES,5385,1.82588
Scotland,SCOT,6355,1.95656
Northern Ireland,NI,5011,1.95033
